# -Counting Stars- 安迪Zoey
# Converted from SkyStudio format
# BPM: 420
# Total chords: 888

Time,Keys,Duration
0.00,D3F3,0.28
0.28,B2,0.28
0.57,D3F#3,0.28
0.85,B2,0.28
1.14,D3G#3,0.28
1.42,B2,0.28
1.70,D3F#3,0.28
1.99,B2,0.28
2.27,A2F3,0.28
2.56,C#3F#3,0.28
2.84,A2F3,0.14
2.98,E3,0.14
3.12,C#3,0.14
3.27,F#3,0.14
3.41,A2,0.28
3.69,C#3,0.28
3.98,A2,0.28
4.26,C#3,0.28
4.54,A#2,0.28
4.83,C#3F3,0.28
5.11,D#3F3,0.28
5.40,C#3F#3,0.14
5.54,G3,0.14
5.68,A#2,0.28
5.96,C#3F#3,0.28
6.25,D#3F3,0.28
6.53,C#3E3,0.28
6.82,D3F#3,0.28
7.10,C3,0.28
7.38,D3,0.28
7.67,C3,0.28
7.95,D3E3,0.28
8.24,C3,0.28
8.52,D3,0.28
8.80,C3D3,0.28
9.09,D3F3,0.28
9.37,B2,0.28
9.66,D3F#3,0.28
9.94,B2,0.28
10.22,D3G#3,0.28
10.51,B2,0.28
10.79,D3F#3,0.28
11.08,B2,0.28
11.36,A2F3,0.28
11.64,C#3F#3,0.28
11.93,A2F3,0.14
12.07,E3,0.14
12.21,C#3,0.14
12.35,F#3,0.14
12.50,A2,0.28
12.78,C#3,0.28
13.06,A2,0.28
13.35,C#3,0.28
13.63,A#2,0.28
13.92,C#3F3,0.28
14.20,D#3F3,0.28
14.48,C#3F#3,0.28
14.77,A#2G3,0.28
15.05,C#3F#3,0.28
15.34,D#3F3,0.14
15.48,E3,0.14
15.62,C#3,0.28
15.90,D3F#3,0.28
16.19,C3F3,0.28
16.47,D3F3,0.28
16.76,C3E3,0.28
17.04,D3,0.28
17.32,C3,0.28
17.61,D3,0.28
17.89,C3,0.28
18.18,B2D3,0.57
18.74,B2D3,0.57
19.31,B2D3F#3,0.28
19.60,F3,0.28
19.88,B2D3F3,0.28
20.16,E3,1.28
21.44,E3,0.28
21.73,D3,0.99
22.72,D3,0.28
23.00,A2D3,0.28
23.29,D3,0.28
23.57,A2D3,0.28
23.86,D3,0.28
24.14,A2D3,0.28
24.42,D3,0.28
24.71,A2D3,0.28
24.99,C#3,0.28
25.28,A2C#3,0.28
25.56,C#3,0.28
