# -Late for the Date- 安迪Zoey
# Converted from SkyStudio format
# BPM: 273
# Total chords: 208

Time,Keys,Duration
0.00,B2,0.44
0.44,D3,0.44
0.88,B2C#3D#3,0.44
1.31,E3,0.44
1.75,D#3,0.44
2.19,D3,0.44
2.63,A#2C3,0.88
3.50,A#2,1.75
5.26,C3,0.44
5.69,D3,0.44
6.13,A#2D#3,0.44
6.57,E3,0.44
7.01,D#3,0.44
7.45,D3,0.44
7.88,A2B2,0.88
8.76,A2,1.75
10.51,B2,0.44
10.95,D3,0.44
11.39,B2C#3D#3,0.44
11.83,E3,0.44
12.26,D#3,0.44
12.70,D3,0.44
13.14,A#2C3,0.88
14.02,A#2,1.75
15.77,C#3F3,0.44
16.21,E3,0.44
16.64,A#2C3D#3,0.44
17.08,E3,0.44
17.52,D#3,0.44
17.96,D3,0.44
18.40,A2B2,0.88
19.27,A2,1.75
21.02,A#2F3G3,0.44
21.46,F#3,0.44
21.90,A#2C3F3,0.44
22.34,F#3,0.44
22.78,C3F3,0.44
23.21,E3,0.44
23.65,C#3D3,0.88
24.53,A#2D#3,0.88
25.40,A#2,0.88
26.28,A2E3F#3,0.44
26.72,F3,0.44
27.16,A2B2E3,0.44
27.59,F3,0.44
28.03,B2E3,0.44
28.47,D#3,0.44
28.91,C3D3,0.88
29.78,A2B2,0.88
30.66,A#2,0.88
31.54,A#2D3G3,0.44
31.97,F#3,0.44
32.41,A#2C3F3,0.44
32.85,F#3,0.44
33.29,C3F3,0.44
33.73,E3,0.44
34.16,C#3D3,0.88
35.04,A#2D#3,0.88
35.92,A#2,0.88
36.79,A2F#3,0.88
37.67,A2B2,0.88
38.54,B2,0.88
39.42,A2,0.88
40.30,A2B2,0.88
41.17,B2,0.88
42.05,A#2A3,0.44
42.49,G#3,0.44
42.92,A#2C3G3,0.44
43.36,G#3,0.44
43.80,C3G3,0.44
44.24,F#3,0.44
44.68,C#3F3,0.88
45.55,D#3F3,0.88
46.43,F3,0.88
47.30,A#3B2,0.44
47.74,A3,0.44
48.18,A3B2C#3D3G#3,0.44
48.62,G3,0.44
49.06,C#3D3F#3,0.44
49.49,F3,0.44
49.93,D3E3,0.88
50.81,B2C#3,0.88
51.68,C#3,0.88
52.56,C3D3,0.44
53.00,D#3,0.44
53.44,A2D3,0.44
53.87,D#3,0.44
54.31,A2E3,0.88
55.19,B2D3,0.44
55.63,D#3,0.44
56.06,A2D3,0.44
56.50,D#3,0.44
56.94,A2E3,0.88
57.82,A#2D3,0.44
58.25,D#3,0.44
58.69,A#2C3D3,0.44
59.13,D#3,0.44
59.57,C3E3,0.44
60.01,D3,0.44
60.44,B2F#3,0.44
60.88,D3,0.44
61.32,D#3,0.44
61.76,F3,0.44
62.20,B2F#3,0.44
62.63,C3G3,0.44
63.07,D3,0.22
63.29,D#3,0.22
63.51,E3,0.22
63.73,F3,0.22
63.95,F#3,0.22
64.17,G3,0.22
64.39,D3,0.22
64.61,D#3,0.22
64.82,E3,0.22
65.04,F3,0.22
65.26,F#3,0.22
65.48,G3,0.22
65.70,D3,0.22
65.92,D#3,0.22
66.14,E3,0.22
66.36,D3,0.22
66.58,D#3,0.22
66.80,E3,0.22
67.01,F3,0.22
67.23,F#3,0.22
67.45,G3,0.22
67.67,G#3,0.22
67.89,A3,0.22
68.11,F3,0.22
68.33,F#3,0.22
68.55,G3,0.22
68.77,G#3,0.22
68.98,A3,0.22
69.20,A#3D#3,0.22
69.42,C4E3,0.22
69.64,F3,0.22
69.86,F#3,0.22
70.08,D3,0.22
70.30,D#3,0.22
70.52,E3,0.22
70.74,F3,0.22
70.96,F#3,0.22
71.17,G3,0.22
71.39,G#3,0.44
71.83,A3,0.44
72.27,A#3,0.44
72.71,C4E3,0.44
73.15,D#3F3,0.44
73.58,E3F#3,2.63
76.21,B2,0.44
76.65,D3,0.44
77.09,A2B2D#3,0.44
77.53,E3,0.44
77.96,D#3,0.44
78.40,D3,0.44
78.84,A#2C3,2.63
81.47,C3,0.44
81.91,D3,0.44
82.34,A#2D#3,0.44
82.78,E3,0.44
83.22,D#3,0.44
83.66,D3,0.44
84.10,A2B2,2.63
86.72,B2,0.44
87.16,D3,0.44
87.60,A2B2D#3,0.44
88.04,E3,0.44
88.48,D#3,0.44
88.91,D3,0.44
89.35,A#2C3,0.88
90.23,A#2,1.75
91.98,C#3F3,0.44
92.42,E3,0.44
92.86,A#2C3D#3,0.44
93.29,E3,0.44
93.73,D#3,0.44
94.17,D3,0.44
94.61,A2B2,0.88
95.48,A2,1.75
97.24,B2,0.44
97.67,D3,0.44
98.11,A2B2D#3,0.44
98.55,E3,0.44
98.99,D#3,0.44
99.43,D3,0.44
99.86,A#2C3,2.63
102.49,C3,0.44
102.93,D3,0.44
103.37,A#2D#3,0.44
103.81,E3,0.44
104.24,D#3,0.44
104.68,D3,0.44
105.12,A2B2,2.63
107.75,B2,0.44
108.19,D3,0.44
108.62,A2B2D#3,0.44
109.06,E3,0.44
109.50,D#3,0.44
109.94,D3,0.44
110.38,A#2C3,0.88
111.25,A#2,1.75
113.00,C#3F3,0.44
113.44,E3,0.44
113.88,A#2C3D#3,0.44
114.32,E3,0.44
114.76,D#3,0.44
115.19,D3,1.31
116.51,A2B2,0.50
