# 缘之空-遠い空へ
# Converted from SkyStudio format
# BPM: 440
# Total chords: 606

Time,Keys,Duration
1.09,A2C#3D3E3F#3,0.54
1.63,A3,4.35
5.98,B2D3F3G#3,0.54
6.53,F3,4.35
10.88,C#3C3D3E3F#3,0.54
11.42,A3,1.09
12.51,E3,0.54
13.06,G#3,2.72
15.78,A#3B2D3F3G#3,0.27
16.05,C4,0.27
16.32,A#3,0.27
16.59,G#3,0.27
16.86,F3,0.27
17.14,F#3,0.27
17.41,G#3,1.09
18.50,D3,0.54
19.04,C#3,0.54
19.58,A2B2C3D3,0.95
20.54,F#3,0.54
21.08,A#2B2C#3D#3,0.82
21.90,E3,0.27
22.17,D#3,0.27
22.44,C#3,0.27
22.71,A#2C3D3,0.82
23.53,D#3,0.27
23.80,A#2C3D3E3,0.27
24.07,F3,0.27
24.34,A2C#3D#3F#3G#3,0.27
24.62,A3,0.27
24.89,G#3,1.09
25.98,A2B2C3D3,1.09
27.06,F#3,0.54
27.61,B2C#3D3F3G#3,0.54
28.15,A#2D#3,0.54
28.70,C#3,0.54
29.24,A#2B2C#3D3,0.54
29.78,D#3,0.54
30.33,B2D#3F3,0.54
30.87,A#2B2D#3F3,0.54
31.42,F#3,0.54
31.96,D#3,0.54
32.50,A2B2D3,0.27
32.78,A2,0.27
33.05,C3,0.27
33.32,E3,0.27
33.59,F#3,0.54
34.14,A#2C#3D#3,0.27
34.41,D#3,0.27
34.68,B2,0.27
34.95,C#3E3,0.27
35.22,A#2D#3,0.27
35.50,C#3,0.27
35.77,A2B2D3,0.27
36.04,D3,0.27
36.31,A#2,0.27
36.58,C#3D#3,0.27
36.86,A#2C#3E3,0.27
37.13,F3,0.27
37.40,A2D#3G#3,0.27
37.67,A2A3,0.27
37.94,B2G#3,0.27
38.22,C#3F3,0.27
38.49,D#3F#3,0.54
39.03,A2B2D3,0.27
39.30,A2,0.27
39.58,C3,0.27
39.85,E3,0.27
40.12,F#3,0.54
40.66,B2D3F3G#3,0.27
40.94,D#3,0.27
41.21,B2D#3,0.27
41.48,C#3,0.27
41.75,C#3,0.54
42.30,A#2B2D3,0.27
42.57,B2,0.27
42.84,D3,0.27
43.11,C#3,0.27
43.38,D#3,0.41
43.79,B2D3,0.27
44.06,B2,0.27
44.34,D3,0.54
44.88,F#3,2.72
47.60,B2F#3,0.54
48.14,C#3G#3,0.54
48.69,A3C3D3E3,0.27
48.96,A2,0.27
49.23,C3D3E3,0.54
49.78,G#3,0.27
50.05,A3,0.27
50.32,B2D#3F3G#3,0.27
50.59,A#2,0.27
