# -青花瓷- 安迪Zoey
# Converted from SkyStudio format
# BPM: 320
# Total chords: 237

Time,Keys,Duration
1.12,m,0.37
1.50,m,0.37
1.87,;,0.37
2.24,l,0.37
2.62,;,0.37
2.99,hloy,0.37
3.37,k,0.37
3.74,h,1.50
5.24,l,0.37
5.61,;,0.37
5.98,ijlp,0.37
6.36,k,0.37
6.73,p,1.50
8.23,l,0.37
8.60,;,0.37
8.98,hlou,0.37
9.35,k,0.37
9.72,h,0.75
10.47,k,0.37
10.85,l,0.75
11.59,p,0.37
11.97,;ipy,1.50
13.46,k,0.37
13.84,l,0.37
14.21,;,0.37
14.59,m,0.37
14.96,hikm,0.37
15.33,;,0.37
15.71,;,0.75
16.46,l,0.75
17.20,k,0.75
17.95,hlou,0.37
18.33,k,0.37
18.70,h,0.75
19.45,k,0.37
19.82,l,0.37
20.20,;,0.75
20.94,mu,0.37
21.32,p,0.37
21.69,j,0.37
22.07,l,0.37
22.44,j,0.37
22.81,l,0.37
23.19,m,0.75
23.94,jlmp,1.87
25.81,l,0.37
26.18,k,0.37
26.55,h,0.37
26.93,ikpy,0.75
27.68,k,0.37
28.05,h,0.37
28.42,k,0.75
29.17,k,0.37
29.55,h,0.37
29.92,ikpy,0.37
30.29,h,0.37
30.67,p,1.12
31.79,l,0.37
32.16,k,0.37
32.54,h,0.37
32.91,hiky,0.75
33.66,k,0.37
34.03,h,0.37
34.41,k,0.75
35.16,k,0.37
35.53,;,0.37
35.90,hily,0.37
36.28,k,0.37
36.65,k,1.12
37.77,p,0.37
38.15,h,0.37
38.52,;,0.37
38.90,;hoy,0.75
39.64,;,0.37
40.02,l,0.37
40.39,;,0.75
41.14,;,0.37
41.51,l,0.37
41.89,;hoy,0.37
42.26,m,0.75
43.01,;,0.75
43.76,;,0.37
44.13,;,0.37
44.51,;,0.37
44.88,jlpu,0.37
45.25,l,0.37
45.63,l,0.37
46.00,l,0.37
46.38,l,0.75
47.12,k,0.37
47.50,;,0.75
48.25,jlpu,1.50
49.74,l,0.37
50.12,k,0.37
50.49,h,0.37
50.86,ikpy,0.75
51.61,k,0.37
51.99,h,0.37
52.36,ikpy,0.75
53.11,k,0.37
53.48,h,0.37
53.86,ikpy,0.37
54.23,h,0.37
54.60,p,0.75
55.35,ipy,0.37
55.73,p,0.37
56.10,h,0.37
56.47,;,0.37
56.85,ijmp,0.75
57.60,m,0.37
57.97,;,0.37
58.34,ijmp,0.75
59.09,m,0.37
59.47,;,0.37
59.84,hily,0.37
60.21,k,0.37
60.59,k,0.75
61.34,hiy,0.37
61.71,l,0.37
62.08,k,0.37
62.46,l,0.37
62.83,;hou,0.37
63.21,l,0.37
63.58,l,0.37
63.95,k,0.37
64.33,hlou,0.75
65.08,k,0.37
65.45,h,0.37
65.82,jlpu,0.37
66.20,k,0.37
66.57,k,0.37
66.95,h,0.37
67.32,kpu,0.75
68.07,j,0.75
68.82,ky,0.37
69.19,i,0.37
69.56,p,0.37
69.94,k,0.75
70.69,p,0.37
71.06,i,0.75
71.81,y,1.87
73.68,m,0.37
74.05,m,0.37
74.43,;,0.37
74.80,hloy,0.37
75.17,;,0.37
75.55,h,0.75
76.30,hloy,0.37
76.67,;,0.37
77.04,m,0.37
77.42,;,0.37
77.79,jlpu,1.50
79.29,jpu,0.37
79.66,m,0.37
80.04,m,0.37
80.41,;,0.37
80.78,ijlp,0.37
81.16,;,0.37
81.53,p,0.75
82.28,ijlp,0.37
82.65,;,0.37
83.03,m,0.37
83.40,l,0.37
83.78,hiky,1.50
85.27,hiy,0.37
85.65,k,0.37
86.02,l,0.37
86.39,;,0.37
86.77,hmou,0.37
87.14,,,0.37
87.52,m,0.37
87.89,;,0.37
88.26,hmou,0.37
88.64,;,0.37
89.01,;,0.37
89.39,l,0.37
89.76,jlpu,1.50
91.26,jpu,0.37
91.63,k,0.37
92.00,l,0.37
92.38,k,0.37
92.75,ilpy,0.75
93.50,k,0.37
93.87,l,0.37
94.25,ipy,0.37
94.62,;,0.75
95.37,m,0.37
95.74,ipy,0.37
96.12,;,1.12
97.24,ipy,0.37
97.61,m,0.37
97.99,m,0.37
98.36,;,0.37
98.74,hloy,0.37
99.11,;,0.37
99.48,h,0.75
100.23,hloy,0.37
100.61,;,0.37
100.98,m,0.37
101.35,;,0.37
101.73,jlpu,1.50
103.22,jpu,0.37
103.60,m,0.37
103.97,m,0.37
104.35,;,0.37
104.72,ijlp,0.37
105.09,;,0.37
105.47,p,0.75
106.22,ijlp,0.37
106.59,;,0.37
106.96,m,0.37
107.34,l,0.37
107.71,hiky,1.50
109.21,hiy,0.37
109.58,k,0.37
109.96,l,0.37
110.33,;,0.37
110.70,hmou,0.37
111.08,,,0.37
111.45,m,0.37
111.83,;,0.37
112.20,hmou,0.37
112.57,;,0.37
112.95,;,0.37
113.32,l,0.37
113.70,jlpu,1.12
114.82,k,0.37
115.19,p,0.37
115.57,;,0.75
116.31,l,0.37
116.69,ly,0.37
117.06,i,0.37
117.44,p,0.37
117.81,k,0.75
118.56,p,0.37
118.93,i,0.75
119.68,y,0.50
