# 33只对你有感觉
# Converted from SkyStudio format
# BPM: 400
# Total chords: 606

Time,Keys,Duration
0.00,B2D3,2.40
2.40,C3E3,0.60
3.00,D#3,0.60
3.60,A#2C#3D3,0.60
4.20,C#3,0.60
4.80,A2B2D3,2.40
7.20,A2C3D3,0.30
7.50,B2,0.15
7.65,D3,0.15
7.80,E3,0.15
7.95,D3,0.15
8.10,F3,0.15
8.25,F#3,0.15
8.40,A#2C#3,1.20
9.60,A2B2D3,2.40
12.00,A2C3E3,0.60
12.60,D#3,0.60
13.20,A#2C#3D3,0.60
13.80,C#3,0.60
14.40,A2B2D3,2.40
16.80,A2C3D3,0.30
17.10,B2,0.15
17.25,D3,0.15
17.40,E3,0.15
17.55,D3,0.15
17.70,F3,0.15
17.85,F#3,0.15
18.00,A#2C#3,1.20
19.20,D3,0.30
19.50,F#3,0.30
19.80,A2F#3,0.30
20.10,F#3,0.30
20.40,A#2D3,0.30
20.70,A2E3,0.30
21.00,B2,0.30
21.30,D3,0.30
21.60,C3,0.30
21.90,D3,0.30
22.20,E3F3,0.30
22.50,D#3,0.30
22.80,C#3,0.30
23.10,D#3,0.30
23.40,A#2D#3,0.30
23.70,E3,0.30
24.00,D3,0.30
24.30,E3,0.30
24.60,B2F#3,0.30
24.90,F#3,0.30
25.20,D3F3,0.30
25.50,A2E3,0.30
25.80,B2,0.30
26.10,G#3,0.30
26.40,C3,0.30
26.70,D3,0.30
27.00,E3G3,0.30
27.30,F#3,0.30
27.60,C#3,0.30
27.90,D#3,0.30
28.20,A#2F3,0.30
28.50,F#3,0.30
28.80,D3,0.30
29.10,E3,0.30
29.40,B2F#3,0.30
29.70,F#3,0.30
30.00,D3F3,0.30
30.30,A2E3,0.30
30.60,B2,0.30
30.90,B2D3,0.30
31.20,C3,0.30
31.50,D3,0.30
31.80,A2F3,0.30
32.10,D#3,0.30
32.40,C#3,0.30
32.70,D#3,0.30
33.00,A#2E3,0.30
33.30,E3,0.30
33.60,C3,0.30
33.90,D3,0.30
34.20,E3,0.60
34.80,C3,0.30
35.10,D3,0.30
35.40,E3,0.60
36.00,A2C#3,0.30
36.30,D#3,0.30
36.60,F3,0.60
37.20,C#3E3,0.30
37.50,B2D#3,0.30
37.80,A#2D3,0.30
38.10,C#3,0.30
38.40,D3,0.30
38.70,E3F#3,0.30
39.00,B2F#3,0.30
39.30,F#3,0.30
39.60,D3F3,0.30
39.90,A2E3,0.30
40.20,B2,0.30
40.50,D3,0.30
40.80,C3,0.30
41.10,D3,0.30
41.40,A2F3,0.30
41.70,D#3,0.30
42.00,C#3,0.30
42.30,D#3,0.30
42.60,A#2E3,0.30
42.90,E3,0.30
43.20,D3,0.30
43.50,E3,0.30
43.80,B2F#3,0.30
44.10,F#3,0.30
44.40,D3F3,0.30
44.70,A2E3,0.30
45.00,B2,0.30
45.30,G#3,0.30
45.60,C3,0.30
45.90,D3,0.30
46.20,A2G3,0.30
46.50,F#3,0.30
46.80,C#3,0.30
47.10,D#3F3,0.30
47.40,A#2,0.30
47.70,F#3,0.30
48.00,D3,0.30
48.30,E3,0.30
48.60,B2F#3,0.30
48.90,F#3,0.30
49.20,D3F3,0.30
49.50,A2E3,0.30
49.80,B2,0.30
50.10,D3,0.30
50.40,C3,0.30
50.70,D3,0.30
51.00,A2F3,0.30
51.30,D#3,0.30
51.60,C#3,0.30
51.90,D#3,0.30
52.20,A#2E3,0.30
52.50,E3,0.30
52.80,C3,0.30
53.10,D3,0.30
53.40,E3,0.60
54.00,C3,0.30
54.30,D3,0.30
54.60,E3,0.60
55.20,C#3,0.30
55.50,D#3,0.30
55.80,F3,0.60
56.40,D#3,0.30
56.70,F3,0.30
57.00,C#3F#3,0.30
57.30,G#3,0.30
57.60,C#3G#3,0.30
57.90,D3E3,0.30
58.20,A2F3,0.30
58.50,E3,0.30
58.80,C#3F3,0.30
59.10,D3E3,0.30
59.40,A#2F3,0.30
59.70,E3,0.30
60.00,B2F3,0.30
60.30,D#3F3,0.30
60.60,B2F#3,0.30
60.90,B2E3,0.30
61.20,D3,0.30
61.50,E3,0.30
61.80,B2F#3,0.30
62.10,G#3,0.30
62.40,B2G#3,0.30
62.70,D3E3,0.30
63.00,A2F3,0.30
63.30,A2E3,0.30
63.60,C#3F3,0.30
63.90,E3,0.30
64.20,A#2F3,0.30
64.50,E3,0.30
64.80,A3B2,0.30
65.10,D#3G#3,0.30
65.40,B2F#3,0.30
65.70,F3,0.30
66.00,D3E3,0.30
66.30,A2,0.30
66.60,B2F#3,0.30
66.90,G#3,0.30
67.20,C3G#3,0.30
67.50,D3E3,0.30
67.80,A2F3,0.30
68.10,E3,0.30
68.40,C#3F3,0.30
68.70,E3,0.30
69.00,A#2F3,0.30
69.30,E3,0.30
69.60,B2F3,0.30
69.90,D#3F3,0.30
70.20,B2F#3,0.30
70.50,F#3,0.30
70.80,D3,0.15
70.95,F3,0.15
71.10,A2E3,0.30
71.40,B2,0.30
71.70,D3,0.15
71.85,C#3,0.15
72.00,A#2C3,0.30
72.30,A2B2,0.30
72.60,A2C3,0.30
72.90,E3,0.30
73.20,A#2,0.30
73.50,A2D#3,0.30
73.80,A2E3,0.30
74.10,F3,0.30
74.40,C#3,0.30
74.70,D#3,0.30
75.00,F3,0.30
75.30,D#3F#3,0.30
75.60,C#3F3,0.60
76.20,B2F#3,0.30
76.50,G#3,0.30
76.80,C3G#3,0.30
77.10,D3E3,0.30
77.40,F3,0.30
77.70,E3,0.30
78.00,C#3F3,0.30
78.30,E3,0.30
78.60,A#2F3,0.30
78.90,E3,0.30
79.20,B2F3,0.30
79.50,D#3F3,0.30
79.80,B2F#3,0.30
80.10,E3,0.30
80.40,D3,0.30
80.70,E3,0.30
81.00,B2F#3,0.30
81.30,G#3,0.30
81.60,C3G#3,0.30
81.90,D3E3,0.30
82.20,A2F3,0.30
82.50,A2E3,0.30
82.80,C#3F3,0.30
83.10,E3,0.30
83.40,A#2F3,0.30
83.70,E3,0.30
84.00,A3B2,0.30
84.30,D#3G#3,0.30
84.60,B2F#3,0.30
84.90,F3,0.30
85.20,D3E3,0.30
85.50,A2,0.30
85.80,B2F#3,0.30
86.10,G#3,0.30
