# Asphyxia逆时针向(暴躁)
# Converted from SkyStudio format
# BPM: 391
# Total chords: 390

Time,Keys,Duration
0.61,A3,0.31
0.92,G#3,0.31
1.22,F#3,0.31
1.53,A2C3F#3,0.61
2.14,A3,0.31
2.45,G#3,0.31
2.75,F#3,0.31
3.06,A#2C#3F#3,0.61
3.67,F3,0.31
3.98,G3,0.31
4.28,B2D3F#3,0.92
5.20,B2D3,0.61
5.81,A2A3,0.31
6.12,G#3,0.31
6.43,D#3,0.31
6.73,F#3,0.31
7.04,A2C3F#3,0.61
7.65,A3,0.31
7.96,G#3,0.31
8.26,F#3,0.31
8.57,C#3F#3F3,0.61
9.18,F3,0.31
9.49,G3,0.31
9.79,F#3,0.31
10.10,B2D3F#3,0.92
11.02,B2D3,0.61
11.63,A#2A3,0.31
11.93,G#3,0.31
12.24,B2,0.31
12.55,A2C3F#3,0.61
13.16,A3,0.31
13.46,C4,0.31
13.77,A#3,0.31
14.08,A#2A#3C#3,0.61
14.69,C4,0.31
14.99,A#3,0.31
15.30,A3,0.31
15.61,A3B2D3,0.92
16.52,B2D3,0.61
17.14,A2A3,0.31
17.44,G#3,0.31
17.75,D#3,0.31
18.05,F#3,0.31
18.36,A2C3F#3,0.61
18.97,A3,0.31
19.28,G#3,0.31
19.58,F3,0.31
19.89,A#2C#3F3,0.61
20.50,A3,0.31
20.81,G#3,0.31
21.11,E3,0.31
21.42,A3B2D3,1.22
22.64,A3,0.31
22.95,G#3,0.31
23.26,F#3,0.31
23.56,C3F#3,0.31
23.87,A2,0.31
24.17,C3,0.31
24.48,A3D3,0.31
24.79,G#3,0.31
25.09,F#3,0.31
25.40,C#3F#3,0.31
25.70,A#2,0.31
26.01,C#3,0.31
26.32,D#3F3,0.31
26.62,G3,0.31
26.93,F#3,0.31
27.23,D3F#3,0.31
27.54,B2,0.31
27.85,D3,0.31
28.15,A2,0.31
28.46,D3,0.31
28.76,B2,0.31
29.07,D3,0.31
29.38,A2A3,0.31
29.68,G#3,0.31
29.99,A2,0.31
30.29,F#3,0.31
30.60,C3F#3,0.31
30.91,A2,0.31
31.21,C3,0.31
31.52,A3D3,0.31
31.82,G#3,0.31
32.13,F#3,0.31
32.44,C#3F#3,0.31
32.74,A#2,0.31
33.05,C#3,0.31
33.35,D#3F3,0.31
33.66,G3,0.31
33.97,F#3,0.31
34.27,D3F#3,0.31
34.58,B2,0.31
34.88,D3,0.31
35.19,A2,0.61
35.80,D3,0.31
36.11,B2,0.31
36.41,D3,0.31
36.72,A2A3,0.31
37.03,G#3,0.31
37.33,F#3,0.31
37.64,C3F#3,0.31
37.94,A2,0.31
38.25,C3,0.31
38.56,A3D3,0.31
38.86,C4,0.31
39.17,A#3,0.31
39.47,A#3C3,0.31
39.78,A#2,0.31
40.09,C#3,0.31
40.39,C4D#3,0.31
40.70,A#3,0.31
41.00,A3,0.31
41.31,A3D3,0.31
41.62,B2,0.31
41.92,D3,0.31
42.23,A2,0.77
42.99,D3,0.31
43.30,B2,0.31
43.60,D3,0.31
43.91,A2F#3,0.31
44.22,F3,0.46
44.68,A3,0.31
44.98,A3C3,0.31
45.29,A2,0.31
45.59,C3,0.31
45.90,C#3,0.31
46.21,D3F#3,0.31
46.51,F3,0.31
46.82,A#3,0.31
47.12,A#3C#3,0.31
47.43,A#2,0.31
47.74,C#3,0.31
48.04,D3,0.31
48.35,D#3F#3,0.31
48.65,A#2,0.31
48.96,C4,0.31
49.27,C4D3,0.31
49.57,A#3B2,0.31
49.88,D3,0.31
50.18,A3D#3,0.31
50.49,A2A3,0.31
50.80,G#3,0.31
51.10,F#3,0.31
51.41,D3F#3,0.31
51.71,B2,0.31
52.02,D3,0.31
52.33,D#3,0.31
52.63,A2F#3,0.31
52.94,A#2F3,0.31
53.24,A2,0.31
53.55,A3D3,0.31
53.86,A3C3,0.31
54.16,A2,0.31
54.47,C3,0.31
54.77,C#3,0.31
55.08,D3F#3,0.31
55.39,F3,0.31
55.69,A#3,0.31
56.00,A#3C#3,0.31
56.30,A#2,0.31
56.61,C#3,0.31
56.92,D3,0.31
57.22,D#3F#3,0.31
57.53,F3,0.31
57.83,C4,0.31
58.14,C4D3,0.31
58.45,A#3B2,0.31
58.75,D3,0.31
59.06,A3D#3,0.31
59.36,A2A3,0.31
59.67,G#3,0.31
59.98,A3,0.31
60.28,A3D3,0.31
60.59,B2,0.31
60.89,D3,0.31
61.20,D#3,0.31
61.51,A2F#3,0.31
61.81,F3,0.31
62.12,D3,0.31
62.42,A3C3,0.31
62.73,A2,0.31
63.04,C3,0.31
63.34,C#3,0.31
63.65,D3F#3,0.31
63.95,F3,0.31
64.26,F3,0.31
64.57,A#3,0.31
64.87,A#3C#3,0.31
65.18,A#2A#3,0.31
65.48,C#3,0.31
65.79,A#3D3,0.31
66.10,D#3F#3,0.31
66.40,F3,0.31
66.71,F3,0.31
67.01,C4D3,0.31
67.32,B2F3,0.31
67.63,D3,0.31
67.93,C4D#3,0.31
68.24,A2C4,0.31
68.54,A#3,0.31
68.85,A3,0.31
69.16,A3D3,0.31
69.46,A3B2,0.31
69.77,D3G#3,0.31
70.07,A3D#3,0.31
70.38,A#3A2,0.31
70.69,A#2C4,0.31
70.99,A#3A2,0.31
71.30,A3D3,0.31
71.60,C3,0.31
71.91,A2A3,0.31
