# A叔终极还原My dearest
# Converted from SkyStudio format
# BPM: 700
# Total chords: 2534

Time,Keys,Duration
0.00,k,0.17
0.17,p,0.17
0.34,k,0.17
0.51,m,0.17
0.68,k,0.17
0.85,p,0.17
1.02,k,0.17
1.19,m,0.17
1.36,k,0.17
1.53,p,0.17
1.70,k,0.17
1.87,m,0.17
2.04,k,0.17
2.21,p,0.17
2.38,k,0.17
2.55,m,0.17
2.72,j,0.17
2.89,p,0.17
3.06,j,0.17
3.23,m,0.17
3.40,j,0.17
3.57,p,0.17
3.74,j,0.17
3.91,m,0.17
4.08,j,0.17
4.25,p,0.17
4.42,j,0.17
4.59,m,0.17
4.76,j,0.17
4.93,p,0.17
5.10,j,0.17
5.27,m,0.17
5.44,h,0.17
5.61,p,0.17
5.78,h,0.17
5.95,m,0.17
6.12,h,0.17
6.29,p,0.17
6.46,h,0.17
6.63,m,0.17
6.80,h,0.17
6.97,p,0.17
7.14,h,0.17
7.31,m,0.17
7.48,h,0.17
7.65,p,0.17
7.82,h,0.17
7.99,m,0.17
8.16,j,0.17
8.33,p,0.17
8.50,j,0.17
8.67,m,0.17
8.84,j,0.17
9.01,p,0.17
9.18,j,0.17
9.35,m,0.17
9.52,j,0.17
9.69,p,0.17
9.86,j,0.17
10.03,m,0.17
10.20,j,0.17
10.37,p,0.17
10.54,jp,0.17
10.71,m,0.17
10.88,koy,0.17
11.05,p,0.17
11.22,jk,0.17
11.39,hm,0.17
11.56,k,0.17
11.73,p,0.17
11.90,k,0.17
12.07,mp,0.17
12.24,k,0.17
12.41,p,0.17
12.58,k,0.17
12.75,m,0.17
12.92,k,0.17
13.09,p,0.17
13.26,k,0.17
13.43,m,0.17
13.60,l,0.17
13.77,p,0.17
13.94,l,0.17
14.11,m,0.17
14.28,k,0.17
14.45,p,0.17
14.62,k,0.17
14.79,m,0.17
14.96,ju,0.17
15.13,p,0.17
15.30,j,0.17
15.47,im,0.17
15.64,k,0.17
15.81,p,0.17
15.98,ko,0.17
16.15,m,0.17
16.32,ik,0.17
16.49,p,0.17
16.66,ko,0.17
16.83,im,0.17
17.00,k,0.17
17.17,op,0.17
17.34,k,0.17
17.51,mp,0.17
17.68,k,0.17
17.85,p,0.17
18.02,k,0.17
18.19,m,0.17
18.36,k,0.17
18.53,p,0.17
18.70,k,0.17
18.87,m,0.17
19.04,k,0.17
19.21,p,0.17
19.38,k,0.17
19.55,m,0.17
19.72,k,0.17
19.89,p,0.17
20.06,k,0.17
20.23,m,0.17
20.40,jy,0.17
20.57,p,0.17
20.74,j,0.17
20.91,im,0.17
21.08,k,0.17
21.25,p,0.17
21.42,kp,0.17
21.59,m,0.17
21.76,ko,0.17
21.93,p,0.17
22.10,kl,0.17
22.27,km,0.17
22.44,k,0.17
22.61,jp,0.17
22.78,k,0.17
22.95,km,0.17
23.12,k,0.17
23.29,p,0.17
23.46,k,0.17
23.63,m,0.17
23.80,k,0.17
23.97,p,0.17
24.14,k,0.17
24.31,m,0.17
24.48,l,0.17
24.65,p,0.17
24.82,l,0.17
24.99,m,0.17
25.16,k,0.17
25.33,p,0.17
25.50,k,0.17
25.67,jm,0.17
25.84,hjou,0.17
26.01,p,0.17
26.18,j,0.17
26.35,jm,0.17
26.52,k,0.17
26.69,p,0.17
26.86,k,0.17
27.03,m,0.17
27.20,;kp,0.17
27.37,p,0.17
27.54,k,0.17
27.71,m,0.17
27.88,k,0.17
28.05,p,0.17
28.22,k,0.17
28.39,m,0.17
28.56,k,0.17
28.73,p,0.17
28.90,k,0.17
29.07,m,0.17
29.24,k,0.17
29.41,p,0.17
29.58,kn,0.17
29.75,;m,0.17
29.92,jlp,1.36
31.28,ky,0.34
31.62,jlu,0.34
31.96,ky,0.17
32.13,i,0.17
32.30,/;ky,0.17
32.47,i,0.17
32.64,h,0.17
32.81,iky,0.17
32.98,hiky,0.17
33.15,i,0.17
33.32,h,0.17
33.49,/;k,0.09
33.58,/;k,0.09
33.66,/;hk,0.17
33.83,i,0.17
34.00,h,0.17
34.17,.;ijm,0.17
34.34,i,0.17
34.51,h,0.17
34.68,,i,0.17
34.85,y,0.17
35.02,jlmpy,0.17
35.19,o,0.17
35.36,h,0.17
35.53,ipy,0.17
35.70,ipy,0.17
35.87,o,0.17
36.04,h,0.17
36.21,;kmp,0.09
36.30,;mp,0.09
36.38,;hmp,0.17
36.55,o,0.17
36.72,h,0.17
36.89,hkno,0.17
37.06,o,0.17
37.23,h,0.17
37.40,;io,0.17
37.57,y,0.17
37.74,jlpu,0.17
37.91,p,0.17
38.08,j,0.17
38.25,luy,0.17
38.42,juy,0.17
38.59,p,0.17
38.76,j,0.17
38.93,.ln,0.09
39.02,.ln,0.09
39.10,.jln,0.17
39.27,p,0.17
39.44,j,0.17
39.61,;ip,0.17
39.78,p,0.17
39.95,j,0.17
40.12,nop,0.17
40.29,u,0.17
40.46,;ipy,0.17
40.63,y,0.17
40.80,p,0.17
40.97,;k,0.17
41.14,;y,0.17
41.31,k,0.17
41.48,p,0.17
41.65,ilu,0.17
41.82,lu,0.17
41.99,y,0.09
42.08,u,0.09
42.16,i,0.09
42.24,o,0.09
42.33,p,0.09
42.41,h,0.09
42.50,j,0.09
42.59,k,0.09
42.67,l,0.09
42.76,;,0.09
42.84,n,0.09
42.92,m,0.09
43.01,,,0.09
43.09,.,0.09
43.18,/;ky,0.17
43.35,i,0.17
43.52,h,0.17
43.69,iky,0.17
43.86,hiky,0.17
44.03,i,0.17
44.20,h,0.17
44.37,/;k,0.09
44.45,/;k,0.09
44.54,/;hk,0.17
44.71,i,0.17
44.88,h,0.17
45.05,ijp,0.17
45.22,i,0.17
45.39,h,0.17
45.56,iky,0.17
45.73,y,0.17
45.90,;kmpy,0.17
46.07,i,0.17
46.24,y,0.17
46.41,ipy,0.17
46.58,ipy,0.17
46.75,y,0.17
46.92,i,0.17
47.09,/mp,0.09
47.17,/m,0.09
47.26,/;m,0.17
47.43,k,0.17
47.60,p,0.17
47.77,hikno,0.17
47.94,y,0.17
48.11,p,0.17
48.28,;i,0.17
48.45,y,0.17
48.62,hlouy,0.17
48.79,o,0.17
48.96,h,0.17
49.13,kuy,0.17
49.30,huy,0.17
49.47,o,0.17
49.64,h,0.17
49.81,/kln,0.09
49.90,/ln,0.09
49.98,/hln,0.17
50.15,o,0.17
50.32,no,0.17
50.49,y,0.17
50.66,,ho,0.17
50.83,h,0.17
51.00,/ko,0.17
51.17,h,0.17
51.34,,/lnp,0.34
51.68,u,0.17
51.85,o,0.17
52.02,u,0.17
52.19,p,0.17
52.36,u,0.17
52.53,;ijp,0.85
53.38,jop,1.02
54.40,;kpy,0.68
55.08,iy,0.68
55.76,iy,0.68
56.44,iy,0.34
56.78,k,0.17
56.95,m,0.17
57.12,jmpu,0.51
57.63,n,0.17
57.80,ju,0.42
58.23,;,0.26
58.48,ju,0.34
58.82,k,0.34
59.16,jlu,0.34
59.50,k,0.34
59.84,hily,0.51
60.35,k,0.09
60.44,l,0.09
60.52,iky,0.68
61.20,iy,0.68
61.88,iy,0.34
62.22,j,0.17
62.39,k,0.17
62.56,ijp,0.51
63.07,k,0.17
63.24,ip,0.34
63.58,j,0.34
63.92,ip,0.34
64.26,p,0.34
64.60,iy,0.34
64.94,p,0.34
65.28,opy,0.34
65.62,h,0.17
65.79,h,0.17
65.96,hoy,0.68
66.64,joy,0.68
67.32,koy,0.34
67.66,k,0.34
68.00,pu,0.68
68.68,py,0.68
69.36,pu,0.68
70.04,ip,0.17
70.21,p,0.17
70.38,k,0.17
70.55,l,0.17
70.72,;hko,0.51
71.23,n,0.17
71.40,hoy,0.34
71.74,n,0.34
72.08,hoy,0.68
72.76,oy,0.34
73.10,n,0.17
73.27,;,0.17
73.44,l,0.34
73.78,y,0.34
74.12,i,0.34
74.46,lp,0.17
74.63,k,0.17
74.80,jp,0.51
75.31,o,0.51
75.82,k,0.17
75.99,y,0.09
76.08,ip,0.09
76.16,k,0.34
76.50,p,0.34
76.84,j,0.34
77.18,k,0.34
77.52,jl,0.34
77.86,p,0.34
78.20,i,0.26
78.45,k,0.26
78.71,m,0.17
78.88,p,0.09
78.97,ijm,0.34
79.31,j,0.17
79.47,jnp,0.17
79.64,i,0.17
79.81,;jp,0.26
80.07,i,0.09
80.16,o,0.09
80.24,ip,0.26
80.50,ho,0.26
80.75,jp,0.17
80.92,jp,0.26
81.17,hik,0.26
81.43,jl,0.17
81.60,hjl,0.26
81.86,i,0.26
82.11,hk,0.09
82.19,l,0.09
82.28,hik,0.34
82.62,j,0.34
82.96,hk,0.34
83.30,i,0.34
83.64,h,0.34
83.98,jy,0.09
84.06,k,0.09
84.15,j,0.17
84.32,hy,0.34
84.66,i,0.17
84.83,hk,0.17
85.00,h,0.17
85.17,hjl,0.34
85.51,;hk,0.17
85.68,hi,0.34
86.02,h,0.17
86.19,k,0.09
86.28,,,0.09
86.36,hikm,0.26
86.61,hn,0.26
86.87,;h,0.17
87.04,;hou,0.34
87.38,h,0.17
87.55,n,0.09
87.64,;,0.09
87.72,lu,0.34
88.06,i,0.34
88.40,ou,0.34
88.74,h,0.34
89.08,u,0.17
89.25,k,0.17
89.42,j,0.17
89.59,h,0.17
89.76,ipy,0.34
90.10,y,0.34
90.44,u,0.34
90.78,i,0.34
91.12,p,0.34
91.46,k,0.34
91.80,;,0.17
91.97,p,0.17
92.14,kp,0.17
92.31,l,0.17
92.48,;hko,0.34
92.82,ny,0.17
92.99,n,0.17
93.16,oy,0.17
93.33,p,0.17
93.50,k,0.17
93.67,l,0.17
93.84,iy,0.34
94.18,oy,0.17
94.35,o,0.17
94.52,oy,0.09
94.61,o,0.09
94.69,p,0.09
94.78,k,0.09
94.86,no,0.17
95.03,;i,0.17
95.20,lpu,0.34
95.54,o,0.17
95.71,i,0.17
95.88,u,0.34
96.22,lu,0.17
96.39,ky,0.17
96.56,jpu,0.34
96.90,y,0.34
97.24,iy,0.34
97.58,u,0.34
97.92,y,0.17
98.09,y,0.17
98.26,ky,0.09
98.34,y,0.09
98.43,ky,0.09
98.52,u,0.09
98.60,y,0.09
98.69,u,0.09
98.77,ky,0.09
98.86,u,0.09
98.94,i,0.09
99.03,u,0.09
99.11,ky,0.09
99.19,i,0.09
99.28,u,0.09
99.36,o,0.09
99.45,iky,0.09
99.53,o,0.09
99.62,p,0.09
99.70,o,0.09
99.79,ky,0.09
99.88,p,0.09
99.96,o,0.09
100.05,h,0.09
100.13,kpy,0.09
100.22,h,0.09
100.30,j,0.09
100.39,h,0.09
100.47,ky,0.09
100.56,j,0.09
100.64,/kp,0.17
100.81,p,0.17
100.98,.jk,0.09
101.06,j,0.09
101.15,,h,0.09
101.23,k,0.09
101.32,h,0.09
101.41,j,0.09
101.49,hmp,0.09
101.58,j,0.09
101.66,h,0.09
101.75,p,0.09
101.83,mp,0.09
101.92,h,0.09
102.00,k,0.09
102.08,p,0.09
102.17,o,0.09
102.25,p,0.09
102.34,jo,0.09
102.42,i,0.09
102.51,h,0.09
102.59,o,0.09
102.68,i,0.09
102.77,u,0.09
102.85,p,0.09
102.94,i,0.09
103.02,u,0.09
103.11,y,0.09
103.19,k,0.17
103.36,l,0.17
103.53,;h,0.17
103.70,h,0.09
103.78,j,0.09
103.87,kn,0.09
103.95,j,0.09
104.04,;,0.09
104.12,k,0.09
104.21,/l,0.09
104.30,k,0.09
104.38,j,0.09
104.47,l,0.09
104.55,;k,0.17
104.72,l,0.17
104.89,;h,0.17
105.06,h,0.09
105.14,j,0.09
105.23,kn,0.09
105.31,j,0.09
105.40,;,0.09
105.48,k,0.09
105.57,/l,0.09
105.66,k,0.09
105.74,j,0.09
105.83,l,0.09
105.91,;k,0.17
106.08,l,0.17
106.25,;i,0.17
106.42,i,0.09
106.50,p,0.09
106.59,kn,0.09
106.67,p,0.09
106.76,;k,0.09
106.84,p,0.09
106.93,/i,0.09
107.02,i,0.09
107.10,np,0.09
107.19,i,0.09
107.27,p,0.09
107.36,k,0.09
107.44,;,0.09
107.53,p,0.09
107.61,/i,0.09
107.69,i,0.09
107.78,lp,0.09
107.86,i,0.09
107.95,p,0.09
108.03,i,0.09
108.12,k,0.09
108.20,y,0.09
108.29,/i,0.09
108.38,i,0.09
108.46,ly,0.09
108.55,i,0.09
108.63,y,0.09
108.72,p,0.09
108.80,k,0.09
108.89,i,0.09
108.97,/kmno,0.09
109.06,y,0.09
109.14,u,0.09
109.22,o,0.09
109.31,p,0.09
109.39,o,0.09
109.48,pu,0.09
109.56,ky,0.09
109.65,lu,0.09
109.73,mo,0.09
109.82,/p,0.09
109.91,mo,0.09
109.99,lu,0.09
110.08,ky,0.09
110.16,pu,0.09
110.25,ou,0.09
110.33,py,0.09
110.42,o,0.09
110.50,/ku,0.09
110.58,p,0.09
110.67,/ko,0.09
110.75,u,0.09
110.84,/ky,0.09
110.92,u,0.09
111.01,,ko,0.09
111.09,p,0.09
111.18,i,0.09
111.27,u,0.09
111.35,mpy,0.09
111.44,u,0.09
111.52,i,0.09
111.61,p,0.09
111.69,i,0.09
111.78,u,0.09
111.86,y,0.09
111.94,u,0.09
112.03,ip,0.09
112.11,kp,0.09
112.20,kl,0.09
112.28,lm,0.09
112.37,kl,0.09
112.45,kp,0.09
112.54,ip,0.09
112.62,u,0.09
112.71,y,0.09
112.80,u,0.09
112.88,i,0.09
112.97,kpy,0.09
113.05,i,0.09
113.14,lu,0.09
113.22,y,0.09
113.31,;hiku,0.34
113.64,o,0.17
113.81,u,0.09
113.90,y,0.09
113.98,iy,0.34
114.33,no,0.17
114.50,;hik,0.34
114.83,u,0.17
115.00,o,0.17
115.17,u,0.09
115.26,y,0.09
115.34,iy,0.51
115.86,ky,0.17
116.03,;ikop,0.34
116.36,h,0.17
116.53,o,0.09
116.62,y,0.09
116.70,iy,0.34
117.05,noy,0.17
117.22,;ikp,0.34
117.56,o,0.17
117.72,h,0.17
117.89,o,0.09
117.98,y,0.09
118.06,iy,0.34
118.41,lu,0.34
118.75,hknop,0.17
118.92,y,0.17
119.08,y,0.09
119.17,u,0.09
119.25,p,0.09
119.34,ho,0.17
119.51,y,0.17
119.68,y,0.09
119.77,u,0.09
119.85,p,0.09
119.94,hko,0.17
120.11,y,0.09
120.19,u,0.09
120.28,p,0.17
120.44,hlo,0.09
120.53,y,0.09
120.61,u,0.09
120.70,p,0.17
120.87,hno,0.09
120.95,y,0.09
121.04,u,0.09
121.12,o,0.09
121.21,mp,0.17
121.38,p,0.09
121.47,u,0.09
121.55,p,0.09
121.64,y,0.09
121.72,u,0.09
121.81,i,0.09
121.89,o,0.09
121.97,p,0.09
122.06,h,0.09
122.14,j,0.09
122.23,k,0.09
122.31,l,0.09
122.40,;,0.09
122.48,n,0.09
122.57,m,0.85
123.42,k,0.17
123.59,/ko,0.34
123.93,.,0.17
124.10,,,0.34
124.44,m,0.34
124.78,m,0.17
124.95,lp,0.34
