# Bad Apple
# Converted from SkyStudio format
# BPM: 240
# Total chords: 279

Time,Keys,Duration
0.00,hiy,0.25
0.25,j,0.25
0.50,iky,0.25
0.75,l,0.25
1.00,;iy,0.50
1.50,,iy,0.25
1.75,imy,0.25
2.00,;iy,0.50
2.50,hiy,0.50
3.00,;iy,0.25
3.25,l,0.25
3.50,iky,0.25
3.75,ijuy,0.25
4.00,hoy,0.25
4.25,j,0.25
4.50,koy,0.25
4.75,l,0.25
5.00,;oy,0.50
5.50,loy,0.25
5.75,koy,0.25
6.00,jpu,0.25
6.25,h,0.25
6.50,jpu,0.25
6.75,h,0.25
7.00,pu,0.50
7.50,jpu,0.25
7.75,k,0.25
8.00,jpu,0.25
8.25,h,0.25
8.50,pu,0.25
8.75,jpu,0.25
9.00,hiy,0.25
9.25,j,0.25
9.50,iky,0.25
9.75,l,0.25
10.00,;iy,0.25
10.25,hiy,0.25
10.50,imy,0.25
10.75,;iy,0.25
11.00,hiy,0.25
11.25,;iy,0.25
11.50,l,0.25
11.75,iky,0.25
12.00,ijy,0.25
12.25,hoy,0.25
12.50,j,0.25
12.75,koy,0.25
13.00,l,0.25
13.25,;oy,0.50
13.75,loy,0.25
14.00,koy,0.25
14.25,jpu,0.25
14.50,kpu,0.25
14.75,lpu,0.25
15.00,pu,0.25
15.25,pu,0.25
15.50,pu,0.25
15.75,;pu,0.25
16.00,hiy,0.25
16.25,j,0.25
16.50,iky,0.25
16.75,l,0.25
17.00,;iy,0.25
17.25,,iy,0.25
17.50,imy,0.25
17.75,;iy,0.25
18.00,hiy,0.50
18.50,;iy,0.25
18.75,l,0.25
19.00,iky,0.25
19.25,juy,0.25
19.50,joy,0.25
19.75,j,0.25
20.00,koy,0.50
20.50,jpu,0.25
20.75,h,0.25
21.00,jpu,0.25
21.25,k,0.25
21.50,jpu,0.25
21.75,h,0.25
22.00,pu,0.25
22.25,jpu,0.25
22.50,hiy,0.25
22.75,j,0.25
23.00,iky,0.25
23.25,l,0.25
23.50,;iy,0.50
24.00,,iy,0.25
24.25,imy,0.25
