# Blank Space 
# Converted from SkyStudio format
# BPM: 350
# Total chords: 312

Time,Keys,Duration
0.68,A2C#3G#3,0.34
1.03,G#3,0.34
1.37,G#3,0.34
1.71,E3,0.34
2.05,A2C#3E3,0.34
2.39,E3,0.34
2.74,E3,0.34
3.08,E3,0.34
3.42,A2C#3F#3,0.34
3.76,F#3,0.34
4.10,F#3,0.34
4.45,E3,0.34
4.79,A2C#3E3,0.34
5.13,E3,0.34
5.47,E3,0.34
5.81,E3,0.34
6.16,A2C#3G#3,0.34
6.50,G#3,0.34
6.84,G#3,0.34
7.18,E3,0.34
7.52,A2C#3E3,0.34
7.87,E3,0.34
8.21,E3,0.34
8.55,E3,0.34
8.89,A2C#3F#3,0.34
9.23,F#3,0.34
9.58,F#3,0.34
9.92,E3,0.34
10.26,A2C#3E3,0.34
10.60,E3,0.34
10.94,E3,0.34
11.29,E3,0.34
11.63,A2C#3,0.68
12.31,E3,0.17
12.48,E3,0.51
13.00,A2C#3E3,0.17
13.17,E3,0.51
13.68,E3,0.17
13.85,E3,0.51
14.36,A2C#3E3,0.68
15.05,F3,0.17
15.22,F#3,0.34
15.56,F#3,0.17
15.73,A2C#3,0.17
15.90,F3,0.34
16.25,E3,0.17
16.42,F3,0.17
16.59,E3,0.17
16.76,F3,0.34
17.10,A2D3,0.68
17.78,E3,0.17
17.95,E3,0.51
18.47,A2D3E3,0.17
18.64,E3,0.51
19.15,E3,0.17
19.32,E3,0.51
19.84,A2D3E3,0.68
20.52,F3,0.17
20.69,F#3,0.34
21.03,F#3,0.17
21.20,A2D3,0.34
21.55,F3,0.34
21.89,F3,0.34
22.23,E3,0.34
22.57,A2C3,0.34
22.91,E3,0.34
23.26,E3,0.51
23.77,C#3,0.17
23.94,A2C#3C3,0.34
24.28,F#3,0.34
24.62,F#3,0.68
25.31,A2C3,0.34
25.65,E3,0.34
25.99,E3,0.51
26.50,C#3,0.17
26.68,A2C#3C3,0.34
27.02,F#3,0.34
27.36,F#3,0.68
28.04,A2C#3,0.34
28.39,E3,0.34
28.73,E3,0.51
29.24,C#3,0.17
29.41,A2C#3,0.34
29.75,F#3,0.34
30.10,F#3,0.34
30.44,F3,0.34
30.78,A#3A2C#3,0.17
30.95,C4,0.17
31.12,A#3,0.17
31.29,G#3,0.17
31.46,F3,0.17
31.64,E3,0.17
31.81,D#3,0.34
32.15,A2C#3,0.68
32.83,A2B2E3,0.68
33.52,A2B2E3,0.17
33.69,E3,0.51
34.20,A2B2E3,0.17
34.37,E3,0.51
34.88,A2C#3E3,0.68
35.57,A2B2F3,0.17
35.74,F#3,0.34
36.08,F#3,0.17
36.25,A2B2,0.17
36.42,F3,0.34
36.77,E3,0.17
36.94,A2B2F3,0.17
37.11,E3,0.17
37.28,F3,0.34
37.62,A2D3,0.68
38.30,A2C3E3,0.17
38.48,E3,0.51
38.99,A2C3E3,0.17
39.16,E3,0.51
39.67,A2C3E3,0.17
39.84,E3,0.51
40.36,A2E3,0.68
41.04,A2C3F3,0.17
41.21,F#3,0.34
