# [C418]Wet Hands (Minecraft BGM)
# Converted from SkyStudio format
# BPM: 272
# Total chords: 186

Time,Keys,Duration
0.00,A2,0.44
0.44,B2,0.44
0.88,A2,0.44
1.32,A#2,0.44
1.76,B2,0.44
2.20,A#2,0.44
2.64,A2,0.44
3.08,C#3,0.44
3.52,C3,0.44
3.96,D3,0.44
4.40,B2,0.44
4.84,C#3,0.44
5.28,B2,0.44
5.72,A2,1.32
7.04,A2,0.44
7.48,B2,0.44
7.92,A2,0.44
8.36,A#2,0.44
8.80,B2,0.44
9.24,A#2,0.44
9.68,A2,0.44
10.12,C#3,0.44
10.56,C3,0.44
11.00,D3,0.44
11.44,B2,0.44
11.88,C#3,0.44
12.32,B2,0.44
12.76,A2,1.32
14.08,A2D#3,0.44
14.52,B2,0.44
14.96,A2,0.44
15.40,A#2,0.44
15.84,B2,0.44
16.28,A#2,0.44
16.72,A2E3,0.44
17.16,C#3,0.44
17.60,C3D3,0.44
18.04,D3,0.44
18.48,B2,0.44
18.92,C#3,0.44
19.36,B2,0.44
19.80,A2,0.44
20.24,C#3,0.44
20.68,D3,0.44
21.12,A2D#3,0.44
21.56,B2,0.44
22.00,A2,0.44
22.44,A#2,0.44
22.88,B2,0.44
23.32,A#2,0.44
23.76,A2F3,0.44
24.20,C#3F#3,0.44
24.64,C3,0.44
25.08,D3,0.44
25.52,B2,0.44
25.96,C#3,0.44
26.40,B2,0.44
26.84,A2,0.44
27.28,F#3,0.44
27.72,G#3,0.44
28.16,A3D3,0.44
28.60,A#2,0.44
29.04,C3,0.44
29.48,A3D3,0.44
29.92,A2G3,0.44
30.36,D3,0.44
30.80,C3E3,0.44
31.24,A#2F3,0.44
31.68,D3,0.44
32.12,A#2,0.44
32.56,C3,0.44
33.00,D3,0.44
33.44,A2,1.76
35.20,A3D3,0.44
35.64,A#2,0.44
36.08,A3C3,0.44
36.52,D3,0.44
36.96,A2G3,0.44
37.40,D3,0.44
37.84,C3E3,0.44
38.28,A#2F3,0.44
38.72,D3,0.44
39.16,A#2,0.44
39.60,C3,0.44
40.04,D3,0.44
40.48,A2,0.88
41.36,E3,0.88
42.24,A2C#3,0.44
42.68,B2,0.44
43.12,A2,0.44
43.56,A#2,0.44
44.00,B2,0.44
44.44,A#2,0.44
44.88,A2,0.44
45.32,C#3,0.44
45.76,A2,0.44
46.20,B2,0.44
46.64,C#3,0.44
47.08,A2,0.44
47.52,B2,0.44
47.96,C#3,0.44
48.40,E3,0.44
48.84,F#3,0.44
49.28,A#2D3F3G3,0.44
49.72,C3,0.44
50.16,D3,0.44
50.60,A2F#3,0.44
51.04,B2E3,0.88
51.92,C#3G#3,0.44
52.36,A3D3,0.44
52.80,A#2,0.44
53.24,C3G3,0.44
53.68,D3,0.44
54.12,A2,0.44
54.56,B2,0.88
55.44,F3,0.44
55.88,F#3,0.44
56.32,D3G3,0.44
56.76,A#2,0.44
57.20,C3F#3,0.44
57.64,D3G3,0.44
58.08,A2,0.44
58.52,A3,1.32
59.84,A2B2C#3F#3,2.64
62.48,A#2,0.44
62.92,A2,0.44
63.36,A#2C#3,0.44
63.80,D#3,0.44
64.24,A#2,0.44
64.68,C#3,0.44
65.12,D#3,0.44
65.56,C#3,0.44
66.00,A#2,0.44
66.44,D#3,0.44
66.88,C#3,0.44
67.32,D#3,0.44
67.76,A#2,0.44
68.20,C#3,0.44
68.64,D#3,0.44
69.08,C#3,0.44
69.52,A2,0.88
70.40,A3D3,0.44
70.84,A#2A3,0.44
71.28,C3G#3,0.44
71.72,D3G3,0.44
72.16,A2G#3,0.44
72.60,D3G3,0.44
73.04,C3G#3,0.44
73.48,A#2A3,0.44
73.92,A2,0.44
74.36,B2G#3,0.44
74.80,C#3,0.44
75.24,A2,0.44
75.68,B2C4,0.44
76.12,A#2,0.44
76.56,A2,0.44
77.00,C#3,0.44
77.44,A#3C#3,0.44
77.88,D#3G#3,0.44
78.32,A#2F3,0.44
78.76,C#3D#3,0.44
79.20,C#3D#3,0.44
79.64,C#3,0.44
80.08,D#3,0.44
80.52,A#2,0.44
80.96,C#3F3,0.44
81.40,D#3,0.44
81.84,C#3,0.44
82.28,A#2,0.44
82.72,D#3,1.76
84.48,C#3,0.44
84.92,D#3,0.44
85.36,A#2,0.44
85.80,C#3,0.44
86.24,D#3,1.76
88.00,C#3,0.44
88.44,D#3,0.44
88.88,A#2,0.44
89.32,C#3,0.44
89.76,C#3,1.76
91.52,C#3,0.44
91.96,D#3,0.44
92.40,A#2,0.44
92.84,C#3,0.44
93.28,A#2,82.50
175.78,A2A3B2C#3C4D#3F3G3,0.50
