# Canon卡农 C大调 简易版
# Converted from SkyStudio format
# BPM: 300
# Total chords: 263

Time,Keys,Duration
0.00,iy,1.60
1.60,pu,1.60
3.20,hy,1.60
4.80,ij,1.60
6.40,ho,1.60
8.00,py,1.60
9.60,ho,1.60
11.20,jp,1.60
12.80,;y,1.60
14.40,lp,1.60
16.00,hk,1.60
17.60,ij,1.60
19.20,ho,1.60
20.80,py,1.60
22.40,ho,1.60
24.00,jp,1.60
25.60,;y,0.40
26.00,i,0.40
26.40,p,0.40
26.80,y,0.40
27.20,jl,0.40
27.60,u,0.40
28.00,op,0.40
28.40,j,0.40
28.80,hk,0.40
29.20,i,0.40
29.60,h,0.40
30.00,y,0.40
30.40,jp,0.40
30.80,i,0.40
31.20,p,0.40
31.60,j,0.40
32.00,ho,0.40
32.40,y,0.40
32.80,o,0.40
33.20,h,0.40
33.60,ip,0.40
34.00,y,0.40
34.40,i,0.40
34.80,p,0.40
35.20,ho,0.40
35.60,y,0.40
36.00,o,0.40
36.40,h,0.40
36.80,p,0.40
37.20,u,0.40
37.60,op,0.40
38.00,h,0.40
38.40,ky,0.40
38.80,ij,0.40
39.20,kp,0.40
39.60,iy,0.40
40.00,jp,0.40
40.40,u,0.40
40.80,jp,0.40
41.20,j,0.40
41.60,hk,0.40
42.00,i,0.40
42.40,;h,0.40
42.80,y,0.40
43.20,mp,0.40
43.60,;i,0.40
44.00,mp,0.40
44.40,,j,0.40
44.80,no,0.40
45.20,;y,0.40
45.60,lo,0.40
46.00,hn,0.40
46.40,;i,0.40
46.80,ly,0.40
47.20,ik,0.40
47.60,jp,0.40
48.00,ho,0.40
48.40,oy,0.40
48.80,ko,0.40
49.20,h,0.40
49.60,jp,0.40
50.00,pu,0.40
50.40,kp,0.40
50.80,j,0.40
51.20,ky,0.40
51.60,ij,0.40
52.00,kp,0.40
52.40,;y,0.40
52.80,jp,0.40
53.20,u,0.40
53.60,jp,0.40
54.00,j,0.40
54.40,hk,0.40
54.80,i,0.40
55.20,;h,0.40
55.60,y,0.40
56.00,mp,0.40
56.40,;i,0.40
56.80,mp,0.40
57.20,,j,0.40
57.60,no,0.40
58.00,;y,0.40
58.40,lo,0.40
58.80,hn,0.40
59.20,;i,0.40
59.60,ly,0.40
60.00,ik,0.40
60.40,jp,0.40
60.80,ho,0.40
61.20,oy,0.40
61.60,ko,0.40
62.00,h,0.40
62.40,jp,0.40
62.80,pu,0.40
63.20,kp,0.40
63.60,;j,0.40
64.00,;y,0.40
64.40,ip,0.40
64.80,;p,0.20
65.00,l,0.20
65.20,ky,0.20
65.40,l,0.20
65.60,jl,0.40
66.00,;u,0.40
66.40,np,0.20
66.60,;,0.20
66.80,jl,0.20
67.00,;,0.20
67.20,hk,0.40
67.60,ik,0.40
68.00,hk,0.40
68.40,jy,0.20
68.60,k,0.20
68.80,jp,0.40
69.20,ip,0.20
69.40,i,0.20
69.60,ip,0.40
70.00,jp,0.40
70.40,ho,0.40
70.80,y,0.40
71.20,jo,0.40
71.60,hk,0.40
72.00,ip,0.40
72.40,y,0.40
72.80,i,0.40
73.20,p,0.40
73.60,ho,0.40
74.00,y,0.40
74.40,jo,0.40
74.80,hk,0.40
75.20,kp,0.40
75.60,ju,0.40
76.00,lp,0.40
76.40,jp,0.40
76.80,my,0.40
77.20,;i,0.20
77.40,n,0.20
77.60,mp,0.40
78.00,;y,0.20
78.20,n,0.20
78.40,jm,0.20
78.60,j,0.20
78.80,hi,0.20
79.00,j,0.20
79.20,kp,0.20
79.40,l,0.20
79.60,;j,0.20
79.80,n,0.20
80.00,;h,0.40
80.40,ik,0.20
80.60,l,0.20
80.80,;h,0.40
81.20,iy,0.20
81.40,o,0.20
81.60,p,0.20
81.80,h,0.20
82.00,ip,0.20
82.20,o,0.20
82.40,p,0.20
82.60,k,0.20
82.80,j,0.20
83.00,k,0.20
83.20,ho,0.40
83.60,ky,0.20
83.80,j,0.20
84.00,ho,0.40
84.40,hp,0.20
84.60,o,0.20
84.80,ip,0.20
85.00,o,0.20
85.20,iy,0.20
85.40,o,0.20
85.60,ip,0.20
85.80,h,0.20
86.00,jp,0.20
86.20,k,0.20
86.40,ho,0.40
86.80,ky,0.20
87.00,j,0.20
87.20,ko,0.40
87.60,hj,0.20
87.80,k,0.20
88.00,jp,0.20
88.20,h,0.20
88.40,ju,0.20
88.60,k,0.20
88.80,lp,0.20
89.00,;,0.20
89.20,jn,0.20
89.40,m,0.20
89.60,my,0.40
90.00,;i,0.20
90.20,n,0.20
90.40,mp,0.40
90.80,;y,0.20
91.00,n,0.20
91.20,jm,0.20
91.40,j,0.20
91.60,hu,0.20
91.80,h,0.20
92.00,kp,0.20
92.20,l,0.20
92.40,;j,0.20
92.60,n,0.20
92.80,;h,0.40
93.20,ik,0.20
93.40,l,0.20
93.60,;h,0.40
94.00,iy,0.20
94.20,o,0.20
94.40,p,0.20
94.60,h,0.20
94.80,ip,0.20
95.00,o,0.20
95.20,p,0.20
95.40,k,0.20
95.60,j,0.20
95.80,k,0.20
96.00,ho,0.40
96.40,ky,0.20
96.60,j,0.20
96.80,ho,0.40
97.20,hp,0.20
97.40,o,0.20
97.60,ip,0.20
97.80,o,0.20
98.00,iy,0.20
98.20,o,0.20
98.40,ip,0.20
98.60,h,0.20
98.80,jp,0.20
99.00,k,0.20
99.20,ho,0.40
99.60,ky,0.20
99.80,j,0.20
100.00,ko,0.40
100.40,hj,0.20
100.60,k,0.20
100.80,jp,0.20
101.00,k,0.20
101.20,lu,0.20
101.40,k,0.20
101.60,jp,0.20
101.80,k,0.20
102.00,hj,0.20
102.20,j,0.20
102.40,ky,0.50
