# Example_Canon.C
# Converted from SkyStudio format
# BPM: 498
# Total chords: 147

Time,Keys,Duration
0.00,B2D3,0.12
0.12,B2D3,0.12
0.24,A#2C#3,0.12
0.36,B2D3,0.12
0.48,B2D3,0.12
0.60,A#2C#3,0.12
0.72,B2D3,0.12
0.84,B2D3,0.12
0.96,A#2C#3,0.12
1.08,B2D3,0.12
1.20,C#3E3,0.24
1.44,B2D3,0.12
1.56,B2D3,0.12
1.68,A#2C#3,0.12
1.80,B2D3,0.12
1.92,B2D3,0.12
2.04,A#2C#3,0.12
2.16,B2D3,0.12
2.28,B2E3,0.12
2.40,A#2F3,0.12
2.52,A#2F#3,0.12
2.64,C3F3,0.12
2.76,F#3,0.12
2.88,D3,0.12
3.00,C#3,0.12
3.12,D3,0.12
3.24,C#3F3,0.12
3.36,F#3,0.12
3.48,D3,0.12
3.60,C#3,0.12
3.72,D3,0.12
3.84,C#3,0.12
3.96,D3F3,0.12
4.08,F#3,0.12
4.20,D3,0.12
4.32,C#3,0.12
4.44,D3,0.12
4.56,C#3,0.12
4.68,E3,0.12
4.80,D#3,0.12
4.92,D#3E3,0.12
5.04,D3,0.12
5.16,C#3,0.12
5.28,F#3,0.12
5.40,C3F3,0.12
5.52,F#3,0.12
5.64,D3,0.12
5.76,C#3,0.12
5.88,D3,0.12
6.00,C#3,0.12
6.12,C#3F3,0.12
6.24,F#3,0.12
6.36,D3,0.12
6.48,C#3,0.12
6.60,D3,0.12
6.72,C#3,0.12
6.84,D3F3,0.12
6.96,F#3,0.12
7.08,G#3,0.12
7.20,A#3,0.12
7.32,C4,0.12
7.44,A#3,0.12
7.56,A3,0.12
7.68,G#3,0.12
7.80,F#3,0.12
7.92,C3F3,0.12
8.04,F#3,0.12
8.16,D3,0.12
8.28,C#3,0.12
8.40,D3,0.12
8.52,C#3,0.12
8.64,C#3F3,0.12
8.76,F#3,0.12
8.88,D3,0.12
9.00,C#3,0.12
9.12,D3,0.12
9.24,C#3,0.12
9.36,D3F3,0.12
9.48,F#3,0.12
9.60,D3,0.12
9.72,C#3,0.12
9.84,D3,0.12
9.96,C#3,0.12
10.08,E3,0.12
10.20,D#3,0.12
10.32,D#3E3,0.12
10.44,D#3,0.12
10.56,C#3,0.12
10.68,B2D3,0.12
10.80,C#3,0.12
10.92,D3,0.12
11.04,E3,0.12
11.16,D3,0.12
11.28,F3,0.12
11.40,C#3F#3,0.12
11.52,F3,0.12
11.64,F#3,0.12
11.76,G#3,0.12
11.88,C4,0.12
12.00,C4,0.12
12.12,G#3,0.12
12.24,C4D3,0.12
12.36,A#3C4,0.12
12.48,A#3,0.12
12.60,A3,0.12
12.72,G#3,0.12
12.84,A3,0.12
12.96,D3,0.12
13.08,E3,0.12
13.20,C3F3,0.12
13.32,F#3,0.12
13.44,D3,0.12
13.56,C#3,0.12
13.68,D3,0.12
13.80,C#3,0.12
13.92,C#3F3,0.12
14.04,F#3,0.12
14.16,D3,0.12
14.28,C#3,0.12
14.40,D3,0.12
14.52,C#3,0.12
14.64,D3F3,0.12
14.76,F#3,0.12
14.88,D3,0.12
15.00,C#3,0.12
15.12,D3,0.12
15.24,C#3,0.12
15.36,E3,0.12
15.48,D#3,0.12
15.60,D#3E3,0.12
15.72,D3,0.12
15.84,C#3,0.12
15.96,C3F3,0.12
16.08,E3,0.12
16.20,F#3,0.12
16.32,G#3,0.12
16.44,A3,0.12
16.56,G#3,0.12
16.68,F#3,0.12
16.80,F3,0.12
16.92,C#3D3,0.12
17.04,E3,0.12
17.16,F3,0.12
17.28,B2D3,0.12
17.40,B2D3,0.12
17.52,A#2C#3,0.12
17.64,B2D3,0.50
