# Faded
# Converted from SkyStudio format
# BPM: 365
# Total chords: 616

Time,Keys,Duration
0.66,hk,0.33
0.98,i,0.33
1.31,ky,0.33
1.64,i,0.33
1.97,hk,0.33
2.30,i,0.33
2.62,;y,0.33
2.95,i,0.33
3.28,,o,0.33
3.61,y,0.33
3.94,,h,0.33
4.26,y,0.33
4.59,,o,0.33
4.92,y,0.33
5.25,hm,0.33
5.58,y,0.33
5.90,;y,0.33
6.23,p,0.33
6.56,;i,0.33
6.89,p,0.33
7.22,;y,0.33
7.54,p,0.33
7.87,;i,0.33
8.20,p,0.33
8.53,jp,0.33
8.86,u,0.33
9.18,j,0.33
9.51,u,0.33
9.84,jp,0.33
10.17,u,0.33
10.50,hj,0.33
10.82,u,0.33
11.15,iy,0.33
11.48,k,0.33
11.81,ky,0.33
12.14,h,0.33
12.46,ky,0.33
12.79,h,0.33
13.12,ky,0.33
13.45,l,0.33
13.78,;hoy,0.66
14.43,hky,0.33
14.76,k,0.33
15.09,hpy,0.33
15.42,;,0.33
15.74,hy,0.66
16.40,ipy,0.66
17.06,ipy,0.66
17.71,ipy,0.33
18.04,k,0.33
18.37,ikpy,0.33
18.70,k,0.33
19.02,jpu,0.66
19.68,pu,0.33
20.01,j,0.33
20.34,jpu,0.33
20.66,h,0.33
20.99,kpu,0.66
21.65,iy,0.33
21.98,k,0.33
22.30,ky,0.33
22.63,h,0.33
22.96,ky,0.33
23.29,h,0.33
23.62,ky,0.33
23.94,l,0.33
24.27,;hoy,0.66
24.93,hky,0.33
25.26,k,0.33
25.58,hmy,0.33
25.91,;,0.33
26.24,hy,0.66
26.90,ipy,0.66
27.55,ipy,0.66
28.21,ipy,0.33
28.54,k,0.33
28.86,ikpy,0.33
29.19,l,0.33
29.52,pu,0.66
30.18,pu,0.66
30.83,pu,0.33
31.16,;i,0.33
31.49,;ipu,0.33
31.82,;i,0.33
32.14,;hik,0.33
32.47,hy,0.33
32.80,k,0.33
33.13,hy,0.33
33.46,k,0.33
33.78,hy,0.33
34.11,;,0.33
34.44,hy,0.33
34.77,,o,0.33
35.10,hy,0.33
35.42,,,0.33
35.75,hy,0.33
36.08,,,0.33
36.41,;hy,0.33
36.74,;m,0.33
37.06,;hy,0.33
37.39,;y,0.33
37.72,iy,0.33
38.05,;,0.33
38.38,iy,0.33
38.70,;,0.33
39.03,iy,0.33
39.36,;,0.33
39.69,iy,0.33
40.02,jp,0.33
40.34,ju,0.33
40.67,j,0.33
41.00,ju,0.33
41.33,j,0.33
41.66,;iju,0.33
41.98,;ij,0.33
42.31,;iju,0.33
42.64,;hik,0.33
42.97,hy,0.66
43.62,hy,0.66
44.28,hk,0.16
44.44,l,0.16
44.61,l,0.33
44.94,hly,0.16
45.10,;,0.16
45.26,lo,0.33
45.59,hk,0.16
45.76,k,0.49
46.25,hy,0.66
46.90,;hiy,0.33
47.23,;i,0.33
47.56,;hiy,0.33
47.89,;iy,0.33
48.22,iy,0.66
48.87,iy,0.66
49.53,ik,0.16
49.69,k,0.16
49.86,k,0.33
50.18,ik,0.16
50.35,l,0.16
50.51,jp,0.33
50.84,ju,0.33
51.17,j,0.33
51.50,jku,0.66
52.15,ju,0.66
52.81,ju,0.66
53.46,;i,0.33
53.79,;i,0.33
54.12,;i,0.33
54.45,;hik,0.66
55.10,hy,0.66
55.76,hy,0.66
56.42,hy,0.33
56.74,k,0.33
57.07,ho,0.33
57.40,p,0.33
57.73,hoy,0.66
58.38,hoy,0.33
58.71,k,0.33
59.04,hmoy,0.33
59.37,m,0.16
59.53,;k,0.16
59.70,y,0.66
60.35,ipy,0.66
61.01,ipy,0.33
61.34,k,0.33
61.66,impy,0.33
61.99,m,0.16
62.16,;j,0.16
62.32,p,0.66
62.98,jpu,0.33
63.30,u,0.33
63.63,jpu,0.33
63.96,;i,0.33
64.29,;ijpu,0.33
64.62,;i,0.33
64.94,;hik,0.66
65.60,hiy,0.66
66.26,hiy,0.33
66.58,k,0.33
66.91,iky,0.33
67.24,h,0.16
67.40,n,0.16
67.57,o,0.66
68.22,hoy,0.66
68.88,hoy,0.66
69.54,hoy,0.33
69.86,m,0.33
70.19,;y,0.33
70.52,m,0.33
70.85,;ipy,0.33
71.18,m,0.33
71.50,;ipy,0.33
71.83,m,0.33
72.16,;ipy,0.33
72.49,l,0.16
72.65,n,0.16
72.82,p,0.66
73.47,jpu,0.33
73.80,h,0.33
74.13,jnpu,0.66
74.78,;jpu,0.66
75.44,hk,0.33
75.77,k,0.33
76.10,hiky,0.33
76.42,k,0.33
76.75,;hiy,0.33
77.08,;,0.16
77.24,/,0.16
77.41,hiy,0.16
77.57,/,0.16
77.74,.,0.33
78.06,,o,0.33
78.39,,,0.33
78.72,,hoy,0.16
78.88,,,0.49
79.38,hnoy,0.66
80.03,;hioy,0.66
80.69,;y,0.33
81.02,;,0.33
81.34,;ipy,0.33
81.67,;,0.33
82.00,impy,0.33
82.33,n,0.33
82.66,;ipy,0.16
82.82,l,0.16
82.98,k,0.33
83.31,jp,0.33
83.64,j,0.33
83.97,jpu,0.33
84.30,,h,0.33
84.62,jnpu,0.66
85.28,;ijpu,0.66
85.94,hk,0.33
86.26,k,0.33
86.59,hiky,0.33
86.92,k,0.33
87.25,;hiy,0.33
87.58,;,0.16
87.74,/,0.16
87.90,hiy,0.16
88.07,/,0.16
88.23,.,0.16
88.40,.,0.16
88.56,,o,0.33
88.89,,,0.33
89.22,,hoy,0.33
89.54,,,0.33
89.87,hnoy,0.66
90.53,hmopy,0.66
91.18,;y,0.33
91.51,;,0.33
91.84,;ipy,0.33
92.17,;,0.33
92.50,impy,0.33
92.82,n,0.33
93.15,;ipy,0.16
93.32,l,0.16
93.48,k,0.33
93.81,jp,0.33
94.14,j,0.33
94.46,jpu,0.16
94.63,j,0.16
94.79,,h,0.33
95.12,jnopu,0.66
95.78,;ijpu,0.66
96.43,hiy,0.33
96.76,hiky,0.33
97.09,hiky,0.33
97.42,hiy,0.33
97.74,hiky,0.33
98.07,hiy,0.33
98.40,hiky,0.16
98.56,hiy,0.16
98.73,hily,0.16
98.89,hiy,0.16
99.06,;hoy,0.33
99.38,hoy,0.33
99.71,hkoy,0.33
100.04,hkoy,0.33
100.37,hopy,0.33
100.70,;hoy,0.33
101.02,hoy,0.33
101.35,hoy,0.33
101.68,ipy,0.33
102.01,ipy,0.33
102.34,ipy,0.33
102.66,ipy,0.33
102.99,ipy,0.33
103.32,ikpy,0.33
