# Fake Love
# Converted from SkyStudio format
# BPM: 270
# Total chords: 285

Time,Keys,Duration
0.89,l,0.22
1.11,l,0.22
1.33,;,0.22
1.55,hnu,0.22
1.78,;,0.22
2.00,n,0.44
2.44,hnu,0.22
2.66,n,0.22
2.89,n,0.22
3.11,n,0.22
3.33,;hi,0.22
3.55,;,0.22
3.77,;,0.22
4.00,;,0.22
4.22,;hi,0.22
4.44,;,0.22
4.66,;,0.22
4.88,n,0.22
5.11,;ho,0.22
5.33,l,0.22
5.55,l,0.44
5.99,,h,0.89
6.88,;i,0.89
7.77,no,0.22
7.99,l,0.22
8.21,l,0.22
8.44,;,0.22
8.66,hnu,0.22
8.88,;,0.22
9.10,n,0.44
9.55,hnu,0.44
9.99,n,0.22
10.21,n,0.22
10.43,;hi,0.22
10.66,;,0.22
10.88,;,0.22
11.10,;,0.22
11.32,;hi,0.22
11.54,;,0.22
11.77,;,0.22
11.99,n,0.22
12.21,;ho,0.22
12.43,l,0.22
12.65,l,0.44
13.10,,h,0.89
13.99,;i,0.89
14.87,no,0.22
15.10,l,0.22
15.32,l,0.22
15.54,l,0.22
15.76,mpu,0.44
16.21,m,0.44
16.65,mpu,0.44
17.09,m,0.22
17.32,m,0.22
17.54,hlm,0.22
17.76,n,0.22
17.98,n,0.44
18.43,u,0.22
18.65,l,0.22
18.87,l,0.22
19.09,l,0.22
19.31,mpu,0.44
19.76,m,0.44
20.20,mpu,0.44
20.65,m,0.22
20.87,m,0.22
21.09,hlm,0.22
21.31,,,0.22
21.53,n,0.44
21.98,hy,0.22
22.20,l,0.22
22.42,l,0.22
22.64,;,0.22
22.87,ny,0.22
23.09,;,0.22
23.31,no,0.22
23.53,;,0.22
23.75,ln,0.22
23.98,;,0.22
24.20,n,0.44
24.64,;y,0.22
24.86,;,0.22
25.09,;p,0.22
25.31,;,0.22
25.53,;k,0.22
25.75,;,0.22
25.97,;,0.22
26.20,n,0.22
26.42,;u,0.22
26.64,l,0.22
26.86,hl,0.44
27.31,;,0.44
27.75,n,0.44
28.19,hlu,0.67
28.86,u,0.22
29.08,lmp,0.44
29.53,mp,0.22
29.75,no,0.22
29.97,lmp,0.67
30.64,y,0.22
30.86,kmp,0.44
31.30,mp,0.22
31.52,no,0.22
31.75,kmp,0.67
32.41,u,0.22
32.63,lmp,0.44
33.08,mp,0.22
33.30,no,0.22
33.52,lmp,0.44
33.97,mp,0.44
34.41,kmp,0.44
34.85,mp,0.22
35.08,no,0.22
35.30,kmp,0.67
35.96,u,0.22
36.19,,hko,0.44
36.63,m,0.22
36.85,n,0.22
37.07,hlu,0.67
37.74,u,0.22
37.96,,hko,0.44
38.41,m,0.22
38.63,n,0.22
38.85,hlo,0.67
39.52,y,0.22
39.74,kmp,0.44
40.18,mp,0.22
40.40,no,0.22
40.63,kmp,0.44
41.07,mp,0.44
41.51,lmp,0.44
41.96,mpu,0.22
42.18,no,0.22
42.40,lmp,0.44
42.85,,,0.22
43.07,m,0.22
43.29,,ky,0.22
43.51,m,0.22
43.73,,k,0.44
44.18,,py,0.22
44.40,/,0.22
44.62,/,0.22
44.84,,ho,0.44
45.29,u,0.22
45.51,y,0.44
45.95,,ky,0.22
46.18,/,0.22
46.40,/,0.22
46.62,,p,0.22
46.84,n,0.22
47.06,;,0.22
47.29,k,0.44
47.73,,lu,0.22
47.95,/,0.22
48.17,/,0.22
48.40,,hl,0.44
48.84,u,0.22
49.06,y,0.44
49.51,lu,0.44
49.95,,l,0.22
50.17,m,0.22
50.39,,ky,0.22
50.62,m,0.22
50.84,,,0.22
51.06,km,0.22
51.28,,py,0.22
51.50,/,0.22
51.73,/,0.22
51.95,,ho,0.44
52.39,u,0.22
52.61,y,0.44
53.06,,ky,0.22
53.28,/,0.22
53.50,/,0.22
53.72,,k,0.22
53.95,;,0.22
54.17,n,0.22
54.39,m,0.44
54.83,,lu,0.22
55.06,/,0.22
55.28,/,0.22
55.50,,hl,0.44
55.94,u,0.22
56.17,y,0.44
56.61,,hlu,1.11
57.72,l,0.22
57.94,l,0.22
58.16,;,0.22
58.39,no,0.22
58.61,;,0.22
58.83,hn,0.44
59.27,ln,0.22
59.50,n,0.22
59.72,n,0.22
59.94,n,0.22
60.16,;y,0.22
60.38,;,0.22
60.61,;i,0.22
60.83,;,0.22
61.05,;h,0.22
61.27,;,0.22
61.49,;,0.22
61.72,n,0.22
61.94,;u,0.22
62.16,l,0.22
62.38,hl,0.44
62.83,,h,0.89
63.71,;i,0.89
64.60,no,0.22
64.82,l,0.22
65.05,l,0.22
65.27,;,0.22
65.49,no,0.22
65.71,;,0.22
65.93,hn,0.44
66.38,ln,0.44
66.82,n,0.22
67.04,n,0.22
67.27,;y,0.22
67.49,;,0.22
67.71,;p,0.22
67.93,;,0.22
68.15,;k,0.22
68.38,;,0.22
68.60,;,0.22
68.82,n,0.22
69.04,;u,0.22
69.26,l,0.22
69.49,hl,0.44
69.93,,h,0.89
70.82,;i,0.89
71.71,no,0.22
71.93,l,0.22
72.15,l,0.22
72.37,l,0.22
72.59,mu,0.44
73.04,mp,0.44
73.48,lm,0.44
73.93,m,0.22
74.15,m,0.22
74.37,mu,0.22
74.59,n,0.22
74.81,no,0.44
75.26,l,0.22
75.48,l,0.22
75.70,l,0.22
75.92,l,0.22
76.15,mu,0.44
76.59,mp,0.44
77.03,lm,0.44
77.48,m,0.22
77.70,m,0.22
77.92,mu,0.22
78.14,,,0.22
78.37,no,0.44
78.81,h,0.22
79.03,l,0.22
79.25,l,0.22
79.48,;,0.22
79.70,ny,0.22
79.92,;,0.22
80.14,no,0.22
80.36,;,0.22
80.59,ln,0.22
80.81,;,0.22
81.03,n,0.44
81.47,;y,0.22
81.70,;,0.22
81.92,;p,0.22
82.14,;,0.22
82.36,;k,0.22
82.58,;,0.22
82.81,;,0.22
83.03,n,0.22
83.25,;u,0.22
83.47,l,0.22
83.69,hl,0.44
84.14,;,0.44
84.58,n,0.44
85.03,l,0.44
85.47,h,0.44
85.91,l,0.44
86.36,h,0.44
86.80,u,0.50
