# Falling Flower 舞い落ちる花びら
# Converted from SkyStudio format
# BPM: 568
# Total chords: 370

Time,Keys,Duration
0.00,/ko,0.32
0.32,.,0.32
0.63,m,0.21
0.84,;,0.32
1.16,l,0.32
1.47,l,0.21
1.68,/lp,0.32
2.00,.,0.32
2.31,m,0.21
2.52,;,0.32
2.83,l,0.32
3.15,l,0.21
3.36,/;h,0.32
3.67,.,0.32
3.99,m,0.21
4.20,;,0.32
4.51,l,0.32
4.83,l,0.21
5.04,l,0.32
5.36,;,0.32
5.67,m,0.21
5.88,;,0.32
6.20,l,0.32
6.51,l,0.21
6.72,/ko,0.32
7.04,.,0.32
7.35,m,0.21
7.56,;,0.32
7.88,l,0.32
8.19,l,0.21
8.40,/lp,0.32
8.71,.,0.32
9.03,m,0.21
9.24,;,0.32
9.55,l,0.32
9.87,l,0.21
10.08,/;h,0.32
10.39,.,0.32
10.71,m,0.21
10.92,;,0.32
11.23,l,0.32
11.55,l,0.21
11.76,l,0.32
12.07,;,0.32
12.39,m,0.21
12.60,;,0.21
12.81,l,0.21
13.02,k,0.21
13.23,j,0.21
13.44,hoy,0.42
13.86,y,0.21
14.07,h,0.21
14.28,;y,0.21
14.49,l,0.21
14.70,ky,0.21
14.91,j,0.21
15.12,lpu,0.42
15.54,u,0.42
15.96,;u,0.21
16.17,l,0.21
16.38,ku,0.21
16.59,j,0.21
16.80,hi,0.42
17.22,;i,0.42
17.64,hi,0.21
17.85,h,0.21
18.06,;i,0.42
18.48,hi,0.42
18.90,i,0.42
19.32,;i,0.21
19.53,l,0.21
19.74,ik,0.21
19.95,j,0.21
20.16,hoy,0.42
20.58,y,0.21
20.79,h,0.21
21.00,;y,0.21
21.21,l,0.21
21.42,ky,0.21
21.63,j,0.21
21.84,lpu,0.42
22.26,u,0.21
22.47,p,0.21
22.68,;u,0.21
22.89,l,0.21
23.10,ku,0.21
23.31,j,0.21
23.52,hi,0.42
23.94,;i,0.42
24.36,hi,0.21
24.57,h,0.21
24.78,;i,0.42
25.20,i,0.42
25.62,i,0.42
26.04,i,0.42
26.46,i,0.21
26.67,h,0.21
26.88,ho,0.42
27.30,;o,0.42
27.72,o,0.21
27.93,h,0.21
28.14,o,0.21
28.35,;,0.21
28.56,p,0.21
28.77,l,0.21
28.98,lp,0.21
29.19,k,0.21
29.40,lp,0.21
29.61,;,0.21
29.82,;p,0.21
30.03,h,0.21
30.24,hi,0.42
30.66,;i,0.42
31.08,i,0.21
31.29,h,0.21
31.50,i,0.21
31.71,;,0.21
31.92,h,0.21
32.13,m,0.21
32.34,hm,0.21
32.55,;,0.21
32.76,;h,0.21
32.97,l,0.21
33.18,hl,0.21
33.39,k,0.21
33.60,ko,0.42
34.02,o,0.21
34.23,k,0.21
34.44,lo,0.21
34.65,;,0.21
34.86,o,0.21
35.07,j,0.21
35.28,p,0.42
35.70,p,0.21
35.91,j,0.21
36.12,kp,0.21
36.33,l,0.21
36.54,p,0.21
36.75,h,0.21
36.96,;i,0.21
37.17,l,0.21
37.38,;i,0.21
37.59,l,0.21
37.80,;i,0.21
38.01,l,0.21
38.22,i,0.21
38.43,h,0.21
38.64,;h,0.21
38.85,l,0.21
39.06,;h,0.21
39.27,l,0.21
39.48,;h,0.21
39.69,l,0.21
39.90,h,0.42
40.32,;o,0.21
40.53,h,0.10
40.63,h,0.10
40.74,ho,0.21
40.95,h,0.21
41.16,ho,0.10
41.27,;,0.32
41.58,o,0.42
