# Faye's Theme  喵桑
# Converted from SkyStudio format
# BPM: 288
# Total chords: 235

Time,Keys,Duration
0.00,A2E3,0.42
0.42,C#3,0.42
0.83,C3F3,0.42
1.25,C#3,0.42
1.66,F#3,0.42
2.08,C#3,0.42
2.50,G3,0.42
2.91,C#3,0.42
3.33,C#3E3,0.42
3.74,C#3,0.42
4.16,D#3F3,0.42
4.58,C#3,0.42
4.99,B2F#3,1.66
6.66,B2E3,0.42
7.07,C#3,0.42
7.49,C3F3,0.42
7.90,C#3,0.42
8.32,D#3F#3,0.42
8.74,C#3,0.42
9.15,C3G3,0.42
9.57,C#3,0.42
9.98,D3F#3,0.42
10.40,B2,0.42
10.82,A2F3,0.42
11.23,D3,0.42
11.65,C#3E3,0.42
12.06,A#2,0.42
12.48,C#3,0.83
13.31,C3E3,0.42
13.73,A2C#3,0.42
14.14,D3F3,0.42
14.56,B2C#3,0.42
14.98,A2F#3,0.42
15.39,C#3,0.42
15.81,E3G3,0.42
16.22,B2C#3,0.42
16.64,C#3E3,0.42
17.06,A#2,0.42
17.47,C#3D#3F3,0.42
17.89,C#3,0.42
18.30,C#3F#3,0.42
18.72,D#3,0.42
19.14,F3G3,0.42
19.55,C#3,0.42
19.97,B2E3,0.42
20.38,A2C#3,0.42
20.80,C#3F3,0.42
21.22,B2C#3,0.42
21.63,D#3F#3,0.42
22.05,C#3,0.42
22.46,D#3G3,0.42
22.88,C#3,0.42
23.30,D3F#3,0.42
23.71,B2,0.42
24.13,A2F3,0.42
24.54,D3,0.42
24.96,C#3E3,0.42
25.38,A#2,0.42
25.79,B2C#3,0.42
26.21,C#3E3,0.42
26.62,C3F3,0.42
27.04,A2,0.42
27.46,D3F3,0.42
27.87,C3E3,0.21
28.08,F3,0.21
28.29,A2,0.42
28.70,F3,0.42
29.12,C#3,0.42
29.54,E3,0.42
29.95,C#3F3,0.83
30.78,D#3,0.42
31.20,C#3,0.42
31.62,G#3,0.83
32.45,C#3,0.42
32.86,E3,0.42
33.28,B2F3,0.42
33.70,D#3,0.42
34.11,B2F3,0.42
34.53,B2E3,0.21
34.74,F3,0.21
34.94,D#3,0.42
35.36,C#3F3,0.42
35.78,C#3,0.42
36.19,E3,0.42
36.61,D3F3,0.42
37.02,B2,0.42
37.44,A2D#3,0.83
38.27,C#3D#3,0.21
38.48,E3,0.21
38.69,A#2,0.21
38.90,F3,0.21
39.10,D#3,0.21
39.31,E3,0.21
39.52,G#3,0.21
39.73,C#3,0.21
39.94,C3G#3,0.21
40.14,C#3,0.21
40.35,A2E3,0.21
40.56,C#3,0.21
40.77,D3F3,0.21
40.98,C#3,0.21
41.18,C3E3,0.21
41.39,C#3,0.21
41.60,A2D#3,0.21
41.81,C#3,0.21
42.02,D3E3,0.21
42.22,C#3,0.21
42.43,C3F3,0.21
42.64,C#3,0.21
42.85,A2E3,0.21
43.06,C#3,0.21
43.26,B2F3,0.21
43.47,C#3,0.21
43.68,A#2F#3,0.21
43.89,C#3,0.21
44.10,D#3G3,0.21
44.30,C#3,0.21
44.51,C3F#3,0.21
44.72,C#3,0.21
44.93,A#2F3,0.21
45.14,C#3,0.21
45.34,B2E3,0.21
45.55,C#3,0.21
45.76,A#2F3,0.21
45.97,C#3,0.21
46.18,F#3,0.21
46.38,C#3,0.21
46.59,B2G#3,0.21
46.80,C#3,0.21
47.01,B2E3,0.21
47.22,C#3,0.21
47.42,C3F3,0.21
47.63,C#3,0.21
47.84,B2E3,0.21
48.05,C#3,0.21
48.26,A#2D#3,0.21
48.46,C#3,0.21
48.67,B2E3,0.21
48.88,C#3,0.21
49.09,B2F3,0.21
49.30,C#3,0.21
49.50,B2F#3,0.21
49.71,C#3,0.21
49.92,D3G3,0.21
50.13,C#3,0.21
50.34,B2F#3,0.21
50.54,C#3,0.21
50.75,C3F3,0.21
50.96,C#3,0.21
51.17,D3E3,0.21
51.38,C#3,0.21
51.58,A#2D#3,0.21
51.79,C#3,0.21
52.00,A#2E3,0.21
52.21,C#3,0.21
52.42,D#3F3,0.21
52.62,C#3,0.21
52.83,B2E3,0.21
53.04,C#3,0.21
53.25,E3,0.42
53.66,C#3,0.42
54.08,F3,0.42
54.50,A2B2,0.42
54.91,A2B2,0.42
55.33,C3,0.42
55.74,E3G#3,0.83
56.58,C#3D#3,0.42
56.99,A#2,0.42
57.41,D#3,0.42
57.82,C#3F3,0.42
58.24,A2C#3,0.42
