# Foe River 完整版 喵桑
# Converted from SkyStudio format
# BPM: 480
# Total chords: 277

Time,Keys,Duration
0.00,A2F3,0.25
0.25,F#3,0.25
0.50,C#3F3,0.25
0.75,F#3,0.25
1.00,E3F3,0.25
1.25,F#3,0.25
1.50,C#3F3,0.25
1.75,F#3,0.25
2.00,D3F3,0.25
2.25,F#3,0.25
2.50,B2F3,0.25
2.75,F#3,0.25
3.00,E3F3,0.25
3.25,F#3,0.25
3.50,B2F3,0.25
3.75,F#3,0.25
4.00,C3F3,0.25
4.25,F#3,0.25
4.50,A2F3,0.25
4.75,F#3,0.25
5.00,E3F3,0.25
5.25,F#3,0.25
5.50,A2F3,0.25
5.75,F#3,0.25
6.00,C#3F3,0.25
6.25,F#3,0.25
6.50,A#2F3,0.25
6.75,E3,0.25
7.00,E3F3,0.25
7.25,F#3,0.25
7.50,D#3G3,0.25
7.75,F#3,0.25
8.00,A2F3,0.25
8.25,F#3,0.25
8.50,C#3F3,0.25
8.75,F#3,0.25
9.00,E3F3,0.25
9.25,F#3,0.25
9.50,C#3F3,0.25
9.75,F#3,0.25
10.00,D3F3,0.25
10.25,F#3,0.25
10.50,B2F3,0.25
10.75,F#3,0.25
11.00,E3F3,0.25
11.25,F#3,0.25
11.50,B2F3,0.25
11.75,F#3,0.25
12.00,C3F3,0.25
12.25,F#3,0.25
12.50,A2F3,0.25
12.75,F#3,0.25
13.00,E3F3,0.25
13.25,F#3,0.25
13.50,A2F3,0.25
13.75,F#3,0.25
14.00,C#3F3,0.25
14.25,F#3,0.25
14.50,A#2F3,0.25
14.75,E3,0.25
15.00,E3F3,0.25
15.25,F#3,0.25
15.50,D#3G3,0.25
15.75,F#3,0.25
16.00,A2F3,0.25
16.25,C#3F#3,0.25
16.50,E3F#3,0.25
16.75,C#3F#3,0.25
17.00,F#3G#3,0.25
17.25,B2F#3,0.25
17.50,E3,0.25
17.75,G#3,0.25
18.00,D3E3G#3,0.25
18.25,B2,0.25
18.50,D3,0.25
18.75,E3,0.25
19.00,E3F#3,0.25
19.25,A3E3,0.25
19.50,A2E3,0.25
19.75,A2A3,0.25
20.00,C3D3,0.25
20.25,D#3,0.25
20.50,E3,0.25
20.75,D3,0.25
21.00,D#3E3,0.25
21.25,E3,0.25
21.50,E3F3,0.25
