# G大调莫扎特奏鸣曲K283 Mozart Sonata
# Converted from SkyStudio format
# BPM: 469
# Total chords: 127

Time,Keys,Duration
1.02,m,0.38
1.40,;,0.13
1.52,my,0.25
1.78,i,0.25
2.03,p,0.25
2.29,i,0.25
2.54,kp,0.25
2.79,i,0.25
3.05,ju,0.25
3.30,o,0.25
3.56,p,0.25
3.81,o,0.25
4.06,lp,0.25
4.32,o,0.13
4.45,j,0.13
4.57,lu,0.25
4.83,p,0.25
5.08,j,0.25
5.33,p,0.25
5.59,jn,0.25
5.84,p,0.25
6.10,;y,0.25
6.35,i,0.25
6.60,p,0.25
6.86,i,0.25
7.11,/y,0.38
7.49,.,0.13
7.62,.ko,0.25
7.87,,,0.25
8.13,,,0.51
8.64,/,0.38
9.02,,,0.13
9.14,,ik,0.25
9.40,m,0.25
9.65,m,0.51
10.16,/,0.38
10.54,m,0.13
10.67,lmn,0.51
11.18,;km,0.51
11.68,jlm,0.51
12.19,ipy,0.13
12.32,h,0.13
12.45,j,0.13
12.57,k,0.13
12.70,l,0.13
12.83,;,0.13
12.95,n,0.13
13.08,m,0.13
13.21,hkn,0.13
13.34,;,0.13
13.46,l,0.13
13.59,k,0.13
13.72,j,0.13
13.84,h,0.13
13.97,p,0.13
14.10,o,0.13
14.22,;kp,0.13
14.35,m,0.13
14.48,;,0.13
14.61,k,0.13
14.73,lo,0.13
14.86,n,0.13
14.99,l,0.13
15.11,j,0.13
15.24,iky,0.76
16.00,y,0.13
16.13,i,0.13
16.26,u,0.13
16.38,o,0.13
16.51,i,0.13
16.64,p,0.13
16.76,o,0.76
17.53,u,0.13
17.65,o,0.13
17.78,i,0.13
17.91,p,0.13
18.03,o,0.13
18.16,h,0.13
18.29,p,0.76
19.05,i,0.13
19.18,p,0.13
19.30,o,0.13
19.43,h,0.13
19.56,p,0.13
19.68,j,0.13
19.81,h,0.13
19.94,j,0.13
20.07,p,0.13
20.19,h,0.13
20.32,o,0.13
20.45,h,0.13
20.57,p,0.13
20.70,j,0.13
20.83,h,0.13
20.95,k,0.13
21.08,j,0.13
21.21,l,0.13
21.34,k,0.13
21.46,l,0.13
21.59,j,0.13
21.72,k,0.13
21.84,h,0.13
21.97,k,0.13
22.10,j,0.13
22.23,l,0.13
22.35,ky,0.13
22.48,;,0.13
22.61,lu,0.13
22.73,n,0.13
22.86,;i,0.13
22.99,n,0.13
23.11,lu,0.13
23.24,;,0.13
23.37,ky,0.13
23.50,;,0.13
23.62,lu,0.13
23.75,n,0.13
23.88,;i,0.13
24.00,m,0.13
24.13,no,0.13
24.26,,,0.13
24.38,mp,0.51
24.89,p,0.13
25.02,h,0.13
25.15,p,0.13
25.27,h,0.13
25.40,p,0.50
