# KING
# Converted from SkyStudio format
# BPM: 335
# Total chords: 703

Time,Keys,Duration
0.72,B2D3,0.36
1.07,B2F#3,0.18
1.25,B2F3,0.18
1.43,B2F3,0.18
1.61,B2E3,0.18
1.79,B2D#3,0.18
1.97,B2D3,0.18
2.15,C#3D3,0.18
2.33,B2D3,0.18
2.51,C#3D3,0.18
2.69,B2D3,0.18
2.86,C#3D3,0.72
3.58,A2D3,0.18
3.76,B2D3,0.18
3.94,A2F#3,0.18
4.12,B2D3F3,0.18
4.30,A2F3,0.18
4.47,B2D3E3,0.18
4.65,A2D#3,0.18
4.83,B2D3,0.18
5.01,A2D3,0.18
5.19,B2D#3D3,0.18
5.37,A2E3,0.18
5.55,B2D3F3,0.18
5.73,A2F3,0.18
5.91,B2D3,0.18
6.09,A2F#3,0.18
6.26,B2D3,0.18
6.44,A2D3,0.18
6.62,C3D3,0.18
6.80,A2F#3,0.18
6.98,C3D3F3,0.18
7.16,A2F3,0.18
7.34,C3D3E3,0.18
7.52,A2D#3,0.18
7.70,C3D3,0.18
7.88,A2C#3D3,0.18
8.05,C3D3,0.18
8.23,A2C#3D3,0.18
8.41,C3D3,0.18
8.59,A2C#3D3,0.18
8.77,C3D3,0.18
8.95,A2,0.18
9.13,C3D3,0.18
9.31,A2D3,0.18
9.49,B2D3,0.18
9.67,A2F#3,0.18
9.85,B2D3F3,0.18
10.02,A2F3,0.18
10.20,B2D3E3,0.18
10.38,A2D#3,0.18
10.56,B2D3,0.18
10.74,A2D3,0.18
10.92,B2D#3D3,0.18
11.10,A2E3,0.18
11.28,B2D3F3,0.18
11.46,A2F3,0.18
11.63,B2D3,0.18
11.81,A2F#3,0.18
11.99,B2D3,0.18
12.17,A2D3,0.18
12.35,C3D3,0.18
12.53,A2F#3,0.18
12.71,C3D3F3,0.18
12.89,A2F3,0.18
13.07,C3D3E3,0.18
13.25,A2D#3,0.18
13.43,C3D3,0.18
13.60,A2C#3D3,0.18
13.78,C3D3,0.18
13.96,A2C#3D3,0.18
14.14,C3D3,0.18
14.32,A2C#3D3,0.36
14.68,A2B2,0.36
15.04,A2D3,0.18
15.21,B2,0.18
15.39,D3,0.18
15.57,B2F#3,0.18
15.75,A2F#3,0.18
15.93,B2,0.18
16.11,D3,0.18
16.29,B2F3,0.18
16.47,A2,0.18
16.65,C3E3,0.18
16.83,D3G3,0.18
17.00,C3,0.18
17.18,A2F#3,0.18
17.36,C3,0.18
17.54,D3E3,0.18
17.72,C3,0.18
17.90,A#2F3,0.36
18.26,A#2C#3,0.18
18.44,C#3,0.18
18.62,A#2C#3,0.36
18.97,A#2C#3,0.18
19.15,C#3,0.18
19.33,A2,0.18
19.51,B2,0.18
19.69,C#3,0.18
19.87,B2,0.18
20.05,A2D3,0.18
20.23,B2,0.18
20.41,C#3F#3,0.18
20.59,B2,0.18
20.76,A2A3,0.18
20.94,B2,0.18
21.12,D3F#3,0.18
21.30,B2F#3,0.18
21.48,A2C4,0.18
21.66,B2,0.18
