# Let It Go 冰雪奇缘
# Converted from SkyStudio format
# BPM: 537
# Total chords: 486

Time,Keys,Duration
0.00,A#3D3F#3,0.22
0.22,C4,0.22
0.44,F#3,0.22
0.67,A#3,0.44
1.11,C4,0.67
1.78,A#3C3E3,0.22
2.00,C4,0.22
2.22,F#3,0.22
2.44,C4,0.44
2.89,A#3,0.67
3.55,A3C#3F3,0.22
3.77,A#3,0.22
4.00,F3,0.22
4.22,A3,0.44
4.66,A#3,0.44
5.11,F3,0.22
5.33,A#2D3G#3,0.89
6.22,G3,0.89
7.10,A#3A3D3F#3,0.22
7.33,C4,0.22
7.55,F#3,0.22
7.77,A#3,0.44
8.21,C4,0.67
8.88,C3C4E3G3,0.22
9.10,A#3,0.22
9.32,F#3,0.22
9.55,C4,0.44
9.99,A#3,0.44
10.43,F3,0.22
10.66,A3C#3F3G#3,0.22
10.88,A#3,0.22
11.10,F3,0.22
11.32,A3,0.44
11.77,A#3,0.44
12.21,F3,0.22
12.43,A#2D3F3G#3,0.89
13.32,A3,0.89
14.21,B2D3E3F#3,0.44
14.65,F#3,0.44
15.10,D3F#3,0.44
15.54,B2F#3,0.22
15.76,F#3,0.22
15.98,A2C3D3F#3,0.22
16.21,F3,0.22
16.43,E3,0.22
16.65,E3,0.22
16.87,C3,0.44
17.32,E3,0.22
17.54,E3,0.22
17.76,A#2C#3D#3F3,0.22
17.98,F3,0.67
18.65,C#3,0.22
18.87,E3,0.22
19.09,A#2D#3,0.22
19.31,D3,0.22
19.54,A#2C#3,0.89
20.42,C3,0.67
21.09,D3,0.22
21.31,B2D3E3F#3,0.22
21.53,F#3,0.22
21.76,F#3,0.22
21.98,F#3,0.22
22.20,D3,0.44
22.64,B2E3G#3,0.22
22.87,G#3,0.22
23.09,A2C3,0.22
23.31,D3F#3,0.67
23.98,C3,0.44
24.42,E3,0.22
24.64,E3,0.22
24.86,A#2C#3D#3F3,0.22
25.09,F#3,0.67
25.75,C#3,0.22
25.97,F3,0.22
26.20,A#2E3,0.22
26.42,F3,0.22
26.64,A#2C#3D3,0.89
27.53,A#2,0.89
28.42,B2,0.22
28.64,D3,0.22
28.86,E3F#3,0.22
29.08,F#3,0.22
29.30,D3,0.22
29.53,E3G#3,0.22
29.75,B2,0.22
29.97,A3E3,0.22
30.19,A2,0.22
30.41,C3E3G#3,0.22
30.64,D3,0.22
30.86,E3F#3,0.22
31.08,C3,0.22
31.30,E3G#3,0.22
31.52,A2,0.22
31.75,D#3G#3,0.22
31.97,A#2,0.22
32.19,C#3G#3,0.22
32.41,D#3,0.22
32.63,G3,0.22
32.86,C#3,0.22
33.08,F#3,0.22
33.30,A#2,0.22
33.52,G3,0.22
33.74,A#2D3F#3,0.22
33.97,C3,0.22
34.19,D3,0.44
34.63,C3,0.44
35.08,A#2,0.44
35.52,B2D3E3F#3,0.44
35.96,F3,0.22
36.19,F#3,0.22
36.41,F3,0.22
36.63,E3,0.44
37.07,A#2C#3D#3F3,0.67
37.74,F3,0.22
37.96,F#3,0.22
38.18,F3,0.44
38.63,E3,0.44
39.07,A#2,0.22
39.29,C#3D3,0.67
39.96,A#2D3F3,0.89
40.85,A#2A3D3F3,0.89
41.74,D3F3,0.89
42.62,A#2C#3D#3F3,0.44
43.07,A#2,0.22
43.29,A#2,0.44
43.73,A#2C#3,0.44
44.18,A#2C#3,0.67
44.84,A#2,0.22
45.07,A#2,0.22
45.29,A#2,0.22
45.51,D3,0.22
45.73,A#2,0.22
45.95,D3,0.22
46.18,A2C3,0.44
46.62,D3,0.22
46.84,C#3,0.22
47.06,D3,0.22
47.29,A2C3D3,0.44
47.73,C#3,0.22
47.95,A2C3D3,0.22
48.17,D#3,0.44
48.62,E3,0.22
48.84,A2C3,0.22
49.06,D#3,0.22
49.28,A2C3,0.22
49.51,D#3,0.22
49.73,A#2C#3,0.44
50.17,A#2,0.22
50.39,A#2,0.44
50.84,A#2C#3,0.44
51.28,A#2C#3,0.67
51.95,A#2,0.22
52.17,A#2,0.22
52.39,A#2,0.22
52.61,D3,0.22
52.84,A#2,0.22
53.06,D3,0.22
53.28,A2C3,0.44
53.72,A2,0.44
54.17,A2C3,0.44
54.61,A2,0.44
55.06,A2C3,0.44
55.50,A2,0.44
55.94,A2C3,0.44
56.39,A2C#3,0.22
56.61,D3,0.22
56.83,A2C3,0.22
57.05,D#3,0.22
57.28,A2E3,0.44
57.72,A2C3,0.44
58.16,A2C3,0.44
58.61,A2C3,0.44
59.05,A2C3,0.44
59.50,A2C3,0.22
59.72,D3,0.22
59.94,D#3,0.22
60.16,E3,0.22
60.38,C4G#3,0.44
60.83,C4G#3,0.44
61.27,C4G#3,0.22
61.49,C#3,0.22
61.72,C#3C4G#3,0.22
61.94,F3,0.22
62.16,A#3G#3,0.44
62.60,A#3G#3,0.44
63.05,A#3G#3,0.44
63.49,A#3E3G#3,0.22
63.71,D#3,0.22
63.94,A3C4D3,0.22
64.16,D3,0.22
64.38,A3C4D3,0.44
64.82,A3C4D3,0.22
65.05,D#3,0.22
65.27,A3C4,0.22
65.49,E3,0.22
65.71,C4G3,0.44
66.16,C4G3,0.44
66.60,C4G3,0.22
66.82,D3,0.22
67.04,C4D#3G3,0.22
67.27,E3,0.22
67.49,C4G#3,0.44
67.93,C4G#3,0.44
68.38,C4G#3,0.22
68.60,C#3,0.22
68.82,C4F#3G#3,0.22
69.04,F3,0.22
69.26,A#3G#3,0.44
69.71,A#3G#3,0.44
70.15,A#3G#3,0.44
70.60,A#3E3G#3,0.22
70.82,F#3,0.22
71.04,A3C4,0.22
71.26,F#3,0.22
71.48,A3C4F#3,0.22
71.71,G3,0.22
71.93,A3C4F#3,0.44
72.37,A3C4F3,0.22
72.59,E3,0.22
72.82,C4F3G3,0.22
