# Let her go
# Converted from SkyStudio format
# BPM: 270
# Total chords: 422

Time,Keys,Duration
0.89,l,0.22
1.11,;,0.22
1.33,l,0.22
1.55,k,0.22
1.78,py,0.22
2.00,h,0.22
2.22,ko,0.44
2.66,y,0.22
2.89,h,0.22
3.11,o,0.22
3.33,;,0.22
3.55,y,0.44
4.00,o,0.44
4.44,lu,0.22
4.66,;,0.22
4.88,lp,0.22
5.11,k,0.22
5.33,ip,0.22
5.55,h,0.22
5.77,hk,0.44
6.22,i,0.22
6.44,h,0.22
6.66,h,0.22
6.88,;,0.22
7.10,lu,0.44
7.55,p,0.44
7.99,lu,0.22
8.21,;,0.22
8.44,lp,0.22
8.66,k,0.22
8.88,py,0.22
9.10,h,0.22
9.32,ko,0.44
9.77,y,0.22
9.99,h,0.22
10.21,o,0.22
10.43,k,0.22
10.66,my,0.22
10.88,;,0.22
11.10,o,0.44
11.54,u,0.22
11.77,k,0.22
11.99,lp,0.22
12.21,;,0.22
12.43,i,0.44
12.88,h,0.44
13.32,i,0.44
13.76,h,0.44
14.21,i,0.44
14.65,h,0.44
15.10,lu,0.22
15.32,;,0.22
15.54,lp,0.22
15.76,k,0.22
15.98,py,0.22
16.21,h,0.22
16.43,koy,0.44
16.87,y,0.22
17.09,h,0.22
17.32,oy,0.22
17.54,;,0.22
17.76,y,0.44
18.20,oy,0.44
18.65,lu,0.22
18.87,;,0.22
19.09,lpu,0.22
19.31,k,0.22
19.54,ip,0.22
19.76,h,0.22
19.98,hik,0.44
20.42,i,0.22
20.65,h,0.22
20.87,hi,0.22
21.09,;,0.22
21.31,lu,0.44
21.76,pu,0.44
22.20,lu,0.22
22.42,;,0.22
22.64,lpu,0.22
22.87,k,0.22
23.09,py,0.22
23.31,h,0.22
23.53,koy,0.44
23.98,y,0.22
24.20,h,0.22
24.42,oy,0.22
24.64,k,0.22
24.86,my,0.22
25.09,;,0.22
25.31,oy,0.44
25.75,u,0.22
25.97,k,0.22
26.20,lpu,0.22
26.42,;,0.22
26.64,i,0.44
27.08,hi,0.44
27.53,i,0.44
27.97,hi,0.44
28.42,i,0.44
28.86,;hi,0.22
29.08,;,0.22
29.30,lu,0.22
29.53,;,0.22
29.75,lpu,0.22
29.97,k,0.22
30.19,ky,0.44
30.64,ko,0.22
30.86,h,0.22
31.08,ky,0.22
31.30,h,0.22
31.52,ko,0.44
31.97,y,0.44
32.41,p,0.44
32.86,ly,0.22
33.08,;,0.22
33.30,lp,0.22
33.52,k,0.22
33.74,lu,0.44
34.19,lp,0.22
34.41,k,0.22
34.63,;u,0.22
34.85,l,0.22
35.08,lp,0.22
35.30,k,0.22
35.52,i,0.44
35.96,h,0.44
36.41,il,0.22
36.63,;,0.22
36.85,hl,0.22
37.07,k,0.22
37.30,ly,0.22
37.52,k,0.22
37.74,ho,0.22
37.96,h,0.22
38.18,hy,0.22
38.41,p,0.22
38.63,ko,0.44
39.07,y,0.44
39.52,p,0.44
39.96,y,0.44
40.40,k,0.44
40.85,u,0.44
41.29,p,0.44
41.74,u,0.44
42.18,p,0.44
42.62,u,0.44
43.07,;p,0.22
43.29,;,0.22
43.51,;u,0.22
43.73,l,0.22
43.96,lp,0.22
44.18,k,0.22
44.40,ky,0.44
44.84,koy,0.22
45.07,h,0.22
45.29,ky,0.22
45.51,h,0.22
45.73,koy,0.44
46.18,y,0.44
46.62,py,0.44
47.06,ly,0.22
47.29,;,0.22
47.51,lpy,0.22
47.73,k,0.22
47.95,lu,0.44
48.40,lpu,0.22
48.62,k,0.22
48.84,;u,0.22
49.06,l,0.22
49.28,lpu,0.22
49.51,k,0.22
49.73,i,0.44
50.17,hi,0.44
50.62,il,0.22
50.84,;,0.22
51.06,hil,0.22
51.28,k,0.22
51.50,ly,0.22
51.73,k,0.22
51.95,hoy,0.22
52.17,h,0.22
52.39,hy,0.22
52.61,p,0.22
52.84,koy,0.44
53.28,y,0.44
53.72,py,0.44
54.17,y,0.44
54.61,ky,0.44
55.06,u,0.44
55.50,pu,0.44
55.94,u,0.44
56.39,pu,0.44
56.83,pu,0.44
57.28,l,0.22
57.50,k,0.22
57.72,;,0.22
57.94,l,0.22
58.16,l,0.22
58.39,k,0.22
58.61,,h,0.44
59.05,k,0.44
59.50,,;,0.44
59.94,p,0.44
60.38,,kno,0.44
60.83,h,0.44
61.27,,kn,0.44
61.72,h,0.44
62.16,.lmp,0.44
62.60,j,0.44
63.05,.lm,0.44
63.49,o,0.44
63.94,.;im,0.44
64.38,p,0.44
64.82,.;jm,0.44
65.27,p,0.44
65.71,,/;h,0.44
66.16,k,0.44
66.60,,/;,0.44
67.04,p,0.44
67.49,,/no,0.44
67.93,h,0.44
68.38,,/kn,0.44
68.82,h,0.44
69.26,.lmp,0.44
69.71,j,0.44
70.15,.lm,0.44
70.60,j,0.44
71.04,.lmp,0.44
71.48,j,0.44
71.93,.lm,0.44
72.37,j,0.44
72.82,;h,0.22
73.04,;,0.22
73.26,;ky,0.22
73.48,;,0.22
73.70,;i,0.22
73.93,l,0.22
74.15,kp,0.22
74.37,k,0.22
74.59,ko,0.44
75.04,h,0.44
75.48,;k,0.22
75.70,;,0.22
75.92,h,0.22
76.15,;,0.22
76.37,p,0.22
76.59,l,0.22
76.81,i,0.22
77.03,l,0.22
77.26,lp,0.22
77.48,k,0.22
77.70,ij,0.44
78.14,ij,0.44
78.59,p,0.22
78.81,h,0.22
79.03,;i,0.22
79.25,l,0.22
79.48,p,0.22
79.70,k,0.22
79.92,h,0.44
80.36,hy,0.22
80.59,h,0.22
80.81,;i,0.44
81.25,p,0.22
81.47,l,0.22
81.70,ko,0.44
82.14,h,0.44
82.58,k,0.44
83.03,h,0.44
83.47,p,0.44
83.92,j,0.44
84.36,l,0.44
84.80,j,0.44
85.25,p,0.44
85.69,j,0.44
86.14,l,0.44
86.58,j,0.22
86.80,h,0.22
87.02,;hk,0.22
87.25,;k,0.22
87.47,;ky,0.22
87.69,;k,0.22
87.91,;ik,0.22
88.13,jl,0.22
88.36,kp,0.22
88.58,kp,0.22
88.80,kop,0.44
89.24,h,0.44
89.69,;k,0.22
89.91,;k,0.22
90.13,h,0.22
90.35,;k,0.22
90.58,p,0.22
90.80,jl,0.22
91.02,i,0.22
91.24,jl,0.22
91.46,jlp,0.22
91.69,kp,0.22
91.91,ijp,0.44
92.35,ijp,0.44
92.80,p,0.22
93.02,h,0.22
93.24,;ik,0.22
93.46,jl,0.22
93.68,p,0.22
93.91,kp,0.22
94.13,h,0.44
94.57,hy,0.22
94.79,h,0.22
95.02,;ik,0.44
95.46,p,0.22
95.68,jl,0.22
95.90,hik,0.44
96.35,p,0.44
96.79,j,0.44
97.24,p,0.44
97.68,p,0.44
98.12,j,0.44
98.57,l,0.44
99.01,j,0.44
99.46,p,0.44
99.90,;k,0.22
100.12,;,0.22
100.34,lu,0.22
100.57,;,0.22
100.79,lpu,0.22
101.01,k,0.22
101.23,hky,0.44
101.68,hko,0.22
101.90,ho,0.22
102.12,hky,0.22
102.34,ho,0.22
102.56,ko,0.44
103.01,y,0.44
103.45,p,0.44
103.90,ly,0.22
104.12,;,0.22
104.34,lp,0.22
104.56,k,0.22
104.78,jlu,0.44
105.23,jlp,0.22
105.45,kp,0.22
105.67,;ju,0.22
105.89,jl,0.22
106.12,jlp,0.22
106.34,hk,0.22
106.56,i,0.44
107.00,h,0.44
107.45,il,0.22
107.67,;,0.22
107.89,hl,0.22
108.11,k,0.22
108.34,hly,0.22
108.56,hk,0.22
108.78,ho,0.22
109.00,ho,0.22
109.22,hoy,0.22
109.45,ip,0.22
109.67,hko,0.44
110.11,y,0.44
110.56,p,0.44
111.00,y,0.44
111.44,k,0.44
111.89,u,0.44
112.33,p,0.44
112.78,u,0.44
113.22,p,0.44
113.66,u,0.44
114.11,;p,0.22
114.33,;,0.22
114.55,;u,0.22
114.77,l,0.22
115.00,lp,0.22
115.22,k,0.22
115.44,hky,0.44
115.88,hkoy,0.22
116.11,ho,0.22
116.33,hky,0.22
116.55,ho,0.22
116.77,hkoy,0.44
117.22,y,0.44
117.66,py,0.44
118.10,ly,0.22
118.33,;,0.22
118.55,lpy,0.22
118.77,k,0.22
118.99,jlu,0.44
119.44,jlpu,0.22
119.66,hk,0.22
119.88,;ju,0.22
120.10,jl,0.22
120.32,jlpu,0.22
120.55,hk,0.22
120.77,i,0.44
121.21,hi,0.44
121.66,il,0.22
121.88,;,0.22
122.10,hil,0.22
122.32,k,0.22
122.54,jly,0.22
122.77,hk,0.22
122.99,hoy,0.22
123.21,ho,0.22
123.43,hoy,0.22
123.65,p,0.22
123.88,hkoy,0.44
124.32,y,0.44
124.76,py,0.44
125.21,y,0.44
125.65,ky,0.44
126.10,u,0.44
126.54,pu,0.44
126.98,u,0.44
127.43,pu,0.44
127.87,pu,0.44
128.32,p,0.22
128.54,p,0.22
128.76,;,0.22
128.98,l,0.22
129.20,l,0.22
129.43,k,0.22
129.65,h,0.50
