# Let’s fall in love for the night 
# Converted from SkyStudio format
# BPM: 235
# Total chords: 329

Time,Keys,Duration
0.00,E3,0.26
0.26,E3,0.26
0.51,F3,0.26
0.77,F#3,0.51
1.27,A#2D3F#3,0.51
1.78,F3,0.26
2.04,E3,0.26
2.29,A#2D#3D3,0.51
2.81,D#3,0.26
3.06,C#3,0.26
3.31,A#2C#3F3,0.51
3.83,F3,0.26
4.08,E3,0.26
4.33,A#2C#3D#3,0.51
4.84,D#3,0.26
5.10,E3,0.26
5.36,A2B2D#3,1.02
6.38,A2B2,1.02
7.39,A2B2,0.51
7.91,E3,0.26
8.16,E3,0.26
8.41,F3,0.26
8.67,F#3,0.51
9.18,A#2C3D3F#3,0.51
9.69,F3,0.26
9.95,E3,0.26
10.20,A#2C3D#3D3,0.51
10.71,D#3,0.26
10.96,C#3,0.26
11.22,A#2C#3D#3F3,0.51
11.73,F3,0.26
11.98,E3,0.26
12.24,A#2C#3D#3,0.51
12.75,D#3,0.26
13.01,E3,0.26
13.26,A2B2C#3D#3,1.02
14.28,A2B2C#3,1.02
15.30,A2B2C#3,1.53
16.83,F#3,0.26
17.09,G3,0.26
17.34,A#2D3F#3,0.51
17.85,F#3,0.26
18.11,G3,0.26
18.36,A#2D3F#3,0.51
18.87,F#3,0.26
19.12,G3,0.26
19.38,A#2C#3F#3,0.26
19.64,G3,0.26
19.89,F#3,0.26
20.14,C4,0.51
20.66,A#3,0.51
21.16,F#3,0.26
21.42,A2B2C#3F#3,0.26
21.68,G3,0.26
21.93,F#3,0.26
22.18,G3,0.26
22.44,A2B2C#3F#3,0.26
22.70,G3,0.26
22.95,F#3,0.26
23.20,F3,0.26
23.46,A2B2F#3,0.26
23.71,F#3,0.26
23.97,F#3,0.26
24.23,A#3,0.51
24.73,A3,0.77
25.50,A#2C3D3F3,0.51
26.01,F3,0.51
26.52,E3,0.26
26.77,F3,0.51
27.29,A#2C#3D#3,0.77
28.05,F#3,0.26
28.30,E3,0.26
28.56,F3,0.51
29.07,F3,0.51
29.58,A2B2C#3E3,1.02
30.60,A2B2,1.02
31.62,A2B2,0.26
31.88,C3,0.26
32.13,D3,0.26
32.38,C3,0.26
32.64,D3,0.26
32.90,E3,0.51
33.41,F#3,0.26
33.66,A#2C3D3,1.02
34.68,A#2C3D3,1.02
35.70,A#2C#3D#3,0.26
35.95,E3,0.51
36.47,E3,0.26
36.72,D#3,0.26
36.98,D3,0.26
37.23,C#3,0.26
37.48,D3,0.26
37.74,A2B2,1.02
38.76,A2B2,1.02
39.78,A2B2,0.26
40.03,B2,0.26
40.29,D3,0.26
40.55,B2,0.26
40.80,D3,0.26
41.05,E3,0.51
41.56,F#3,0.26
41.82,A#2C3D3,1.02
42.84,A#2C3D3,1.02
43.86,A#2C#3D#3,0.26
44.12,E3,0.51
44.62,E3,0.26
44.88,D#3,0.26
45.13,E3,0.26
45.39,F3,0.26
45.65,F#3,0.26
45.90,A2B2C#3F#3,1.02
46.92,A2B2,1.02
47.94,B2C#3D#3,0.26
48.20,F#3,0.51
48.70,F#3,0.26
48.96,F3,0.26
49.22,F#3,0.26
49.47,G3,0.26
49.73,F#3,0.26
49.98,A3C3D3,0.77
50.74,G#3,0.26
51.00,C3D3,0.26
51.26,G3,0.26
51.51,F#3,0.26
51.77,F3,0.26
52.02,A#2C#3D#3,0.51
52.53,G#3,0.26
52.78,A3,0.26
53.04,G#3,0.26
53.30,G3,0.26
53.55,G3,0.26
53.80,F#3,0.26
54.06,A2C#3G3,0.77
54.83,F#3,0.26
55.08,A2C#3,0.26
55.34,F3,0.26
55.59,E3,0.26
55.84,D#3,0.26
56.10,A2B2D3,1.02
57.12,G3,0.26
57.38,F#3,0.26
57.63,F#3,0.26
57.88,A#2C3D3F#3,0.51
58.40,D3,0.26
58.65,C#3,0.26
58.91,A#2C3D3,0.26
59.16,E3,0.26
59.41,G3,0.26
59.67,F#3,0.26
59.92,A#2C#3,0.51
60.44,D3,0.26
60.69,C#3,0.26
60.95,A#2C#3D3,0.26
61.20,E3,0.51
61.71,D3,0.26
61.97,A2B2C#3,1.02
62.98,A2B2C#3,1.02
64.00,B2C#3D#3,1.02
65.03,F#3,0.26
65.28,F#3,0.26
65.53,F#3,0.26
