# Loser-米津玄师
# Converted from SkyStudio format
# BPM: 471
# Total chords: 591

Time,Keys,Duration
0.00,hi,0.25
0.25,;,0.25
0.51,h,0.25
0.76,;,0.25
1.02,l,0.13
1.14,k,0.13
1.27,hi,0.25
1.52,k,0.13
1.65,hi,0.13
1.78,l,0.25
2.03,hpy,0.25
2.29,;,0.25
2.54,h,0.25
2.79,;,0.25
3.05,l,0.13
3.17,k,0.13
3.30,hpy,0.25
3.56,k,0.13
3.68,py,0.13
3.81,l,0.25
4.06,hu,0.25
4.32,;,0.25
4.57,h,0.25
4.83,;,0.25
5.08,l,0.13
5.21,k,0.13
5.33,hi,0.25
5.59,k,0.13
5.71,hi,0.13
5.84,l,0.25
6.10,;ij,0.25
6.35,m,0.25
6.60,;,0.25
6.86,m,0.25
7.11,;,0.13
7.24,m,0.13
7.37,;ij,0.13
7.49,m,0.13
7.62,;,0.13
7.75,ijm,0.13
7.87,;,0.13
8.00,m,0.13
8.13,hik,0.25
8.38,;m,0.25
8.64,hk,0.25
8.89,;m,0.25
9.14,ln,0.13
9.27,;k,0.13
9.40,hik,0.25
9.65,;k,0.13
9.78,hi,0.13
9.91,ln,0.25
10.16,hkpy,0.25
10.41,;m,0.25
10.67,hk,0.25
10.92,;m,0.25
11.18,ln,0.13
11.30,;k,0.13
11.43,hkpy,0.25
11.68,;k,0.13
11.81,py,0.13
11.94,ln,0.25
12.19,hku,0.25
12.45,;m,0.25
12.70,hk,0.25
12.95,;m,0.25
13.21,lm,0.13
13.34,kn,0.13
13.46,hku,0.25
13.72,;k,0.13
13.84,hu,0.13
13.97,ln,0.25
14.22,;ijl,0.25
14.48,,.,0.25
14.73,;l,0.25
14.99,,.,0.25
15.24,;l,0.25
15.49,ij,0.38
15.88,ij,0.38
16.26,hi,0.25
16.51,;,0.25
16.76,h,0.25
17.02,;,0.25
17.27,l,0.13
17.40,k,0.13
17.53,h,0.25
17.78,k,0.25
18.03,l,0.25
18.29,hi,0.25
18.54,;,0.25
18.80,h,0.25
19.05,;,0.25
19.30,l,0.13
19.43,k,0.13
19.56,h,0.25
19.81,k,0.25
20.07,l,0.25
20.32,;hi,0.25
20.57,k,0.13
20.70,k,0.13
20.83,l,0.25
21.08,k,0.13
21.21,k,0.13
21.34,;,0.25
21.59,hik,0.13
21.72,l,0.25
21.97,hik,0.38
22.35,;py,0.13
22.48,;,0.13
22.61,;,0.13
22.73,n,0.13
22.86,;,0.13
22.99,k,0.13
23.11,k,0.13
23.24,k,0.13
23.37,p,0.13
23.50,p,0.13
23.62,lpy,0.25
23.88,k,0.13
24.00,py,0.13
24.13,k,0.25
24.38,hju,0.13
24.51,j,0.13
24.64,k,0.13
24.77,k,0.13
24.89,j,0.13
25.02,j,0.13
25.15,j,0.13
25.27,j,0.13
25.40,h,0.25
25.65,hju,0.13
25.78,j,0.25
26.04,hu,0.13
26.16,k,0.13
26.29,p,0.13
26.42,ijk,0.25
26.67,l,0.25
26.92,;,0.25
27.18,n,0.25
27.43,;,0.25
27.69,ij,0.38
28.07,ij,0.38
28.45,;hi,0.25
28.70,k,0.13
28.83,k,0.13
28.96,l,0.25
29.21,k,0.13
29.34,k,0.13
29.46,;,0.25
29.72,hik,0.13
29.84,l,0.25
30.10,hik,0.38
30.48,;py,0.13
30.61,;,0.13
30.73,;,0.13
30.86,n,0.13
30.99,;,0.13
31.11,k,0.13
31.24,k,0.13
31.37,k,0.13
31.50,p,0.25
31.75,lpy,0.25
32.00,k,0.13
32.13,py,0.13
32.26,k,0.25
32.51,hju,0.13
32.64,j,0.13
32.77,k,0.13
32.89,k,0.13
33.02,j,0.13
33.15,j,0.13
33.27,j,0.13
33.40,j,0.13
33.53,h,0.25
33.78,hju,0.13
33.91,j,0.25
34.16,hu,0.13
34.29,k,0.13
34.42,p,0.13
34.54,ijk,0.25
34.80,l,0.25
35.05,;,0.25
35.31,n,0.25
35.56,;,0.25
35.81,ij,0.25
36.07,l,0.13
36.20,ij,0.13
36.32,k,0.25
36.58,oy,0.51
37.08,hoy,0.13
37.21,h,0.13
37.34,h,0.13
37.47,l,0.13
37.59,pu,0.25
37.85,k,0.25
38.10,jpu,0.25
38.35,k,0.13
38.48,j,0.13
38.61,hi,0.13
38.73,h,0.38
39.12,;hi,0.13
39.24,;,0.13
39.37,;,0.13
39.50,;,0.13
39.62,npy,0.25
39.88,;,0.25
40.13,lpy,0.25
40.39,;,0.13
40.51,l,0.13
40.64,hu,0.13
40.77,k,0.38
41.15,hku,0.13
41.27,k,0.13
41.40,k,0.13
41.53,j,0.13
41.66,ij,0.25
41.91,k,0.25
42.16,ijl,0.25
42.42,k,0.13
42.55,k,0.13
42.67,hi,0.13
42.80,l,0.13
42.93,;,0.25
43.18,hi,0.51
43.69,hi,0.51
44.20,hi,0.51
44.70,oy,0.51
45.21,hoy,0.13
45.34,h,0.25
45.59,l,0.13
45.72,oy,0.25
45.97,k,0.25
46.23,joy,0.25
46.48,k,0.13
46.61,j,0.13
46.74,hi,0.13
46.86,h,0.38
47.24,;hi,0.25
47.50,;,0.13
47.62,n,0.13
47.75,py,0.25
48.01,;,0.25
48.26,lpy,0.25
48.51,;,0.13
48.64,l,0.13
48.77,hu,0.13
48.90,k,0.38
49.28,hku,0.13
49.40,k,0.13
49.53,k,0.13
49.66,k,0.13
49.78,;hu,0.25
50.04,l,0.13
50.16,k,0.13
50.29,hlu,0.25
50.55,;,0.25
50.80,.;ij,0.51
51.31,.;ij,0.51
51.82,.;ij,0.25
52.07,.;ij,0.76
52.83,,hi,0.25
53.09,/,0.13
53.21,hi,0.13
