# MIUI铃声(循环)
# Converted from SkyStudio format
# BPM: 280
# Total chords: 512

Time,Keys,Duration
0.00,B2,0.21
0.21,C#3,0.21
0.43,E3,0.21
0.64,B2,0.21
0.86,C#3,0.21
1.07,E3,0.21
1.28,B2,0.21
1.50,C3,0.21
1.71,A#2,0.21
1.93,C#3,0.21
2.14,F3,0.21
2.35,A#2,0.21
2.57,C#3,0.21
2.78,F3,0.21
3.00,A#2,0.21
3.21,B2,0.21
3.42,A2,0.21
3.64,C3,0.21
3.85,E3,0.21
4.07,A2,0.21
4.28,C3,0.21
4.49,E3,0.21
4.71,A2,0.21
4.92,C3,0.21
5.14,A#2,0.21
5.35,C#3,0.21
5.56,F3,0.21
5.78,A#2,0.21
5.99,C#3,0.21
6.21,F3,0.21
6.42,A#2,0.21
6.63,C#3,0.21
6.85,B2,0.21
7.06,C#3,0.21
7.28,E3,0.21
7.49,B2,0.21
7.70,C#3,0.21
7.92,E3,0.21
8.13,B2,0.21
8.35,C3,0.21
8.56,A#2,0.21
8.77,C#3,0.21
8.99,F3,0.21
9.20,A#2,0.21
9.42,C#3,0.21
9.63,F3,0.21
9.84,A#2,0.21
10.06,B2,0.21
10.27,A2,0.21
10.49,C3,0.21
10.70,E3,0.21
10.91,A2,0.21
11.13,C3,0.21
11.34,E3,0.21
11.56,A2,0.21
11.77,C3,0.21
11.98,A#2,0.21
12.20,C#3,0.21
12.41,F3,0.21
12.63,A#2,0.21
12.84,C#3,0.21
13.05,F3,0.21
13.27,A#2,0.21
13.48,C#3,0.21
13.70,B2,0.21
13.91,C#3,0.21
14.12,E3,0.21
14.34,B2,0.21
14.55,C#3,0.21
14.77,E3,0.21
14.98,B2,0.21
15.19,C3,0.21
15.41,A#2,0.21
15.62,C#3,0.21
15.84,F3,0.21
16.05,A#2,0.21
16.26,C#3,0.21
16.48,F3,0.21
16.69,A#2,0.21
16.91,B2,0.21
17.12,A2,0.21
17.33,C3,0.21
17.55,E3,0.21
17.76,A2,0.21
17.98,C3,0.21
18.19,E3,0.21
18.40,A2,0.21
18.62,C3,0.21
18.83,A#2,0.21
19.05,C#3,0.21
19.26,F3,0.21
19.47,A#2,0.21
19.69,C#3,0.21
19.90,F3,0.21
20.12,A#2,0.21
20.33,C#3,0.21
20.54,B2,0.21
20.76,C#3,0.21
20.97,E3,0.21
21.19,B2,0.21
21.40,C#3,0.21
21.61,E3,0.21
21.83,B2,0.21
22.04,C3,0.21
22.26,A#2,0.21
22.47,C#3,0.21
22.68,F3,0.21
22.90,A#2,0.21
23.11,C#3,0.21
23.33,F3,0.21
23.54,A#2,0.21
23.75,B2,0.21
23.97,A2,0.21
24.18,C3,0.21
24.40,E3,0.21
24.61,A2,0.21
24.82,C3,0.21
25.04,E3,0.21
25.25,A2,0.21
25.47,C3,0.21
25.68,A#2,0.21
25.89,C#3,0.21
26.11,F3,0.21
26.32,A#2,0.21
26.54,C#3,0.21
26.75,F3,0.21
26.96,A#2,0.21
27.18,C#3,0.21
27.39,B2,0.21
27.61,C#3,0.21
27.82,E3,0.21
28.03,B2,0.21
28.25,C#3,0.21
28.46,E3,0.21
28.68,B2,0.21
28.89,C3,0.21
29.10,A#2,0.21
29.32,C#3,0.21
29.53,F3,0.21
29.75,A#2,0.21
29.96,C#3,0.21
30.17,F3,0.21
30.39,A#2,0.21
30.60,B2,0.21
30.82,A2,0.21
31.03,C3,0.21
31.24,E3,0.21
31.46,A2,0.21
31.67,C3,0.21
31.89,E3,0.21
32.10,A2,0.21
32.31,C3,0.21
32.53,A#2,0.21
32.74,C#3,0.21
32.96,F3,0.21
33.17,A#2,0.21
33.38,C#3,0.21
33.60,F3,0.21
33.81,A#2,0.21
34.03,C#3,0.21
34.24,B2,0.21
34.45,C#3,0.21
34.67,E3,0.21
34.88,B2,0.21
35.10,C#3,0.21
35.31,E3,0.21
35.52,B2,0.21
35.74,C3,0.21
35.95,A#2,0.21
36.17,C#3,0.21
36.38,F3,0.21
36.59,A#2,0.21
36.81,C#3,0.21
37.02,F3,0.21
37.24,A#2,0.21
37.45,B2,0.21
37.66,A2,0.21
37.88,C3,0.21
38.09,E3,0.21
38.31,A2,0.21
38.52,C3,0.21
38.73,E3,0.21
38.95,A2,0.21
39.16,C3,0.21
39.38,A#2,0.21
39.59,C#3,0.21
39.80,F3,0.21
40.02,A#2,0.21
40.23,C#3,0.21
40.45,F3,0.21
40.66,A#2,0.21
40.87,C#3,0.21
41.09,B2,0.21
41.30,C#3,0.21
41.52,E3,0.21
41.73,B2,0.21
41.94,C#3,0.21
42.16,E3,0.21
42.37,B2,0.21
42.59,C3,0.21
42.80,A#2,0.21
43.01,C#3,0.21
43.23,F3,0.21
43.44,A#2,0.21
43.66,C#3,0.21
43.87,F3,0.21
44.08,A#2,0.21
44.30,B2,0.21
44.51,A2,0.21
44.73,C3,0.21
44.94,E3,0.21
45.15,A2,0.21
45.37,C3,0.21
45.58,E3,0.21
45.80,A2,0.21
46.01,C3,0.21
46.22,A#2,0.21
46.44,C#3,0.21
46.65,F3,0.21
46.87,A#2,0.21
47.08,C#3,0.21
47.29,F3,0.21
47.51,A#2,0.21
47.72,C#3,0.21
47.94,B2,0.21
48.15,C#3,0.21
48.36,E3,0.21
48.58,B2,0.21
48.79,C#3,0.21
49.01,E3,0.21
49.22,B2,0.21
49.43,C3,0.21
49.65,A#2,0.21
49.86,C#3,0.21
50.08,F3,0.21
50.29,A#2,0.21
50.50,C#3,0.21
50.72,F3,0.21
50.93,A#2,0.21
51.15,B2,0.21
51.36,A2,0.21
51.57,C3,0.21
51.79,E3,0.21
52.00,A2,0.21
52.22,C3,0.21
52.43,E3,0.21
52.64,A2,0.21
52.86,C3,0.21
53.07,A#2,0.21
53.29,C#3,0.21
53.50,F3,0.21
53.71,A#2,0.21
53.93,C#3,0.21
54.14,F3,0.21
54.36,A#2,0.21
54.57,C#3,0.21
54.78,B2,0.21
55.00,C#3,0.21
55.21,E3,0.21
55.43,B2,0.21
55.64,C#3,0.21
55.85,E3,0.21
56.07,B2,0.21
56.28,C3,0.21
56.50,A#2,0.21
56.71,C#3,0.21
56.92,F3,0.21
57.14,A#2,0.21
57.35,C#3,0.21
57.57,F3,0.21
57.78,A#2,0.21
57.99,B2,0.21
58.21,A2,0.21
58.42,C3,0.21
58.64,E3,0.21
58.85,A2,0.21
59.06,C3,0.21
59.28,E3,0.21
59.49,A2,0.21
59.71,C3,0.21
59.92,A#2,0.21
60.13,C#3,0.21
60.35,F3,0.21
60.56,A#2,0.21
60.78,C#3,0.21
60.99,F3,0.21
61.20,A#2,0.21
61.42,C#3,0.21
61.63,B2,0.21
61.85,C#3,0.21
62.06,E3,0.21
62.27,B2,0.21
62.49,C#3,0.21
62.70,E3,0.21
62.92,B2,0.21
63.13,C3,0.21
63.34,A#2,0.21
63.56,C#3,0.21
63.77,F3,0.21
63.99,A#2,0.21
64.20,C#3,0.21
64.41,F3,0.21
64.63,A#2,0.21
64.84,B2,0.21
65.06,A2,0.21
65.27,C3,0.21
65.48,E3,0.21
65.70,A2,0.21
65.91,C3,0.21
66.13,E3,0.21
66.34,A2,0.21
66.55,C3,0.21
66.77,A#2,0.21
66.98,C#3,0.21
67.20,F3,0.21
67.41,A#2,0.21
67.62,C#3,0.21
67.84,F3,0.21
68.05,A#2,0.21
68.27,C#3,0.21
68.48,B2,0.21
68.69,C#3,0.21
68.91,E3,0.21
69.12,B2,0.21
69.34,C#3,0.21
69.55,E3,0.21
69.76,B2,0.21
69.98,C3,0.21
70.19,A#2,0.21
70.41,C#3,0.21
70.62,F3,0.21
70.83,A#2,0.21
71.05,C#3,0.21
71.26,F3,0.21
71.48,A#2,0.21
71.69,B2,0.21
71.90,A2,0.21
72.12,C3,0.21
72.33,E3,0.21
72.55,A2,0.21
72.76,C3,0.21
72.97,E3,0.21
73.19,A2,0.21
73.40,C3,0.21
73.62,A#2,0.21
73.83,C#3,0.21
74.04,F3,0.21
74.26,A#2,0.21
74.47,C#3,0.21
74.69,F3,0.21
74.90,A#2,0.21
75.11,C#3,0.21
75.33,B2,0.21
75.54,C#3,0.21
75.76,E3,0.21
75.97,B2,0.21
76.18,C#3,0.21
