# Miku
# Converted from SkyStudio format
# BPM: 520
# Total chords: 195

Time,Keys,Duration
0.00,A2E3,0.23
0.23,B2F#3,0.23
0.46,C#3G#3,0.23
0.69,A2A3C3,0.46
1.15,E3,0.46
1.61,A2C3G#3,0.46
2.07,E3,0.46
2.53,A2C3D#3,0.34
2.88,G#3,0.34
3.22,A2C3F#3,0.46
3.68,A2E3,0.23
3.91,B2F#3,0.23
4.14,C#3G#3,0.23
4.37,A2A3C3,0.46
4.83,E3,0.46
5.29,A2C3G#3,0.46
5.75,E3,0.46
6.21,A2C3D#3,0.34
6.55,G#3,0.34
6.90,A2C3F#3,0.46
7.36,A2E3,0.23
7.59,B2F#3,0.23
7.82,C#3G#3,0.23
8.05,A2A3C3,0.46
8.51,E3,0.46
8.97,A2C3G#3,0.46
9.43,E3,0.46
9.89,A2C3D#3,0.34
10.23,G#3,0.34
10.58,A2C3F#3,0.46
11.04,A2E3,0.23
11.27,B2F#3,0.23
11.50,C#3G#3,0.23
11.73,A2A3C3,0.46
12.19,E3,0.46
12.65,A2C3G#3,0.46
13.11,E3,0.46
13.57,A2C3D#3,0.34
13.91,F3,0.34
14.26,A2C3E3,1.03
15.29,A2C3D3,0.46
15.76,F#3,0.46
16.21,A2C3D3,0.46
16.68,F#3,0.46
17.14,A2C3F3,0.23
17.36,F#3,0.23
17.59,F3,0.23
17.82,E3,0.23
18.05,A2C3D#3,0.46
18.52,C#3,0.46
18.98,A2C3D3,0.46
19.43,F#3,0.46
19.89,A2C3D3,0.46
20.36,F#3,0.46
20.82,A2C3F3,0.23
21.05,F#3,0.23
21.27,F3,0.23
21.50,E3,0.23
21.73,A2C3G#3,0.46
22.20,F#3,0.46
22.66,A2C3D3,0.46
23.11,F#3,0.46
23.57,A2C3D3,0.46
24.04,F#3,0.46
24.50,A2C3F3,0.23
24.73,F#3,0.23
24.95,F3,0.23
25.18,E3,0.23
25.41,A2C3D#3,0.46
25.88,C#3,0.46
26.34,A2C3,0.46
26.80,F#3,0.46
27.25,A2B2C#3,0.46
27.71,F#3,0.46
28.18,A2C3F3,0.23
28.41,F#3,0.23
28.64,F3,0.23
28.86,E3,0.23
29.09,A2C3G#3,0.23
29.32,A2E3,0.23
29.55,B2F#3,0.23
29.79,C#3G#3,0.23
30.02,A2A3C3,0.46
30.48,E3,0.46
30.93,A2C3G#3,0.46
31.39,E3,0.46
31.86,A2C3D#3,0.34
32.20,G#3,0.34
32.55,A2C3F#3,0.46
33.01,A2E3,0.23
33.23,B2F#3,0.23
33.47,C#3G#3,0.23
33.70,A2A3C3,0.46
34.16,E3,0.46
34.62,A2C3G#3,0.46
35.08,E3,0.46
35.53,A2C3D#3,0.34
35.88,G#3,0.34
36.23,A2C3F#3,0.46
36.69,A2E3,0.23
36.91,B2F#3,0.23
37.15,C#3G#3,0.23
37.38,A2A3C3,0.46
37.84,E3,0.46
38.30,A2C3G#3,0.46
38.76,E3,0.46
39.22,A2C3D#3,0.34
39.56,G#3,0.34
39.91,A2C3F#3,0.46
40.37,A2E3,0.23
40.59,B2F#3,0.23
40.83,C#3G#3,0.23
41.05,A2A3C3,0.46
41.52,E3,0.46
41.98,A2C3G#3,0.46
42.44,E3,0.46
42.90,A2C3D#3,0.34
43.24,F3,0.34
43.59,A2C3E3,1.15
44.73,A2C3G3,0.46
45.20,G3,0.46
45.66,A2C3G3,0.23
45.88,F#3,0.23
46.12,F3,0.23
46.34,A2C3F#3,0.57
46.92,A2C3G#3,0.46
47.38,A2C3E3,0.23
47.61,F3,0.23
47.84,F#3,0.46
48.30,A2C3F#3,0.46
48.76,F#3,0.46
49.22,A2C3F#3,0.23
49.45,F3,0.23
49.68,E3,0.23
49.91,A2C3D#3,0.57
50.48,A2C#3,0.46
50.95,A2B2C#3,0.23
51.17,C3,0.23
51.41,B2,0.46
51.87,A2C3G3,0.46
52.33,G3,0.46
52.78,A2C3G3,0.23
53.02,F#3,0.23
53.24,F3,0.23
53.48,A2C3F#3,0.57
54.05,A2C3G#3,0.46
54.51,A2C3E3,0.23
54.74,F3,0.23
54.97,F#3,0.46
55.43,A2C3F#3,0.46
55.89,F#3,0.46
56.35,A2C3F#3,0.23
56.58,F3,0.23
56.81,E3,0.23
57.04,A2C3D#3,1.15
58.19,A2E3,0.23
58.42,B2F#3,0.23
58.65,C#3G#3,0.23
58.88,A2A3C3,0.46
59.34,E3,0.46
59.80,A2C3G#3,0.46
60.26,E3,0.46
60.72,A2C3D#3,0.34
61.06,G#3,0.34
61.41,A2C3F#3,0.46
61.87,A2E3,0.23
62.10,B2F#3,0.23
62.33,C#3G#3,0.23
62.56,A2A3C3,0.46
63.02,E3,0.46
63.48,A2C3G#3,0.46
63.94,E3,0.46
64.40,A2C3D#3,0.34
64.75,G#3,0.34
65.09,A2C3F#3,0.46
65.55,A2E3,0.23
65.78,B2F#3,0.23
66.01,C#3G#3,0.23
66.24,A2A3C3,0.46
66.70,E3,0.46
67.16,A2C3G#3,0.46
67.62,E3,0.46
68.08,A2C3D#3,0.34
68.42,G#3,0.34
68.77,A2C3F#3,0.46
69.23,A2E3,0.23
69.46,B2F#3,0.23
69.69,C#3G#3,0.23
69.92,A2A3C3,0.46
70.38,E3,0.46
70.84,A2C3G#3,0.46
71.30,E3,0.46
71.76,A2C3D#3,0.34
72.11,F3,0.34
72.45,A2C3E3,0.50
