# Never Gonna Give You Up
# Converted from SkyStudio format
# BPM: 454
# Total chords: 167

Time,Keys,Duration
0.00,;kop,0.79
0.79,jlp,0.79
1.58,p,0.53
2.11,ijlp,0.79
2.90,;hik,0.79
3.70,m,0.13
3.83,n,0.13
3.96,;,0.13
4.09,k,0.13
4.22,kop,0.79
5.02,jlp,0.79
5.81,p,0.53
6.34,ijp,0.79
7.13,hik,0.53
7.66,p,0.13
7.79,p,0.13
7.92,h,0.13
8.05,k,0.13
8.18,h,0.13
8.32,k,0.13
8.45,iky,0.79
9.24,lpu,0.79
10.03,p,0.53
10.56,ijlp,0.79
11.35,;iky,0.79
12.14,m,0.13
12.28,n,0.13
12.41,;,0.13
12.54,k,0.13
12.67,kop,0.79
13.46,jlp,0.79
14.26,p,0.53
14.78,ijp,0.79
15.58,hik,1.32
16.90,hio,0.53
17.42,h,0.26
17.69,hijo,0.26
17.95,k,0.26
18.22,k,0.26
18.48,l,0.26
18.74,j,0.26
19.01,ipu,0.13
19.14,h,0.13
19.27,p,0.53
19.80,ipu,0.53
20.33,u,0.26
20.59,ip,0.53
21.12,hio,0.26
21.38,h,0.26
21.65,h,0.26
21.91,hijo,0.26
22.18,k,0.26
22.44,h,0.53
22.97,p,0.26
23.23,himop,0.53
23.76,m,0.26
24.02,ilpu,0.53
24.55,u,0.26
24.82,ip,0.53
25.34,hio,0.26
25.61,h,0.26
25.87,h,0.26
26.14,hijo,0.26
26.40,k,0.26
26.66,h,0.26
26.93,k,0.26
27.19,l,0.26
27.46,ipu,0.26
27.72,j,0.26
27.98,h,0.26
28.25,hipu,0.13
28.38,p,0.40
28.78,u,0.26
29.04,ip,0.53
29.57,hio,0.26
29.83,h,0.26
30.10,h,0.26
30.36,hijo,0.26
30.62,k,0.26
30.89,h,0.26
31.15,p,0.53
31.68,hilo,0.26
31.94,l,0.26
32.21,l,0.26
32.47,;ipu,0.26
32.74,l,0.26
33.00,u,0.26
33.26,ip,0.53
33.79,hiko,0.79
34.58,hio,0.53
35.11,l,0.26
35.38,;,0.26
35.64,k,0.26
35.90,ilpu,0.26
36.17,l,0.26
36.43,l,0.26
36.70,;ipu,0.26
36.96,l,0.26
37.22,pu,0.26
37.49,ip,0.53
38.02,hio,0.79
38.81,hio,0.26
39.07,h,0.26
39.34,j,0.26
39.60,k,0.26
39.86,h,0.26
40.13,hio,0.26
40.39,l,0.26
40.66,;i,0.26
40.92,ilpu,0.53
41.45,pu,0.26
41.71,ip,0.13
41.84,h,0.13
41.98,k,0.13
42.11,h,0.13
42.24,;hop,0.40
42.64,;op,0.40
43.03,lpu,0.79
43.82,ip,0.13
43.96,h,0.13
44.09,k,0.13
44.22,h,0.13
44.35,lpu,0.40
44.75,lp,0.40
45.14,ikp,0.40
45.54,j,0.13
45.67,hi,0.26
45.94,ip,0.13
46.07,h,0.13
46.20,k,0.13
46.33,h,0.13
46.46,hik,0.53
46.99,hl,0.26
47.26,jpu,0.13
47.39,h,0.40
47.78,py,0.53
48.31,p,0.26
48.58,ijlp,0.53
49.10,hik,1.06
50.16,ip,0.13
50.29,h,0.13
50.42,k,0.13
50.56,h,0.13
50.69,;hop,0.40
51.08,;op,0.40
51.48,lpu,0.79
52.27,ip,0.13
52.40,h,0.13
52.54,k,0.13
52.67,h,0.13
52.80,;ijm,0.53
53.33,ij,0.26
53.59,hik,0.40
53.99,j,0.13
54.12,hi,0.26
54.38,ip,0.13
54.52,h,0.13
54.65,k,0.13
54.78,h,0.13
54.91,hik,0.53
55.44,hl,0.26
55.70,jpu,0.13
55.84,h,0.40
56.23,py,0.53
56.76,p,0.26
57.02,ijlp,0.53
57.55,hik,0.50
