# Ninelie(改编版)
# Converted from SkyStudio format
# BPM: 330
# Total chords: 795

Time,Keys,Duration
0.00,,;hi,0.18
0.18,i,0.18
0.36,h,0.18
0.54,u,0.18
0.72,h,0.18
0.91,u,0.18
1.09,i,0.18
1.27,p,0.18
1.45,,;hi,0.18
1.63,i,0.18
1.81,h,0.18
1.99,u,0.18
2.17,h,0.18
2.35,u,0.18
2.53,i,0.18
2.71,p,0.18
2.90,hmpu,0.18
3.08,i,0.18
3.26,h,0.18
3.44,u,0.18
3.62,h,0.18
3.80,u,0.18
3.98,i,0.18
4.16,p,0.18
4.34,hmpu,0.18
4.53,i,0.18
4.71,h,0.18
4.89,u,0.18
5.07,h,0.18
5.25,u,0.18
5.43,i,0.18
5.61,p,0.18
5.79,hnoy,0.18
5.97,i,0.18
6.15,h,0.18
6.33,u,0.18
6.52,h,0.18
6.70,u,0.18
6.88,i,0.18
7.06,p,0.18
7.24,hnoy,0.18
7.42,i,0.18
7.60,h,0.18
7.78,u,0.18
7.96,h,0.18
8.14,u,0.18
8.33,i,0.18
8.51,p,0.18
8.69,hnoy,0.18
8.87,i,0.18
9.05,h,0.18
9.23,u,0.18
9.41,h,0.18
9.59,u,0.18
9.77,i,0.18
9.96,p,0.18
10.14,hnoy,0.18
10.32,i,0.18
10.50,h,0.18
10.68,u,0.18
10.86,hmpu,0.18
11.04,u,0.18
11.22,i,0.18
11.40,p,0.18
11.58,hpu,0.18
11.77,u,0.18
11.95,i,0.18
12.13,p,0.18
12.31,h,0.18
12.49,u,0.18
12.67,ij,0.18
12.85,p,0.18
13.03,hpy,0.18
13.21,u,0.18
13.39,i,0.18
13.57,p,0.18
13.76,h,0.18
13.94,u,0.18
14.12,iy,0.18
14.30,pu,0.18
14.48,ipy,0.18
14.66,u,0.18
14.84,iou,0.18
15.02,p,0.18
15.20,ipy,0.18
15.38,u,0.18
15.57,iju,0.18
15.75,p,0.18
15.93,py,0.18
16.11,u,0.18
16.29,iju,0.18
16.47,p,0.18
16.65,p,0.18
16.83,u,0.18
17.01,iy,0.18
17.20,p,0.18
17.38,opy,0.18
17.56,u,0.18
17.74,i,0.18
17.92,p,0.18
