# Only my railgun
# Converted from SkyStudio format
# BPM: 520
# Total chords: 1189

Time,Keys,Duration
0.00,h,0.23
0.23,h,0.23
0.46,h,0.23
0.69,p,0.12
0.81,h,0.34
1.15,h,0.23
1.38,p,0.23
1.61,p,0.12
1.73,h,0.12
1.84,h,0.23
2.07,h,0.23
2.30,h,0.23
2.53,p,0.12
2.65,h,0.34
2.99,h,0.23
3.22,h,0.23
3.45,p,0.12
3.56,h,0.12
3.68,h,0.23
3.91,h,0.23
4.14,h,0.23
4.37,p,0.12
4.49,h,0.34
4.83,h,0.23
5.06,p,0.23
5.29,p,0.12
5.41,h,0.12
5.52,h,0.23
5.75,h,0.23
5.98,h,0.23
6.21,p,0.12
6.33,h,0.34
6.67,h,0.23
6.90,p,0.23
7.13,p,0.12
7.25,h,0.12
7.36,h,0.23
7.59,h,0.23
7.82,h,0.23
8.05,p,0.12
8.16,h,0.12
8.28,h,0.23
8.51,h,0.23
8.74,hp,0.23
8.97,p,0.12
9.09,h,0.12
9.20,h,0.23
9.43,h,0.23
9.66,h,0.23
9.89,p,0.12
10.01,h,0.12
10.12,h,0.23
10.35,h,0.23
10.58,hp,0.23
10.81,p,0.12
10.93,h,0.12
11.04,h,0.23
11.27,h,0.23
11.50,h,0.23
11.73,p,0.12
11.85,h,0.12
11.96,h,0.23
12.19,h,0.23
12.42,hp,0.23
12.65,p,0.12
12.77,h,0.12
12.88,h,0.23
13.11,h,0.23
13.34,h,0.23
13.57,p,0.12
13.69,h,0.12
13.80,hiy,0.23
14.03,k,0.23
14.26,j,0.23
14.49,p,0.23
14.72,hp,0.23
14.95,hi,0.12
15.06,h,0.12
15.18,h,0.23
15.41,ip,0.23
15.64,hp,0.23
15.87,hi,0.12
15.98,h,0.12
16.10,h,0.23
16.33,ip,0.23
16.56,op,0.23
16.79,ho,0.12
16.91,h,0.12
17.02,y,0.23
17.25,ho,0.23
17.48,ho,0.23
17.71,jo,0.23
17.94,ky,0.23
18.17,lo,0.23
18.40,jp,0.23
18.63,p,0.23
18.86,pu,0.23
19.09,p,0.23
19.32,np,0.23
19.55,p,0.23
19.78,lu,0.23
20.01,p,0.23
20.24,ly,0.23
20.47,p,0.12
20.59,l,0.12
20.70,i,0.23
20.93,;p,0.23
21.16,j,0.23
21.39,jk,0.23
21.62,jp,0.23
21.85,jp,0.23
22.08,hp,0.23
22.31,hi,0.12
22.43,h,0.12
22.54,h,0.23
22.77,ip,0.23
23.00,hp,0.23
23.23,hi,0.12
23.34,h,0.12
23.46,h,0.23
23.69,ip,0.23
23.92,op,0.23
24.15,ho,0.12
24.27,h,0.12
24.38,y,0.23
24.61,ho,0.23
24.84,ho,0.23
25.07,jo,0.23
25.30,ky,0.23
25.53,lo,0.23
25.76,hu,0.23
25.99,u,0.23
26.22,h,0.23
26.45,u,0.23
26.68,hu,0.23
26.91,ju,0.23
27.14,hk,0.23
27.37,lu,0.23
27.60,ij,0.23
27.83,i,0.23
28.06,jp,0.23
28.29,i,0.23
28.52,i,0.23
28.75,i,0.23
28.98,jp,0.23
29.21,i,0.23
29.44,op,0.23
29.67,hy,0.12
29.79,h,0.12
29.90,o,0.23
30.13,hk,0.23
30.36,jp,0.23
30.59,p,0.12
30.70,i,0.12
30.82,u,0.23
31.05,p,0.23
31.28,hp,0.23
31.51,h,0.12
31.62,h,1.03
32.66,i,0.46
33.12,hiy,1.84
34.96,hk,0.23
35.19,i,0.23
35.42,h,0.23
35.65,j,0.23
35.88,k,0.23
36.11,j,0.23
36.34,k,0.23
36.57,l,0.23
36.80,ko,0.23
37.03,y,0.23
37.26,p,0.23
37.49,h,0.23
37.72,ky,0.23
37.95,j,0.23
38.18,k,0.23
38.41,l,0.23
38.64,;y,0.23
38.87,p,0.23
39.10,y,0.23
39.33,i,0.23
39.56,;p,0.23
39.79,n,0.23
40.02,;,0.23
40.25,l,0.23
40.48,;p,0.23
40.71,lu,0.23
40.94,jk,0.23
41.17,mp,0.23
41.40,;i,0.23
41.63,j,0.23
41.86,p,0.23
42.09,i,0.23
42.32,hk,0.23
42.55,i,0.23
42.78,h,0.23
43.01,y,0.23
43.24,ky,0.23
43.47,ij,0.23
43.70,ky,0.23
43.93,hl,0.23
44.16,ko,0.23
44.39,h,0.23
44.62,o,0.23
44.85,h,0.23
45.08,k,0.23
45.31,jy,0.23
45.54,hk,0.23
45.77,lo,0.23
46.00,;u,0.23
46.23,h,0.23
