# Prayer X 烛子ikina
# Converted from SkyStudio format
# BPM: 330
# Total chords: 272

Time,Keys,Duration
0.00,hk,0.36
0.36,;i,0.36
0.72,/h,0.36
1.09,.,0.36
1.45,o,0.36
1.81,/y,0.36
2.17,o,0.36
2.53,m,0.36
2.90,mp,0.36
3.26,nu,0.18
3.44,;,0.18
3.62,p,0.18
3.80,n,0.36
4.16,;,0.18
4.34,k,0.36
4.71,il,0.18
4.89,;,0.18
5.07,jn,0.36
5.43,im,0.18
5.61,;,0.18
5.79,h,0.36
6.15,i,0.36
6.52,,h,0.36
6.88,;i,0.36
7.24,h,0.36
7.60,i,0.36
7.96,/h,0.36
8.33,.i,0.36
8.69,j,0.72
9.41,i,0.36
9.77,h,0.18
9.96,h,0.18
10.14,hi,0.36
10.50,k,0.36
10.86,;p,0.36
11.22,l,0.36
11.58,hk,0.36
11.95,;i,0.36
12.31,/h,0.36
12.67,.,0.36
13.03,o,0.36
13.39,/y,0.36
13.76,/o,0.36
14.12,m,0.36
14.48,mp,0.36
14.84,nu,0.18
15.02,n,0.18
15.20,;p,0.36
15.57,n,0.18
15.75,;,0.18
15.93,k,0.36
16.29,il,0.18
16.47,;,0.18
16.65,jn,0.36
17.01,in,0.18
17.20,m,0.18
17.38,;h,0.36
17.74,i,0.36
18.10,,h,0.36
18.46,;i,0.36
18.82,h,0.36
19.19,i,0.36
19.55,/h,0.36
19.91,.i,0.36
20.27,j,0.72
21.00,i,0.18
21.18,j,0.18
21.36,j,0.18
21.54,j,0.18
21.72,il,0.36
22.08,j,0.18
22.26,l,0.18
22.44,i,0.18
22.62,j,0.18
22.81,;,0.36
23.17,,hi,0.36
23.53,;,0.36
23.89,il,0.36
24.25,;,0.36
24.62,kpy,0.72
25.34,ky,0.36
25.70,l,0.36
26.06,;hlo,0.36
26.43,l,0.36
26.79,hu,0.36
27.15,k,0.36
27.51,ij,0.72
28.24,ku,0.36
28.60,l,0.36
28.96,,hi,0.36
29.32,;,0.36
29.68,il,0.36
30.05,;,0.36
30.41,kpy,0.72
31.13,ky,0.36
31.49,l,0.36
31.86,;hlo,0.36
32.22,l,0.36
32.58,hu,0.36
32.94,k,0.36
33.30,ij,0.72
34.03,i,0.36
34.39,u,0.36
34.75,hi,0.36
35.11,;,0.18
35.30,;,0.18
35.48,;i,0.18
35.66,l,0.18
35.84,;,0.18
36.02,l,0.18
36.20,;kp,0.18
36.38,;,0.18
36.56,m,0.18
36.74,n,0.18
36.92,p,0.18
37.10,;,0.18
37.29,;,0.18
37.47,h,0.18
37.65,ho,0.36
38.01,j,0.18
38.19,k,0.18
38.37,o,0.18
38.55,l,0.18
38.73,k,0.18
38.91,;,0.18
39.10,ij,0.54
39.64,k,0.18
39.82,ik,0.36
40.18,l,0.36
40.54,;hi,0.18
40.73,l,0.18
40.91,l,0.18
41.09,k,0.18
41.27,ik,0.18
41.45,k,0.18
41.63,j,0.18
41.81,k,0.18
41.99,kpu,0.18
42.17,k,0.18
42.35,h,0.36
