# Savage Love
# Converted from SkyStudio format
# BPM: 420
# Total chords: 345

Time,Keys,Duration
0.57,D3G#3,0.43
0.99,A2B2F3,0.43
1.42,E3,0.43
1.85,A2B2,0.28
2.13,F#3,0.14
2.27,D3,0.28
2.56,G#3,0.14
2.70,A2B2G#3,0.28
2.98,G#3,0.14
3.12,F#3,0.28
3.41,G#3,0.14
3.55,A2B2G#3,0.28
3.83,G#3,0.14
3.98,D3G#3,0.43
4.40,A2C3F3,0.43
4.83,E3,0.43
5.25,A2C3,0.28
5.54,F3,0.14
5.68,D3,0.28
5.96,G#3,0.14
6.11,A2C3G#3,0.28
6.39,G#3,0.14
6.53,F#3,0.28
6.82,G#3,0.14
6.96,A2A3C3,0.28
7.24,G#3,0.14
7.38,A2G#3,0.43
7.81,B2C#3F3,0.43
8.24,E3,0.43
8.66,B2C#3,0.28
8.95,F#3,0.14
9.09,A2,0.28
9.37,G#3,0.14
9.51,B2C#3G#3,0.28
9.80,G#3,0.14
9.94,F#3,0.28
10.22,G#3,0.14
10.37,B2C#3G#3,0.28
10.65,G#3,0.14
10.79,A3C#3,0.43
11.22,A#2C#3F3,0.43
11.64,E3,0.43
12.07,A#2C#3F3,0.28
12.35,F#3,0.14
12.50,C#3G#3,0.28
12.78,G#3,0.14
12.92,A#2C#3G#3,0.28
13.21,G#3,0.43
13.63,G#3,0.14
13.77,A#2C#3C4,0.28
14.06,A#3,0.14
14.20,D3,0.28
14.48,D3,0.14
14.63,A2B2E3,0.28
14.91,E3,0.43
15.34,E3,0.14
15.48,A2B2E3,0.28
15.76,E3,0.14
15.90,D3F#3,0.28
16.19,F3,0.14
16.33,A2B2E3,0.28
16.61,E3,0.14
16.76,F#3,0.28
17.04,F3,0.14
17.18,A2B2E3,0.43
17.61,D3,0.28
17.89,D3,0.14
18.03,A2C3E3,0.28
18.32,E3,0.43
18.74,E3,0.14
18.89,A2C3E3,0.28
19.17,E3,0.14
19.31,D3F#3,0.28
19.60,F3,0.14
19.74,A2C3E3,0.28
20.02,E3,0.14
20.16,F#3,0.43
20.59,A2C3F3,0.43
21.02,A2E3,0.28
21.30,E3,0.14
21.44,B2C#3E3,0.28
21.73,G#3,0.43
22.15,E3,0.14
22.29,B2C#3E3,0.28
22.58,E3,0.14
22.72,A2,0.28
23.00,E3,0.14
23.15,B2C#3E3,0.28
23.43,D3,0.14
23.57,E3,0.28
23.86,F3,0.14
24.00,B2C#3F3,0.43
24.42,C#3E3,0.28
24.71,E3,0.14
24.85,A#2C#3E3,0.28
25.13,G#3,0.43
25.56,E3,0.14
