# See You Again (Stb)
# Converted from SkyStudio format
# BPM: 280
# Total chords: 149

Time,Keys,Duration
0.00,p,0.43
0.43,l,0.43
0.86,k,0.43
1.28,p,0.86
2.14,k,0.21
2.35,l,0.21
2.57,;,0.21
2.78,l,0.21
3.00,k,0.21
3.21,l,0.21
3.42,p,0.43
3.85,l,0.43
4.28,k,0.43
4.71,p,0.86
5.56,k,0.21
5.78,l,0.21
5.99,;,0.21
6.21,l,0.21
6.42,k,0.21
6.63,l,0.21
6.85,p,0.43
7.28,l,0.43
7.70,k,0.43
8.13,p,0.86
8.99,k,0.21
9.20,l,0.21
9.42,;,0.21
9.63,l,0.21
9.84,k,0.21
10.06,l,0.21
10.27,p,0.43
10.70,l,0.43
11.13,k,0.43
11.56,ipy,0.86
12.41,k,0.43
12.84,;,0.43
13.27,m,0.43
13.70,,kn,1.28
14.98,;km,1.93
16.91,k,0.21
17.12,jlp,0.43
17.55,l,0.43
17.98,k,0.43
18.40,;kp,1.28
19.69,;,0.43
20.12,m,0.43
20.54,,kn,0.43
20.97,.,0.43
21.40,,,0.43
21.83,m,0.43
22.26,;km,0.43
22.68,;,0.43
23.11,l,0.43
23.54,k,0.43
23.97,jlp,0.43
24.40,l,0.43
24.82,;,0.43
25.25,ikp,1.50
26.75,k,0.21
26.96,;,0.21
27.18,m,0.21
27.39,,kn,1.28
28.68,;km,0.86
29.53,,kn,1.07
30.60,k,0.21
30.82,jlp,0.43
31.24,l,0.43
31.67,k,0.43
32.10,;kp,1.28
33.38,i,0.43
33.81,p,0.43
34.24,hoy,0.43
34.67,k,0.43
35.10,l,0.43
35.52,;,0.43
35.95,hlo,0.43
36.38,k,0.43
36.81,h,0.43
37.24,k,0.43
37.66,jlp,0.43
38.09,l,0.43
38.52,k,0.43
38.95,ikp,1.28
40.23,h,0.43
40.66,k,0.43
41.09,jlp,0.43
41.52,l,0.43
41.94,k,0.43
42.37,ikp,1.28
43.66,/,0.43
44.08,.,0.43
44.51,,kn,1.28
45.80,;km,1.28
47.08,/,0.43
47.51,.,0.43
47.94,,kn,0.64
48.58,.,0.21
48.79,,,0.43
49.22,m,0.43
49.65,;kp,0.86
50.50,p,0.21
50.72,h,0.21
50.93,k,0.21
51.15,l,0.21
51.36,;hk,0.64
52.00,l,0.21
52.22,;,0.64
52.86,l,0.21
53.07,;ho,0.64
53.71,l,0.21
53.93,;,0.21
54.14,m,0.21
54.36,;,0.21
54.57,l,0.21
54.78,hko,0.64
55.43,h,0.21
55.64,k,0.43
56.07,l,0.43
56.50,ikpy,0.86
57.35,/;,0.43
57.78,.l,0.43
58.21,,hkno,1.28
59.49,;ikmp,1.28
60.78,/;,0.43
61.20,.l,0.43
61.63,,hkno,0.64
62.27,.l,0.21
62.49,,k,0.43
62.92,jm,0.43
63.34,;ikpy,0.86
64.20,p,0.21
64.41,h,0.21
64.63,k,0.21
64.84,l,0.21
65.06,;hik,0.64
65.70,l,0.21
65.91,;,0.64
66.55,l,0.21
66.77,;hko,0.64
67.41,l,0.21
67.62,;,0.21
67.84,m,0.21
68.05,;,0.21
68.27,l,0.21
68.48,hkou,0.86
69.34,h,0.43
69.76,kpu,1.07
70.83,jlpu,1.28
72.12,ikpy,0.50
