# Untitle
# Converted from SkyStudio format
# BPM: 426
# Total chords: 220

Time,Keys,Duration
0.00,F3,0.28
0.28,F3,0.28
0.56,D3,0.28
0.85,F#3,0.28
1.13,F#3,0.28
1.41,F3,0.14
1.55,D3,0.42
1.97,D3,0.28
2.26,B2,0.28
2.54,E3,0.28
2.82,D3,0.28
3.10,F#3,0.28
3.38,F#3,0.28
3.67,F3,0.14
3.81,D3,0.42
4.23,D3,0.28
4.51,A2B2D3E3,0.28
4.79,A2B2D3E3,0.14
4.93,A2B2D3E3,0.28
5.22,B2D3,0.28
5.50,A2B2D3E3,0.42
5.92,B2D3,0.28
6.20,A2B2D3E3,0.28
6.49,B2D3,0.28
6.77,A2B2D3E3,0.28
7.05,A2B2D3E3,0.14
7.19,A2B2D3E3,0.28
7.47,B2D3,0.28
7.75,A2B2D3E3,0.28
8.04,B2D3,0.28
8.32,A2B2D3E3,0.42
8.74,B2D3,0.42
9.16,B2D3,0.14
9.31,B2D3,0.14
9.45,B2D3,0.14
9.59,B2E3,0.28
9.87,B2D3,0.14
10.01,B2D3,0.14
10.15,B2E3,0.28
10.43,B2D3,0.14
10.57,B2E3,0.28
10.86,B2D3,0.28
11.14,B2E3,0.28
11.42,B2D3,0.14
11.56,B2D3,0.14
11.70,B2D3,0.14
11.84,B2E3,0.28
12.13,B2D3,0.14
12.27,B2D3,0.14
12.41,B2E3,0.28
12.69,B2D3,0.14
12.83,B2E3,0.28
13.11,B2D3,0.42
13.54,A#2C#3,0.28
13.82,B2D3,0.28
14.10,B2D3,0.56
14.66,B2C#3,0.28
14.95,B2D3,0.14
15.09,B2D3,0.56
15.65,C#3,0.14
15.79,B2D3,0.28
16.07,B2D3,0.28
16.36,B2D3,0.28
16.64,B2E3,0.28
16.92,B2D#3,0.42
17.34,B2C#3,0.42
17.77,B2C#3,0.42
18.19,A2B2D3,0.14
18.33,A2B2D3,0.14
18.47,A2B2D3,0.14
18.61,A2B2E3,0.28
18.89,A2B2D3,0.14
19.04,A2B2D3,0.14
19.18,A2B2E3,0.28
19.46,A2B2D3,0.14
19.60,A2B2E3,0.28
19.88,A2B2D3,0.28
20.16,A2B2E3,0.28
20.45,A2B2D3,0.14
20.59,A2B2D3,0.14
20.73,A2B2D3,0.14
20.87,A2B2E3,0.28
21.15,A2B2D3,0.14
21.29,A2B2D3,0.14
21.43,A2B2E3,0.28
21.71,A2B2D3,0.14
21.86,A2B2E3,0.28
22.14,A2B2D3,0.42
22.56,A#2C#3,0.28
22.84,B2D3,0.28
23.12,B2D3,0.56
23.69,B2C#3,0.28
23.97,B2D3,0.14
24.11,B2D3,0.56
24.68,C#3,0.14
24.82,B2D3,0.28
25.10,B2D3,0.28
25.38,B2D3,0.28
25.66,B2E3,0.28
25.94,B2D#3,0.42
26.37,B2D3,0.99
27.35,B2D3,0.28
27.64,B2D3,0.28
27.92,B2D3,0.28
28.20,C#3D#3,0.28
28.48,B2D3,0.28
28.76,B2D#3,0.56
29.33,E3,0.28
29.61,D3,0.28
29.89,D3,0.56
30.46,E3,0.28
30.74,D3,0.28
31.02,D3,0.85
31.87,B2D3,0.28
32.15,B2D3,0.28
32.43,B2D3,0.28
32.71,C#3D#3,0.28
32.99,B2D#3,0.28
33.28,B2E3,0.85
34.12,D3,0.28
34.40,D3,0.28
34.69,D#3,0.56
35.25,C#3,0.28
35.53,D3,0.56
36.10,A3D3,1.13
37.22,B2F#3,0.56
37.79,A#2F3,0.28
38.07,B2F#3,0.28
38.35,B2F#3,0.85
39.20,B2F#3,0.28
39.48,C#3G#3,0.56
40.04,B2F#3,0.28
40.33,C#3G#3,0.28
40.61,C#3G#3,0.85
41.45,B2F#3,0.28
41.74,A3D3,0.56
42.30,C#3G#3,0.28
42.58,A3D3,2.54
45.12,B2D3E3F#3,1.41
46.53,A#2F3,0.28
46.81,A#2F3,0.28
47.09,A2E3,0.28
