# Souvevirs d'Enfance
# Converted from SkyStudio format
# BPM: 720
# Total chords: 504

Time,Keys,Duration
0.00,my,0.33
0.33,;p,0.33
0.66,ik,0.33
1.00,m,0.33
1.33,;,0.33
1.66,k,0.33
1.99,my,0.33
2.32,;i,0.33
2.66,kp,0.33
2.99,im,0.33
3.32,,y,0.33
3.65,ko,0.33
3.98,ko,0.33
4.32,,,0.33
4.65,n,0.33
4.98,k,0.33
5.31,,y,0.33
5.64,no,0.33
5.98,hk,0.33
6.31,,o,0.33
6.64,my,0.33
6.97,;p,0.33
7.30,ik,0.33
7.64,m,0.33
7.97,;,0.33
8.30,k,0.33
8.63,my,0.33
8.96,;i,0.33
9.30,kp,0.33
9.63,lp,0.33
9.96,p,0.33
10.29,lu,0.33
10.62,mp,0.33
10.96,.j,0.33
11.29,lu,0.33
11.62,my,0.33
11.95,;p,0.33
12.28,ik,0.33
12.62,m,0.33
12.95,;,0.33
13.28,k,0.33
13.61,my,0.33
13.94,;i,0.33
14.28,kp,0.33
14.61,im,0.33
14.94,,y,0.33
15.27,hn,0.33
15.60,ko,0.33
15.94,,,0.33
16.27,n,0.33
16.60,k,0.33
16.93,,y,0.33
17.26,no,0.33
17.60,hk,0.33
17.93,,o,0.33
18.26,my,0.33
18.59,;p,0.33
18.92,kp,0.33
19.26,m,0.33
19.59,;,0.33
19.92,k,0.33
20.25,my,0.33
20.58,;i,0.33
20.92,kp,0.33
21.25,lp,0.33
21.58,p,0.33
21.91,;j,0.33
22.24,mu,0.33
22.58,.p,0.33
22.91,;jm,0.33
23.24,;y,0.17
23.41,/,0.17
23.57,mp,0.17
23.74,/,0.17
23.90,im,0.17
24.07,;,0.17
24.24,mp,0.17
24.40,;,0.17
24.57,ik,0.17
24.73,;,0.17
24.90,kp,0.17
25.07,p,0.17
25.23,ik,0.17
25.40,p,0.17
25.56,;p,0.17
25.73,;,0.17
25.90,;i,0.17
26.06,y,0.33
26.39,lp,0.33
26.73,u,0.33
27.06,o,0.33
27.39,lp,0.17
27.56,.,0.17
27.72,mu,0.17
27.89,.,0.17
28.05,;j,0.17
28.22,l,0.17
28.39,my,0.17
28.55,l,0.17
28.72,.j,0.17
28.88,l,0.17
29.05,ju,0.17
29.22,m,0.17
29.38,.j,0.17
29.55,m,0.17
29.71,lp,0.17
29.88,m,0.17
30.05,lu,0.17
30.21,j,0.33
30.54,ky,0.33
30.88,p,0.33
31.21,i,0.33
31.54,;y,0.17
31.71,/,0.17
31.87,mp,0.17
32.04,/,0.17
32.20,im,0.17
32.37,;,0.17
32.54,mo,0.17
32.70,;,0.17
32.87,ik,0.17
33.03,;,0.17
33.20,kp,0.17
33.37,m,0.17
33.53,ik,0.17
33.70,m,0.17
33.86,;p,0.17
34.03,m,0.17
34.20,;i,0.17
34.36,k,0.33
34.69,lp,0.33
35.03,u,0.33
35.36,o,0.33
35.69,lp,0.17
35.86,.,0.17
36.02,mu,0.17
36.19,.,0.17
36.35,jm,0.17
36.52,l,0.17
36.69,mu,0.17
36.85,l,0.17
37.02,.j,0.17
37.18,l,0.17
37.35,.u,0.17
37.52,m,0.17
37.68,.p,0.17
37.85,m,0.17
38.01,lp,0.17
38.18,p,0.17
38.35,lu,0.17
38.51,j,0.33
38.84,ky,0.33
39.18,p,0.33
39.51,;p,0.33
39.84,;p,0.33
40.17,;p,0.33
40.50,y,0.33
40.84,h,0.33
41.17,n,0.33
41.50,h,0.33
41.83,n,0.33
42.16,h,0.33
42.50,n,0.33
42.83,h,0.33
43.16,y,0.33
43.49,p,0.33
43.82,;p,0.33
44.16,;p,0.33
44.49,;p,0.33
44.82,y,0.66
45.48,p,0.66
46.15,k,0.66
46.81,l,0.33
47.14,ly,0.33
47.48,;p,0.33
47.81,;i,0.33
48.14,;p,0.33
48.47,;,0.33
48.80,p,0.33
49.14,;,0.33
49.47,p,0.33
49.80,y,0.33
50.13,p,0.33
50.46,;,0.33
50.80,lp,0.33
51.13,in,0.33
51.46,;p,0.33
51.79,il,0.33
52.12,kp,0.33
52.46,ly,0.33
52.79,;p,0.33
53.12,;i,0.33
53.45,;p,0.33
53.78,;,0.33
54.12,p,0.33
54.45,;,0.33
54.78,p,0.33
55.11,y,0.33
55.44,p,0.33
55.78,;,0.33
56.11,lp,0.33
56.44,in,0.33
56.77,;p,0.33
57.10,il,0.33
57.44,kp,0.33
57.77,,u,0.33
58.10,hl,0.33
58.43,lo,0.33
58.76,hl,0.33
59.10,n,0.33
59.43,h,0.33
59.76,n,0.33
60.09,h,0.33
60.42,p,0.33
60.76,l,0.33
61.09,n,0.33
61.42,ku,0.33
61.75,lo,0.33
62.08,ku,0.33
62.42,;o,0.33
62.75,ku,0.33
63.08,ly,0.33
63.41,;p,0.33
63.74,;i,0.33
64.08,;p,0.33
