# Summertime
# Converted from SkyStudio format
# BPM: 850
# Total chords: 525

Time,Keys,Duration
0.35,m,0.21
0.56,m,0.21
0.77,;,0.21
0.98,,,0.21
1.19,m,0.21
1.40,;,0.21
1.61,k,0.21
1.82,lo,0.42
2.24,hlo,0.21
2.45,ky,0.21
2.66,lo,0.42
3.08,hko,0.21
3.29,lo,0.21
3.50,p,0.21
3.71,l,0.21
3.92,jp,0.21
4.13,lu,0.21
4.34,,p,0.21
4.55,m,0.21
4.76,;jp,0.21
4.97,kp,0.21
5.18,il,0.42
5.60,ilp,0.21
5.81,jk,0.21
6.02,il,0.21
6.23,l,0.21
6.44,;ip,0.21
6.65,il,0.21
6.86,h,0.21
7.07,k,0.21
7.28,iy,0.21
7.49,,i,0.21
7.70,h,0.21
7.91,m,0.21
8.12,;iy,0.21
8.33,hk,0.21
8.54,lu,0.42
8.96,lou,0.21
9.17,hk,0.21
9.38,lu,0.42
9.80,kou,0.21
10.01,lo,0.21
10.22,p,0.21
10.43,;,0.21
10.64,pu,0.21
10.85,lu,0.21
11.06,p,0.21
11.27,k,0.21
11.48,pu,0.21
11.69,;p,0.21
11.90,k,0.21
12.11,j,0.21
12.32,h,0.21
12.53,p,0.21
12.74,o,0.21
12.95,;i,0.21
13.16,no,0.21
13.37,mp,0.21
13.58,,h,0.21
13.79,m,0.21
14.00,m,0.21
14.21,;,0.21
14.42,,,0.21
14.63,m,0.21
14.84,;,0.21
15.05,k,0.21
15.26,lo,0.42
15.68,hly,0.21
15.89,hk,0.21
16.10,ly,0.21
16.31,hoy,0.21
16.52,hk,0.21
16.73,hlu,0.21
16.94,p,0.21
17.15,hlu,0.42
17.57,kp,0.21
17.78,,hu,0.21
17.99,m,0.21
18.20,;hu,0.21
18.41,ko,0.21
18.62,il,0.21
18.83,l,0.21
19.04,ijl,0.21
19.25,lp,0.21
19.46,jl,0.21
19.67,ijp,0.21
19.88,lu,0.21
20.09,noy,0.21
20.30,h,0.21
20.51,;iy,0.42
20.93,h,0.21
21.14,ipy,0.21
21.35,k,0.21
21.56,lpu,0.21
21.77,;i,0.21
21.98,u,0.21
22.19,k,0.21
22.40,lmp,0.21
22.61,;o,0.21
22.82,h,0.21
23.03,;hi,0.21
23.24,no,0.21
23.45,ijmp,0.21
23.66,p,0.21
23.87,ijmp,0.42
24.29,kp,0.21
24.50,ijp,0.21
24.71,l,0.21
24.92,ijp,0.21
25.13,kp,0.21
25.34,ipy,0.42
25.76,k,0.21
25.97,p,0.21
26.18,k,0.21
26.39,n,0.21
26.60,;,0.21
26.81,l,0.21
27.02,k,0.14
27.16,n,0.07
27.23,m,0.21
27.44,m,0.21
27.65,;,0.21
27.86,,,0.21
28.07,m,0.21
28.28,m,0.14
28.42,;,0.07
28.49,k,0.21
28.70,lo,0.42
29.12,hly,0.21
29.33,hk,0.21
29.54,ly,0.21
29.75,hoy,0.21
29.96,hk,0.21
30.17,hlu,0.21
30.38,p,0.21
30.59,hlu,0.42
31.01,lp,0.14
31.15,m,0.07
31.22,,hu,0.21
31.43,m,0.21
31.64,;hi,0.21
31.85,ko,0.21
32.06,il,0.42
32.48,lpu,0.21
32.69,kp,0.21
32.90,jl,0.21
33.11,lpu,0.21
33.32,;u,0.21
33.53,ily,0.21
33.74,h,0.21
33.95,iky,0.35
34.30,m,0.07
34.37,,h,0.21
34.58,ipy,0.21
34.79,m,0.21
35.00,;ipy,0.21
35.21,ik,0.21
35.42,lu,0.42
35.84,hlu,0.21
36.05,ko,0.21
36.26,hl,0.21
36.47,hou,0.21
36.68,ko,0.21
36.89,jlu,0.21
37.10,p,0.21
37.31,;ij,0.42
37.73,lp,0.21
37.94,ijp,0.21
38.15,k,0.21
38.36,ip,0.21
38.57,jp,0.21
38.78,ky,0.42
39.20,ipy,0.21
39.41,y,0.21
39.62,ik,0.21
39.83,ilpy,0.21
40.04,;p,0.21
40.25,;mpu,0.63
40.88,jmpu,1.26
42.14,mo,0.42
42.56,;hy,0.21
42.77,h,0.21
42.98,ly,0.21
43.19,hoy,0.21
43.40,hl,0.21
43.61,hku,0.21
43.82,lp,0.21
44.03,;hu,0.21
44.24,;,0.21
44.45,mp,0.21
44.66,hou,0.42
45.08,hou,0.21
45.29,o,0.21
45.50,im,0.42
45.92,;pu,0.21
46.13,p,0.21
46.34,jl,0.21
46.55,pu,0.21
46.76,lu,0.21
46.97,iky,0.21
47.18,hl,0.21
47.39,;iy,0.21
47.60,n,0.21
47.81,;h,0.21
48.02,ipy,0.42
48.44,hipy,0.21
48.65,hi,0.21
48.86,mu,0.21
49.07,m,0.21
49.28,;hu,0.21
49.49,;o,0.21
49.70,hl,0.21
49.91,hlu,0.21
50.12,lo,0.21
50.33,ikp,0.21
50.54,lp,0.21
50.75,;ip,0.21
50.96,l,0.21
