# TA
# Converted from SkyStudio format
# BPM: 400
# Total chords: 619

Time,Keys,Duration
0.60,A2,0.30
0.90,D3,0.15
1.05,E3,0.30
1.35,G3,0.60
1.95,E3,0.45
2.40,A2,0.30
2.70,C#3,0.15
2.85,D#3,0.30
3.15,G3,0.60
3.75,D#3,0.45
4.20,A2,0.30
4.50,C#3,0.15
4.65,D#3,0.30
4.95,F#3,0.60
5.55,D#3,0.45
6.00,A2,0.30
6.30,B2,0.15
6.45,C#3,0.30
6.75,E3,0.60
7.35,B2,0.45
7.80,A2,0.30
8.10,D3,0.15
8.25,E3,0.30
8.55,G3,0.60
9.15,E3,0.45
9.60,A2,0.30
9.90,C#3,0.15
10.05,D#3,0.30
10.35,G3,0.60
10.95,D#3,0.45
11.40,A2,0.30
11.70,C#3,0.15
11.85,D#3,0.30
12.15,F#3,0.60
12.75,D#3,0.45
13.20,A2,0.30
13.50,B2,0.15
13.65,C#3,0.30
13.95,E3,0.60
14.55,B2,0.45
15.00,A2,0.30
15.30,C3,0.15
15.45,A3D3,0.30
15.75,E3,0.15
15.90,A3,0.45
16.35,E3G#3,0.30
16.65,F#3,0.15
16.80,A#2G#3,0.30
17.10,C#3F#3,0.15
17.25,D#3,0.30
17.55,F3,0.45
18.00,F3,0.15
18.15,F3,0.30
18.45,E3,0.15
18.60,A2F#3,0.30
18.90,B2,0.15
19.05,C#3F3,0.30
19.35,E3F#3,0.45
19.80,G#3,0.15
19.95,E3,0.30
20.25,F#3,0.15
20.40,B2,0.30
20.70,C#3,0.15
20.85,D#3,0.30
21.15,F#3,0.60
21.75,F#3,0.45
22.20,A2,0.30
22.50,C3,0.15
22.65,A3D3,0.30
22.95,E3,0.15
23.10,A3,0.45
23.55,E3G#3,0.30
23.85,F#3,0.15
24.00,A#2G#3,0.30
24.30,C#3F#3,0.15
24.45,D#3,0.30
24.75,F3,0.45
25.20,F3,0.15
25.35,F3,0.30
25.65,E3,0.15
25.80,A2F#3,0.30
26.10,B2,0.15
26.25,C#3F3,0.30
26.55,E3F#3,0.45
27.00,G#3,0.15
27.15,E3,0.30
27.45,F#3,0.15
27.60,B2,0.30
27.90,C#3,0.15
28.05,D#3,0.30
28.35,F#3,0.60
28.95,F#3,0.45
29.40,A2,0.30
29.70,C3,0.15
29.85,C4D3,0.30
30.15,E3,0.15
30.30,A3,0.45
30.75,A3E3,0.30
31.05,G#3,0.15
31.20,A#2A3,0.30
31.50,C#3G#3,0.15
31.65,D#3,0.30
31.95,F3,0.45
32.40,F3,0.15
32.55,F3,0.30
32.85,E3,0.15
33.00,A2F#3,0.30
33.30,B2,0.15
33.45,C#3F#3,0.30
33.75,E3F3,0.15
33.90,F3,0.30
34.20,F#3,0.15
34.35,E3G#3,0.30
34.65,F#3,0.15
34.80,B2,0.30
35.10,C#3,0.15
35.25,D#3,0.30
35.55,F#3,0.60
36.15,F#3,0.45
36.60,A2,0.30
36.90,C3,0.15
37.05,C4D3,0.30
37.35,E3,0.15
37.50,A3,0.45
37.95,A3E3,0.30
38.25,G#3,0.15
38.40,A#2A3,0.30
38.70,C#3G#3,0.15
38.85,D#3,0.30
39.15,F3,0.45
39.60,F3,0.15
39.75,F3,0.30
40.05,E3,0.15
40.20,A2F#3,0.30
40.50,B2,0.15
40.65,C#3F3,0.30
40.95,E3F#3,0.15
41.10,F#3,0.30
41.40,F3,0.15
41.55,E3,0.30
41.85,E3,0.15
42.00,B2,0.30
42.30,C#3,0.15
42.45,D#3,0.30
42.75,F#3,0.60
43.35,F#3,0.45
43.80,A2G3,0.30
44.10,C3,0.15
44.25,D3,0.30
44.55,E3,0.45
45.00,E3,0.15
45.15,E3,0.30
45.45,D#3,0.15
45.60,A#2,0.30
45.90,C#3,0.15
46.05,D#3,0.30
46.35,F3,0.45
46.80,F3,0.15
46.95,F3,0.30
47.25,E3,0.15
47.40,A2,0.30
47.70,B2,0.15
47.85,C#3F#3,0.30
48.15,E3,0.15
48.30,F#3,0.45
48.75,E3F#3,0.45
49.20,B2F#3,0.30
49.50,C#3,0.15
49.65,D#3G#3,0.30
49.95,F#3,0.60
50.55,F#3,0.45
51.00,A2G3,0.30
51.30,C3,0.15
51.45,D3,0.30
51.75,E3,0.45
52.20,E3,0.15
52.35,E3,0.30
52.65,D#3,0.15
52.80,A#2,0.30
53.10,C#3,0.15
53.25,D#3,0.30
53.55,F3,0.45
54.00,F3,0.15
54.15,F3,0.30
54.45,E3,0.15
54.60,A2,0.30
54.90,B2,0.15
55.05,C#3F#3,0.30
55.35,E3,0.15
55.50,F#3,0.45
55.95,E3F#3,0.30
56.25,F#3,0.15
56.40,B2,0.30
56.70,C#3,0.15
56.85,D#3F#3,0.30
57.15,F#3,0.60
57.75,F#3,0.45
58.20,A2F#3,0.30
58.50,C3D3,0.15
58.65,A2E3,0.30
58.95,D3,0.15
59.10,A2E3,0.30
59.40,C3D3,0.15
59.55,A2E3,0.30
59.85,D3,0.15
60.00,A#2E3,0.30
60.30,C#3D#3F3,0.15
60.45,A#2,0.30
60.75,F3,0.15
60.90,A#2,0.30
61.20,C#3D#3,0.15
61.35,A#2F#3,0.45
61.80,B2F#3,0.30
62.10,C#3D#3,0.15
62.25,B2D#3,0.30
62.55,C#3,0.15
62.70,B2D#3,0.30
63.00,B2C#3,0.15
63.15,B2D#3,0.30
63.45,C#3,0.15
