# Ten Thousand Stars
# Converted from SkyStudio format
# BPM: 500
# Total chords: 276

Time,Keys,Duration
0.00,;hi,0.36
0.36,;,0.36
0.72,;hi,0.36
1.08,l,0.24
1.32,lpu,0.24
1.56,m,0.24
1.80,koy,0.36
2.16,k,0.36
2.52,koy,0.36
2.88,k,0.36
3.24,koy,0.24
3.48,m,0.24
3.72,;hi,0.36
4.08,;,0.36
4.44,;hi,0.36
4.80,l,0.24
5.04,lpu,0.24
5.28,m,0.24
5.52,koy,0.36
5.88,k,0.36
6.24,koy,0.36
6.60,/,0.36
6.96,/oy,0.24
7.20,m,0.24
7.44,;hi,0.36
7.80,;,0.36
8.16,;hi,0.36
8.52,l,0.24
8.76,lpu,0.24
9.00,,,0.24
9.24,koy,0.36
9.60,k,0.36
9.96,koy,0.36
10.32,.,0.36
10.68,.oy,0.24
10.92,/,0.24
11.16,;hi,0.36
11.52,;,0.36
11.88,;hi,0.36
12.24,l,0.24
12.48,lpu,0.24
12.72,;,0.24
12.96,koy,0.36
13.32,k,0.36
13.68,koy,0.36
14.04,/,0.24
14.28,/oy,0.24
14.52,.,0.48
15.00,;oy,0.24
15.24,l,0.24
15.48,k,0.24
15.72,lpu,0.24
15.96,k,0.24
16.20,k,0.24
16.44,j,0.24
16.68,koy,0.48
17.16,h,0.48
17.64,lpu,0.48
18.12,j,0.48
18.60,koy,0.72
19.32,k,0.24
19.56,joy,0.48
20.04,h,0.48
20.52,lpu,0.24
20.76,k,0.48
21.24,joy,0.48
21.72,h,0.24
21.96,h,0.72
22.68,;oy,0.24
22.92,l,0.24
23.16,k,0.24
23.40,lpu,0.24
23.64,k,0.24
23.88,k,0.24
24.12,j,0.24
24.36,koy,0.48
24.84,h,0.48
25.32,ipy,0.48
25.80,h,0.48
26.28,joy,0.72
27.00,koy,0.72
27.72,h,0.48
28.20,koy,0.48
28.68,l,0.24
28.92,joy,0.48
29.40,h,0.24
29.64,h,0.96
30.60,,oy,0.24
30.84,m,0.24
31.08,,oy,0.24
31.32,.,0.24
31.56,/oy,0.24
31.80,.,0.48
32.28,,,0.24
32.52,,,0.24
32.76,m,0.24
33.00,,ho,0.24
33.24,.,0.24
33.48,/oy,0.24
33.72,.,0.48
34.20,n,0.24
34.44,;oy,0.24
34.68,n,0.24
34.92,;oy,0.24
35.16,l,0.24
35.40,koy,0.24
35.64,j,0.24
35.88,koy,0.36
36.24,l,0.12
36.36,koy,0.36
36.72,l,0.12
36.84,koy,0.24
37.08,j,0.24
37.32,k,0.96
