# 天旋地转
# Converted from SkyStudio format
# BPM: 720
# Total chords: 444

Time,Keys,Duration
0.00,h,0.17
0.17,k,0.17
0.33,i,0.17
0.50,k,0.17
0.66,h,0.17
0.83,k,0.17
1.00,i,0.17
1.16,k,0.17
1.33,h,0.17
1.49,k,0.17
1.66,i,0.17
1.83,k,0.17
1.99,h,0.17
2.16,k,0.17
2.32,i,0.17
2.49,k,0.17
2.66,ko,0.33
2.99,y,0.17
3.15,o,0.17
3.32,o,0.33
3.65,ky,0.33
3.98,mo,0.17
4.15,k,0.17
4.32,ny,0.17
4.48,k,0.17
4.65,ko,0.17
4.81,k,0.17
4.98,ly,0.17
5.15,k,0.17
5.31,h,0.17
5.48,k,0.17
5.64,i,0.17
5.81,k,0.17
5.98,h,0.17
6.14,k,0.17
6.31,i,0.17
6.47,k,0.17
6.64,h,0.17
6.81,k,0.17
6.97,i,0.17
7.14,k,0.17
7.30,h,0.17
7.47,k,0.17
7.64,i,0.17
7.80,k,0.17
7.97,koy,0.50
8.47,l,0.50
8.96,h,0.33
9.30,;pu,0.50
9.79,n,0.08
9.88,;,0.08
9.96,jlp,0.66
10.62,ko,0.17
10.79,h,0.17
10.96,y,0.17
11.12,h,0.17
11.29,o,0.17
11.45,h,0.17
11.62,y,0.17
11.79,h,0.17
11.95,i,0.17
12.12,kp,0.17
12.28,ju,0.17
12.45,kp,0.17
12.62,im,0.17
12.78,p,0.17
12.95,ju,0.17
13.11,kp,0.17
13.28,i,0.17
13.45,h,0.17
13.61,y,0.17
13.78,h,0.17
13.94,i,0.17
14.11,h,0.17
14.28,y,0.17
14.44,h,0.17
14.61,i,0.17
14.77,kp,0.17
14.94,jy,0.17
15.11,hp,0.17
15.27,ip,0.17
15.44,p,0.17
15.60,jy,0.17
15.77,p,0.17
15.94,ko,0.17
16.10,hj,0.17
16.27,ky,0.17
16.43,hm,0.17
16.60,o,0.17
16.77,h,0.17
16.93,my,0.17
17.10,,h,0.17
17.26,im,0.17
17.43,p,0.17
17.60,ny,0.17
17.76,;p,0.17
17.93,i,0.17
18.09,p,0.17
18.26,ky,0.17
18.43,p,0.17
18.59,lo,0.17
18.76,h,0.17
18.92,u,0.17
19.09,ho,0.17
19.26,o,0.17
19.42,h,0.17
19.59,lu,0.17
19.75,h,0.17
19.92,;i,0.17
20.09,j,0.17
20.25,u,0.17
20.42,jn,0.08
20.50,;,0.08
20.58,il,0.17
20.75,j,0.17
20.92,u,0.17
21.08,j,0.17
21.25,ko,0.17
21.41,h,0.17
21.58,y,0.17
21.75,h,0.17
21.91,o,0.17
22.08,h,0.17
22.24,y,0.17
22.41,h,0.17
22.58,i,0.17
22.74,kp,0.17
22.91,ju,0.17
23.07,kp,0.17
23.24,i,0.17
23.41,p,0.17
23.57,ju,0.17
23.74,kp,0.17
23.90,i,0.17
24.07,h,0.17
24.24,y,0.17
24.40,h,0.17
24.57,i,0.17
24.73,h,0.17
24.90,y,0.17
25.07,h,0.17
25.23,i,0.17
25.40,kp,0.17
25.56,jy,0.17
25.73,hp,0.17
25.90,ip,0.17
26.06,p,0.17
26.23,jy,0.17
26.39,p,0.17
26.56,ko,0.17
26.73,hj,0.17
26.89,ky,0.17
27.06,hm,0.17
27.22,o,0.17
27.39,h,0.17
27.56,my,0.17
27.72,,h,0.17
27.89,im,0.17
28.05,p,0.17
28.22,ny,0.17
28.39,;p,0.17
28.55,i,0.17
28.72,p,0.17
28.88,ky,0.17
29.05,p,0.17
29.22,lo,0.17
29.38,h,0.17
29.55,u,0.17
29.71,ho,0.17
29.88,o,0.17
30.05,h,0.17
30.21,lu,0.17
30.38,h,0.17
30.54,;i,0.17
30.71,j,0.17
30.88,u,0.17
31.04,jn,0.08
31.12,;,0.08
31.21,il,0.17
31.37,j,0.17
31.54,u,0.17
31.71,j,0.17
31.87,o,0.17
32.04,hk,0.17
32.20,jy,0.17
32.37,hk,0.17
32.54,mo,0.17
32.70,hk,0.17
32.87,jy,0.17
33.03,hk,0.17
33.20,,i,0.17
33.37,kp,0.17
33.53,ju,0.17
33.70,kp,0.17
33.86,.i,0.17
34.03,kp,0.17
34.20,ju,0.17
34.36,kp,0.17
34.53,/i,0.17
34.69,.h,0.08
34.78,./,0.08
34.86,,y,0.17
35.03,hm,0.17
35.19,;i,0.17
35.36,hk,0.17
35.52,jy,0.17
35.69,hk,0.17
35.86,im,0.17
36.02,kp,0.17
36.19,ju,0.17
36.35,kp,0.17
36.52,im,0.17
36.69,kp,0.17
36.85,ju,0.17
37.02,kp,0.17
37.18,,o,0.17
37.35,hm,0.08
37.43,,m,0.08
37.52,ny,0.17
37.68,;h,0.17
37.85,lo,0.17
38.01,hk,0.17
38.18,ly,0.17
38.35,hn,0.17
38.51,;i,0.17
38.68,kp,0.17
38.84,py,0.17
39.01,kp,0.17
39.18,;i,0.17
39.34,p,0.17
39.51,y,0.17
39.67,kp,0.17
39.84,il,0.17
40.01,ho,0.17
40.17,ou,0.17
40.34,ho,0.17
40.50,il,0.17
40.67,o,0.17
40.84,nu,0.17
41.00,o,0.17
41.17,;i,0.17
41.33,j,0.17
41.50,u,0.17
41.67,jn,0.08
41.75,;,0.08
41.83,il,0.17
42.00,j,0.17
42.16,u,0.17
42.33,j,0.17
42.50,o,0.17
42.66,hk,0.17
42.83,jy,0.17
42.99,hk,0.17
43.16,mo,0.17
43.33,hk,0.17
43.49,jy,0.17
43.66,hk,0.17
43.82,,i,0.17
43.99,kp,0.17
44.16,ju,0.17
44.32,kp,0.17
44.49,.i,0.17
44.65,kp,0.17
44.82,ju,0.17
44.99,kp,0.17
45.15,/i,0.17
45.32,.h,0.08
45.40,./,0.08
45.48,,y,0.17
45.65,hm,0.17
45.82,;i,0.17
45.98,hk,0.17
46.15,jy,0.17
46.31,hk,0.17
46.48,im,0.17
46.65,kp,0.17
46.81,ju,0.17
46.98,kp,0.17
47.14,im,0.17
47.31,kp,0.17
47.48,ju,0.17
47.64,kp,0.17
47.81,,o,0.17
47.97,hm,0.08
48.06,,m,0.08
48.14,ny,0.17
48.31,;h,0.17
48.47,lo,0.17
48.64,hk,0.17
48.80,ly,0.17
48.97,hn,0.17
49.14,;i,0.17
49.30,kp,0.17
49.47,py,0.17
49.63,kp,0.17
49.80,;i,0.17
49.97,p,0.17
50.13,y,0.17
50.30,kp,0.17
50.46,il,0.17
50.63,ho,0.17
50.80,ou,0.17
50.96,ho,0.17
51.13,il,0.17
51.29,o,0.17
51.46,nu,0.17
51.63,o,0.17
51.79,;i,0.17
51.96,j,0.17
52.12,u,0.17
52.29,jn,0.08
52.37,;,0.08
52.46,il,0.17
52.62,j,0.17
52.79,u,0.17
52.95,j,0.17
53.12,/o,0.17
53.29,k,0.17
53.45,y,0.17
53.62,k,0.17
53.78,o,0.17
53.95,k,0.17
54.12,y,0.17
54.28,k,0.17
54.45,o,0.17
54.61,/k,0.17
54.78,.y,0.17
54.95,,k,0.17
55.11,mo,0.17
55.28,k,0.17
55.44,ny,0.17
55.61,;k,0.17
55.78,p,0.17
55.94,k,0.17
56.11,y,0.17
56.27,k,0.17
56.44,p,0.17
56.61,k,0.17
56.77,y,0.17
56.94,k,0.17
57.10,p,0.17
57.27,;k,0.17
57.44,ny,0.17
57.60,;k,0.17
57.77,lp,0.17
57.93,k,0.17
58.10,my,0.17
58.27,k,0.17
58.43,/o,0.17
58.60,k,0.17
58.76,y,0.17
58.93,k,0.17
59.10,o,0.17
59.26,k,0.17
59.43,y,0.17
59.59,k,0.17
59.76,o,0.17
59.93,k,0.17
60.09,jy,0.17
60.26,k,0.17
60.42,mo,0.33
60.76,ky,0.17
60.92,k,0.17
61.09,i,0.17
61.25,k,0.17
61.42,y,0.17
61.59,k,0.17
61.75,i,0.17
61.92,k,0.17
62.08,y,0.17
62.25,kl,0.08
62.33,k,0.08
62.42,jp,0.17
62.58,o,0.08
62.66,p,0.08
62.75,hk,0.17
62.91,p,0.08
63.00,h,0.08
63.08,jl,0.17
63.25,i,0.08
63.33,o,0.08
63.41,jp,0.17
63.58,u,0.08
63.66,i,0.08
63.74,ko,0.17
63.91,h,0.17
64.08,y,0.17
64.24,h,0.17
64.41,o,0.17
64.57,h,0.17
64.74,py,0.17
64.91,h,0.17
65.07,;p,0.17
65.24,j,0.17
65.40,nu,0.17
65.57,j,0.17
65.74,lp,0.17
65.90,j,0.17
66.07,u,0.17
66.23,jk,0.17
66.40,ik,0.17
66.57,h,0.17
66.73,y,0.17
66.90,h,0.17
67.06,i,0.17
67.23,h,0.17
67.40,py,0.17
67.56,h,0.17
67.73,;p,0.17
67.89,j,0.17
68.06,nu,0.17
68.23,j,0.17
68.39,lp,0.17
68.56,j,0.17
68.72,ku,0.17
68.89,j,0.17
69.06,ko,0.17
69.22,h,0.17
69.39,y,0.17
69.55,h,0.17
69.72,o,0.17
69.89,h,0.17
70.05,py,0.17
70.22,h,0.17
70.38,;p,0.17
70.55,j,0.17
70.72,nu,0.17
70.88,j,0.17
71.05,lp,0.17
71.21,j,0.17
71.38,u,0.17
71.55,jk,0.17
71.71,ik,0.17
71.88,h,0.17
72.04,y,0.17
72.21,h,0.17
72.38,i,0.17
72.54,h,0.17
72.71,py,0.17
72.87,h,0.17
73.04,;,0.33
73.37,n,0.33
73.70,l,0.33
74.04,k,0.50
