# Untitle伴奏
# Converted from SkyStudio format
# BPM: 240
# Total chords: 176

Time,Keys,Duration
0.00,;hk,2.00
2.00,hko,2.00
4.00,;km,2.00
6.00,jlp,2.00
8.00,;hk,2.00
10.00,hko,2.00
12.00,;km,2.00
14.00,jlp,2.00
16.00,;hk,1.00
17.00,h,1.00
18.00,hko,1.00
19.00,o,1.00
20.00,;km,1.00
21.00,k,1.00
22.00,jlp,1.00
23.00,p,1.00
24.00,;hk,1.00
25.00,;hk,1.00
26.00,hko,1.00
27.00,hko,1.00
28.00,;km,1.00
29.00,;km,1.00
30.00,jlp,1.00
31.00,jlp,1.00
32.00,;hk,1.00
33.00,;hk,1.00
34.00,hko,1.00
35.00,hko,1.00
36.00,;km,1.00
37.00,;km,1.00
38.00,jlp,1.00
39.00,jlp,1.00
40.00,;hk,1.00
41.00,;hk,1.00
42.00,hko,1.00
43.00,hko,1.00
44.00,;km,1.00
45.00,;km,1.00
46.00,jlp,1.00
47.00,jlp,1.00
48.00,;hk,0.50
48.50,k,0.50
49.00,;hk,1.00
50.00,hko,0.50
50.50,h,0.50
51.00,hko,1.00
52.00,;km,0.50
52.50,;,0.50
53.00,;km,1.00
54.00,jlp,0.50
54.50,j,0.50
55.00,jlp,1.00
56.00,;hk,0.50
56.50,;,0.50
57.00,;hk,0.50
57.50,;,0.50
58.00,hko,0.50
58.50,k,0.50
59.00,hko,0.50
59.50,k,0.50
60.00,;km,0.50
60.50,m,0.50
61.00,;km,0.50
61.50,m,0.50
62.00,jlp,0.50
62.50,l,0.50
63.00,jlp,0.50
63.50,l,0.50
64.00,;hk,0.50
64.50,;,0.50
65.00,;hk,0.50
65.50,;,0.50
66.00,hko,0.50
66.50,k,0.50
67.00,hko,0.50
67.50,k,0.50
68.00,;km,0.50
68.50,m,0.50
69.00,;km,0.50
69.50,m,0.50
70.00,jlp,0.50
70.50,l,0.50
71.00,jlp,0.50
71.50,l,0.50
72.00,;hk,0.50
72.50,;,0.50
73.00,;hk,0.50
73.50,;,0.50
74.00,hko,0.50
74.50,k,0.50
75.00,hko,0.50
75.50,k,0.50
76.00,;km,0.50
76.50,m,0.50
77.00,;km,0.50
77.50,m,0.50
78.00,jlp,0.50
78.50,l,0.50
79.00,jlp,0.50
79.50,l,0.50
80.00,;hk,0.50
80.50,k,0.50
81.00,h,0.50
81.50,k,0.50
82.00,hko,0.50
82.50,h,0.50
83.00,o,0.50
83.50,h,0.50
84.00,;km,0.50
84.50,;,0.50
85.00,k,0.50
85.50,;,0.50
86.00,jlp,0.50
86.50,j,0.50
87.00,p,0.50
87.50,j,0.50
88.00,;hk,0.50
88.50,k,0.50
89.00,h,1.00
90.00,hko,0.50
90.50,h,0.50
91.00,o,1.00
92.00,;km,0.50
92.50,;,0.50
93.00,k,1.00
94.00,jlp,0.50
94.50,j,0.50
95.00,p,1.00
96.00,;hk,1.00
97.00,;hk,1.00
98.00,hko,1.00
99.00,hko,1.00
100.00,;km,1.00
101.00,;km,1.00
102.00,jlp,1.00
103.00,jlp,1.00
104.00,;hk,1.00
105.00,;hk,1.00
106.00,hko,1.00
107.00,hko,1.00
108.00,;km,1.00
109.00,;km,1.00
110.00,jlp,1.00
111.00,jlp,1.00
112.00,;hk,1.00
113.00,;hk,1.00
114.00,hko,1.00
115.00,hko,1.00
116.00,;km,1.00
117.00,;km,1.00
118.00,jlp,1.00
119.00,jlp,1.00
120.00,;hk,1.00
121.00,h,1.00
122.00,hko,1.00
123.00,o,1.00
124.00,;km,1.00
125.00,k,1.00
126.00,jlp,1.00
127.00,p,1.00
128.00,;hk,1.00
129.00,h,1.00
130.00,hko,1.00
131.00,o,1.00
132.00,;km,1.00
133.00,k,1.00
134.00,jlp,1.00
135.00,p,1.00
136.00,;hk,2.00
138.00,hko,2.00
140.00,;km,2.00
142.00,jlp,2.00
144.00,;hk,2.00
146.00,hko,2.00
148.00,hou,2.00
150.00,ipy,0.50
