# Youngblood
# Converted from SkyStudio format
# BPM: 380
# Total chords: 323

Time,Keys,Duration
0.63,C#3,0.16
0.79,E3,0.16
0.94,A2B2D3,0.31
1.26,E3,0.16
1.41,E3,0.31
1.73,E3,0.16
1.88,A2B2D3E3,0.31
2.20,E3,0.16
2.35,E3,0.31
2.67,D#3,0.16
2.83,A#2C#3D#3,0.31
3.14,D#3,0.16
3.30,D#3,0.31
3.61,D#3,0.16
3.77,A2B2C#3F#3,0.47
4.24,C#3,0.47
4.71,A2C3D3,0.94
5.65,A2C3,0.94
6.59,A2C3,0.94
7.54,A#2C#3,0.79
8.32,E3,0.16
8.48,A2B2D3,0.31
8.79,E3,0.16
8.95,E3,0.31
9.26,E3,0.16
9.42,A2B2D3E3,0.31
9.73,E3,0.16
9.89,E3,0.31
10.21,D#3,0.16
10.36,A#2C#3D#3,0.31
10.68,D#3,0.16
10.83,D#3,0.31
11.15,D#3,0.16
11.30,A2B2C#3F#3,0.47
11.78,C#3,0.47
12.25,A2C3D3,0.94
13.19,A2C3,0.94
14.13,A2C3,0.94
15.07,A#2C#3,0.79
15.86,F#3,0.16
16.01,A2B2D3,0.31
16.33,F#3,0.16
16.48,F#3,0.31
16.80,F#3,0.16
16.96,A2B2D3F#3,0.31
17.27,E3,0.47
17.74,F3,0.16
17.90,A#2C#3F3,0.31
18.21,E3,0.16
18.37,F3,0.31
18.68,F3,0.16
18.84,A2B2C#3G#3,0.47
19.31,C#3,0.47
19.78,A2C3D3,0.94
20.72,A2C3,0.94
21.67,A2C3,0.94
22.61,A#2C#3,0.79
23.39,E3,0.16
23.55,A2B2D3,0.31
23.86,E3,0.16
24.02,E3,0.31
24.34,E3,0.16
24.49,A2B2D3E3,0.31
24.81,E3,0.16
24.96,E3,0.31
25.28,D#3,0.16
25.43,A#2C#3D#3,0.31
25.75,D#3,0.16
25.91,D#3,0.31
26.22,D#3,0.16
26.38,A2B2C#3F#3,0.47
26.85,C#3,0.47
27.32,A2C3D3,0.94
28.26,A2C3,0.94
29.20,A2C3,0.94
30.14,A#2C#3,0.79
30.93,E3,0.16
31.09,A2A3B2D3,0.16
31.24,A3,0.16
31.40,A3,0.16
31.56,G#3,0.16
31.71,G#3,0.16
31.87,G#3,0.16
32.03,A2B2D3F#3,0.16
32.19,F#3,0.16
32.34,F#3,0.16
32.50,G#3,0.47
32.97,A#2C#3D#3F#3,0.16
33.13,F#3,0.16
33.28,F#3,0.16
33.44,G#3,0.47
33.91,A2C3E3,0.31
34.23,D#3,0.47
34.70,E3,0.16
34.85,A2A3B2D3,0.16
35.01,A3,0.16
35.17,A3,0.16
35.33,G#3,0.16
35.48,G#3,0.16
35.64,G#3,0.16
35.80,A2B2D3F#3,0.16
35.95,F#3,0.16
36.11,F#3,0.16
36.27,G#3,0.47
36.74,A#2C#3D#3F#3,0.16
36.90,F#3,0.16
37.05,F#3,0.16
37.21,G#3,0.47
37.68,A2C3,0.79
38.47,C#3G#3,0.16
38.62,A2A3C3D3,0.31
38.94,A2C3,0.16
39.09,A2C3,0.16
39.25,C#3G#3,0.16
39.41,A2C#3C3G#3,0.16
39.56,A2A3C3D3,0.31
39.88,A2C#3C3G#3,0.16
40.03,A2C3,0.16
40.19,C#3G#3,0.16
40.35,A2C#3C3G#3,0.16
40.51,A#2A3C#3D3,0.31
40.82,A#2C#3G#3,0.16
40.98,A#2C#3,0.31
41.29,A#2C#3,0.16
41.45,A2C#3C4E3,0.31
41.76,A#3A2C#3D#3,0.16
41.92,A2C#3G#3,0.31
42.23,A2C#3G#3,0.16
42.39,A2C3,0.31
42.70,A2B2C3F#3,0.16
42.86,A2C#3C3G#3,0.31
43.17,A2C3,0.16
43.33,A2C#3C3G#3,0.31
43.65,A2C3,0.16
43.80,A2C#3C3G#3,0.31
44.12,A2C3,0.16
44.27,A2C#3C3G#3,0.31
44.59,A2C3,0.16
44.74,A2C3,0.16
44.90,C#3G#3,0.16
45.06,A2B2C3F#3,0.16
45.22,A#2C#3G#3,0.31
45.53,A#2B2C#3F#3,0.16
45.69,A#2A3C#3D3,0.31
46.00,A#2A3C#3D3,0.16
46.16,A2A3C3D3,0.31
46.47,A2C3,0.16
46.63,A2C3,0.16
46.79,C#3G#3,0.16
46.94,A2C#3C3G#3,0.16
47.10,A2A3C3D3,0.31
47.41,A2C#3C3G#3,0.16
47.57,A2C3,0.16
47.73,C#3G#3,0.16
47.88,A2C#3C3G#3,0.16
48.04,A#2A3C#3D3,0.31
48.36,A#2C#3G#3,0.16
48.51,A#2C#3,0.31
48.83,A#2C#3,0.16
48.98,A2C#3C4E3,0.31
49.30,A#3A2C#3D#3,0.16
49.45,A2C#3G#3,0.31
49.77,A2C#3G#3,0.16
49.93,A2C#3C3G#3,0.31
50.24,A2C3,0.16
50.40,A2C3F#3,0.31
50.71,A2C3F3,0.16
50.87,A2C3,0.31
51.18,A2C3E3,0.16
51.34,A2C3F#3,0.31
51.65,A2C3F3,0.16
51.81,A2C3,0.31
52.12,A2C3E3,0.16
52.28,A2C3F#3,0.31
52.59,A2C3F3,0.16
52.75,A#2C#3,0.31
53.07,A#2C#3E3,0.16
53.22,A#2C#3G#3,0.31
53.54,A#2C#3,0.16
53.69,A2A3C3D3,0.31
54.01,A2C3,0.16
54.16,A2C3,0.16
54.32,C#3G#3,0.16
54.48,A2C#3C3G#3,0.16
54.64,A2A3C3D3,0.31
54.95,A2C#3C3G#3,0.16
55.11,A2C3,0.16
55.26,C#3G#3,0.16
55.42,A2C#3C3G#3,0.16
55.58,A#2A3C#3D3,0.31
55.89,A#2C#3G#3,0.16
56.05,A#2C#3,0.31
56.36,A#2C#3,0.16
56.52,A2C#3C4E3,0.31
56.83,A#3A2C#3D#3,0.16
56.99,A2C#3G#3,0.31
57.30,A2C#3G#3,0.16
57.46,A2C3,0.31
57.78,A2B2C3F#3,0.16
57.93,A2C#3C3G#3,0.31
58.25,A2C3,0.16
58.40,A2C#3C3G#3,0.31
58.72,A2C3,0.16
58.88,A2C#3C3G#3,0.31
59.19,A2C3,0.16
59.35,A2C#3C3G#3,0.31
59.66,A2C3,0.16
59.82,A2C3,0.16
59.97,C#3G#3,0.16
60.13,A2B2C3F#3,0.16
60.29,A#2C#3G#3,0.31
60.60,A#2B2C#3F#3,0.16
60.76,A#2A3C#3D3,0.31
61.07,A#2A3C#3D3,0.16
61.23,A2A3C3D3,0.31
61.54,A2C3,0.16
61.70,A2C3,0.16
61.86,C#3G#3,0.16
62.02,A2C#3C3G#3,0.16
62.17,A2A3C3D3,0.31
62.49,A2C#3C3G#3,0.16
62.64,A2C3,0.16
62.80,C#3G#3,0.16
62.96,A2C#3C3G#3,0.16
63.11,A#2A3C#3D3,0.31
63.43,A#2C#3G#3,0.16
63.59,A#2C#3,0.31
63.90,A#2C#3,0.16
64.06,A2C#3C4E3,0.31
64.37,A#3A2C#3D#3,0.16
64.53,A2C#3G#3,0.31
64.84,A2C#3G#3,0.16
65.00,A2C#3C3G#3,0.31
65.31,A2C3,0.16
65.47,A2C3F#3,0.31
65.78,A2C3F3,0.16
65.94,A2C3,0.31
66.25,A2C3E3,0.16
66.41,A2C3F#3,0.31
66.72,A2C3F3,0.16
66.88,A2C3,0.31
67.20,A2C3E3,0.16
67.35,A2C3F#3,0.31
67.67,A2C3F3,0.16
67.82,A#2C#3,0.31
68.14,A#2C#3E3,0.16
68.30,A#2C#3E3,0.31
68.61,A#2C#3,0.16
68.77,A2A3C3,0.16
68.92,A3,0.16
69.08,A2A3C3,0.16
69.24,A2C3G#3,0.16
69.39,G#3,0.16
69.55,A2C3G#3,0.16
69.71,A2C3F#3,0.16
69.86,F#3,0.16
70.02,A2C3F#3,0.16
70.18,A2C3G#3,0.31
70.49,A2C3,0.16
70.65,A#2C#3F#3,0.16
70.81,F#3,0.16
70.96,A#2F#3,0.16
71.12,A#2C#3G#3,0.31
71.44,A#2C#3,0.16
71.59,A2C#3E3,0.31
71.91,A2C#3D#3,0.16
72.06,A2C#3,0.31
72.38,A2C#3E3,0.16
72.53,A2A3C3,0.16
72.69,A3,0.16
72.85,A2A3C3,0.16
73.00,A2C3G#3,0.16
73.16,G#3,0.16
73.32,A2C3G#3,0.16
73.48,A2C3F#3,0.16
73.63,F#3,0.16
73.79,A2C3F#3,0.16
73.95,A2C3G#3,0.31
74.26,A2C3,0.16
74.42,A2C3F#3,0.16
74.58,F#3,0.16
74.73,A2C3F#3,0.16
74.89,A2C3G#3,0.31
75.20,A2C3,0.16
75.36,A#2C#3,0.31
75.67,A#2C#3,0.16
75.83,A#2C#3G#3,0.31
