# all time low
# Converted from SkyStudio format
# BPM: 360
# Total chords: 183

Time,Keys,Duration
0.00,A2C3D3E3,1.00
1.00,A#2C#3D#3F3,0.33
1.33,E3,0.17
1.49,G#3,0.17
1.66,A2C3D3E3,1.16
2.82,A#2C#3D#3F3,0.33
3.15,E3,0.17
3.32,G#3,0.17
3.49,A2B2D3,0.17
3.65,E3,0.33
3.98,E3,0.33
4.32,F3,0.33
4.65,F3,0.17
4.81,A2B2C#3,0.17
4.98,E3,0.33
5.31,F3,0.33
5.64,F#3,0.33
5.98,E3,0.17
6.14,A2C3D#3D3,0.17
6.31,D3,0.50
6.81,D3,0.66
7.47,E3,0.17
7.64,A#2C#3D#3F3,0.17
7.80,E3,0.33
8.13,G#3,0.17
8.30,A2B2D3,0.17
8.47,E3,0.33
8.80,E3,0.33
9.13,F3,0.33
9.46,F3,0.17
9.63,A2B2C#3,0.17
9.79,F3,0.33
10.13,E3,0.17
10.29,E3,0.33
10.62,A2C3D3E3,1.16
11.79,A#2C#3D#3F3,0.33
12.12,E3,0.17
12.28,G#3,0.17
12.45,A2B2D3,0.17
12.62,E3,0.33
12.95,E3,0.33
13.28,F3,0.33
13.61,F3,0.17
13.78,A2B2C#3,0.17
13.94,E3,0.33
14.28,F3,0.33
14.61,F#3,0.33
14.94,E3,0.17
15.11,A2C3D#3D3,0.17
15.27,D3,0.50
15.77,D3,0.50
16.27,A2C3D#3F3,0.17
16.43,E3,0.33
16.77,G#3,0.17
16.93,A2B2D3,0.17
17.10,E3,0.33
17.43,E3,0.33
17.76,F3,0.33
18.09,F3,0.17
18.26,A2B2C#3,0.17
18.43,F3,0.33
18.76,F3,0.33
19.09,E3,0.17
19.26,E3,0.33
19.59,A2A3C3D3,1.16
20.75,A2A3B2D3,0.17
20.92,A3,0.33
21.25,A3,0.17
21.41,A2B2D3,0.17
21.58,A3,0.17
21.75,G#3,0.17
21.91,G#3,0.33
22.24,G#3,0.33
22.58,F#3,0.17
22.74,A2B2C#3,0.17
22.91,F3,0.17
23.07,F3,0.33
23.41,F3,0.33
23.74,F3,0.17
23.90,A2C3D3,0.17
24.07,D3,0.83
24.90,A#2C#3D#3F#3,0.17
25.07,F3,0.33
25.40,F3,0.17
25.56,A2C3D3,0.17
25.73,D3,1.16
26.89,A2A3C3D3,1.00
27.89,A#2A3C#3D#3,0.33
28.22,A3,0.17
28.39,A3,0.17
28.55,A2B2D3,0.17
28.72,A3,0.17
28.88,A3,0.33
29.22,F#3,0.17
29.38,F#3,0.17
29.55,A2B2C#3D#3,0.17
29.71,F3,0.17
29.88,F3,0.17
30.05,B2C#3D#3,0.17
30.21,F3,0.33
30.54,F3,0.17
30.71,A2C3D3,0.17
30.88,D3,0.50
31.37,A#2C#3D#3,0.33
31.71,C#3,0.33
32.04,A2C3D3G3,0.33
32.37,F#3,0.33
32.70,F3,0.33
33.03,A2B2C#3E3,0.33
33.37,A3,0.17
33.53,D#3,0.66
34.20,A2C3D3,0.33
34.53,D3,0.33
34.86,A2C3D3,0.17
35.03,C#3,0.17
35.19,D3,0.33
35.52,A2C3D3,0.33
35.86,D3,0.33
36.19,A#2C#3D#3,0.33
36.52,D#3,0.33
36.85,A2B2D3E3,0.33
37.18,E3,0.33
37.52,A2B2D3E3,0.17
37.68,D#3,0.17
37.85,E3,0.33
38.18,A2B2C#3G#3,0.33
38.51,G#3,0.33
38.84,B2C#3D#3,0.33
39.18,D#3,0.33
39.51,A2C3D3,0.33
39.84,D3,0.33
40.17,A2C3D3,0.17
40.34,C#3,0.17
40.50,D3,0.33
40.84,A2C3D3,0.33
41.17,D3,0.33
41.50,A#2C#3D#3,0.33
41.83,D#3,0.33
42.16,A2B2D3E3,0.33
42.50,E3,0.33
42.83,A2B2D3E3,0.17
42.99,D#3,0.17
43.16,E3,0.33
43.49,A2B2C#3G#3,0.33
43.82,G#3,0.33
44.16,B2C#3D#3,0.33
44.49,D#3,0.33
44.82,A2C3D3,0.33
45.15,D3,0.33
45.48,A2C3D3,0.17
45.65,C#3,0.17
45.82,D3,0.33
46.15,A2C3D3,0.33
46.48,D3,0.33
46.81,A#2C#3D#3,0.33
47.14,D#3,0.33
47.48,A2B2D3E3,0.33
47.81,E3,0.33
48.14,A2B2D3E3,0.17
48.31,D#3,0.17
48.47,E3,0.33
48.80,A2B2C#3G#3,0.33
49.14,G#3,0.33
49.47,B2C#3D#3,0.33
49.80,D#3,0.33
50.13,A2C3D3,0.33
50.46,D3,0.33
50.80,A2C3D3,0.17
50.96,C#3,0.17
51.13,D3,0.33
51.46,A2C3D3,0.33
51.79,D3,0.33
52.12,A#2C#3D#3,0.33
52.46,D#3,0.33
52.79,A2B2D3E3,0.33
53.12,E3,0.33
53.45,A2B2D3E3,0.17
53.62,D#3,0.17
53.78,E3,0.33
54.12,A2B2C#3G#3,0.33
54.45,G#3,0.33
54.78,B2C#3D#3,0.33
55.11,D#3,0.50
