# because of you
# Converted from SkyStudio format
# BPM: 570
# Total chords: 633

Time,Keys,Duration
0.84,F#3,0.42
1.26,F3,0.21
1.47,E3,0.21
1.68,A2,0.42
2.10,B2,0.21
2.31,D3,0.21
2.52,E3,0.21
2.73,F3,0.21
2.94,F#3,0.42
3.36,A2,0.42
3.78,B2,0.21
3.99,D3,0.21
4.20,D#3E3,0.21
4.41,E3F3,0.21
4.62,F#3,0.42
5.04,C3D3,0.42
5.46,A2,0.21
5.67,C3,0.21
5.88,E3,0.42
6.30,E3,0.21
6.51,E3,0.21
6.72,C#3E3,0.42
7.14,A#2D#3,0.42
7.56,C#3,1.68
9.24,F#3,0.21
9.45,G3,0.21
9.66,G#3,0.42
10.08,D3E3,0.42
10.50,B2,0.21
10.71,D3,0.21
10.92,F#3,0.42
11.34,B2,0.21
11.55,E3,0.21
11.76,C3D3,0.42
12.18,A2D3,0.21
12.39,C3,0.21
12.60,C#3E3,0.42
13.02,C#3C3,0.21
13.23,E3,0.21
13.44,B2F3,0.42
13.86,A#2,2.10
15.96,A2,0.21
16.17,C#3,0.21
16.38,D#3,0.21
16.59,E3,0.21
16.80,A2B2C#3,0.42
17.22,B2,0.42
17.64,A2B2C#3,0.42
18.06,A2C#3,0.21
18.27,E3,0.21
18.48,B2C#3D#3,0.84
19.32,B2C#3D#3,0.42
19.74,A#2,0.21
19.95,B2,0.21
20.16,B2D#3D3E3,0.42
20.58,A#2,0.21
20.79,B2,0.21
21.00,A2B2D#3D3,0.42
21.42,A#2,0.21
21.63,B2,0.21
21.84,A2B2D3,0.21
22.05,A#2,0.42
22.47,E3,0.21
22.68,A#2B2C#3D#3,0.21
22.89,C#3,0.21
23.10,A#2,0.21
23.31,D#3,0.21
23.52,A2B2C#3E3,0.84
24.36,B2C#3E3,0.42
24.78,A2C#3,0.42
25.20,A2B2C#3,0.42
25.62,A#2,0.42
26.04,A#2A2B2C#3,0.42
26.46,C#3,0.21
26.67,B2,0.21
26.88,B2D#3D3E3,0.42
27.30,A#2,0.21
27.51,B2,0.21
27.72,B2D#3D3E3,0.21
27.93,A#2,0.21
28.14,B2,0.42
28.56,A2B2D3,0.21
28.77,A#2,0.21
28.98,A#2,0.63
29.61,A#2,0.21
29.82,C#3,0.21
30.03,D#3,0.21
30.24,B2C#3E3,0.42
30.66,E3,0.42
31.08,B2C#3D#3E3,0.42
31.50,C#3D3,0.21
31.71,E3,0.21
31.92,B2C#3D#3,0.84
32.76,B2C#3D#3,0.42
33.18,A#2C#3,0.21
33.39,B2,0.21
33.60,B2D#3D3E3,0.42
34.02,A#2,0.21
34.23,B2,0.21
34.44,A2B2D#3D3,0.42
34.86,A#2,0.21
35.07,B2,0.21
35.28,A2B2D3,0.21
35.49,C3,0.63
36.12,A#2B2C#3D#3,0.42
36.54,C#3,0.21
36.75,D#3,0.21
36.96,B2C#3E3,0.42
37.38,E3,0.42
37.80,A2B2C#3E3,0.42
38.22,C#3E3,0.21
38.43,F3,0.21
38.64,A2B2C#3,0.21
38.85,E3,0.21
39.06,E3,0.42
39.48,A2B2C#3,0.42
39.90,C#3,0.21
40.11,B2E3,0.21
40.32,A2B2D3E3,0.21
40.53,F3,0.21
40.74,B2F3,0.21
40.95,F3,0.21
41.16,A2B2D3F3,0.21
41.37,E3,0.21
41.58,B2,0.21
41.79,F3,0.21
42.00,A#2,0.84
42.84,C#3F3,0.42
43.26,A#2,0.42
43.68,A#2C#3E3,0.42
44.10,F#3,0.42
44.52,A#2C#3D#3F3,0.21
44.73,E3,0.21
44.94,E3,0.42
45.36,B2D3E3,0.42
45.78,E3,0.42
46.20,B2D3E3,0.21
46.41,E3,0.21
46.62,B2E3,0.42
47.04,A2B2C3,0.42
47.46,E3,0.42
47.88,A2B2C3E3,0.42
48.30,C3E3,0.21
48.51,E3,0.21
48.72,A#2C#3E3,0.21
48.93,D#3,0.21
49.14,C#3,0.21
49.35,A#2,0.21
49.56,A#2C#3D#3,0.42
49.98,C#3,0.21
50.19,A#2,0.21
50.40,A#2C#3D#3E3,0.42
50.82,F#3,0.42
51.24,A#2C#3D#3F3,0.21
51.45,E3,0.21
51.66,E3,0.42
52.08,B2D3E3,0.21
52.29,D3,0.21
52.50,E3,0.21
52.71,D3,0.21
52.92,B2D3E3,0.42
53.34,B2E3,0.21
53.55,D3,0.21
53.76,A2B2C3E3,0.42
54.18,E3,0.42
54.60,A2B2C3E3,0.21
54.81,F3,0.21
55.02,C3,0.21
55.23,E3,0.21
55.44,A#2C#3,0.21
55.65,D#3,0.42
56.07,D#3,0.63
56.70,A#2C#3D#3,0.42
57.12,B2C#3,0.42
57.54,F#3,0.42
57.96,B2C#3F3,0.21
58.17,E3,0.21
58.38,E3,0.42
58.80,A#2D3E3,0.21
59.01,D3,0.21
59.22,E3,0.21
59.43,D3,0.21
59.64,A#2D3E3,0.42
60.06,A#2D3,0.21
60.27,E3,0.21
60.48,B2C#3E3,0.21
60.69,E3,0.42
61.11,E3,0.21
61.32,B2C#3E3,0.21
61.53,E3,0.21
61.74,B2,0.21
61.95,F3,0.21
62.16,A#2C#3,0.21
62.37,E3,0.21
62.58,F3,0.21
62.79,E3,0.21
63.00,F3,0.42
63.42,A#2C#3E3,0.21
63.63,F#3,0.21
63.84,B2C#3,0.21
64.05,F3,0.42
64.47,E3,0.21
64.68,B2C#3F3,0.42
65.10,E3,0.21
65.31,F#3,0.21
65.52,B2C3D3,0.21
