# chopsticks duet high pitch
# Converted from SkyStudio format
# BPM: 350
# Total chords: 306

Time,Keys,Duration
0.68,C#3C3,0.34
1.03,C#3C3,0.34
1.37,C#3C3,0.34
1.71,C#3C3,0.34
2.05,C#3C3,0.34
2.39,C#3C3,0.34
2.74,B2C#3,0.34
3.08,B2C#3,0.34
3.42,B2C#3,0.34
3.76,B2C#3,0.34
4.10,B2C#3,0.34
4.45,B2C#3,0.34
4.79,A#2D#3,0.34
5.13,A#2D#3,0.34
5.47,A#2D#3,0.34
5.81,A#2D#3,0.34
6.16,B2D3,0.34
6.50,A#2D#3,0.34
6.84,A2E3,0.34
7.18,A2E3,0.34
7.52,A2E3,0.34
7.87,A2E3,0.34
8.21,A#2D#3,0.34
8.55,B2D3,0.34
8.89,C#3C3,0.34
9.23,C#3C3,0.34
9.58,C#3C3,0.34
9.92,C#3C3,0.34
10.26,C#3C3,0.34
10.60,C#3C3,0.34
10.94,B2C#3,0.34
11.29,B2C#3,0.34
11.63,B2C#3,0.34
11.97,B2C#3,0.34
12.31,B2C#3,0.34
12.65,B2C#3,0.34
13.00,A#2D#3,0.34
13.34,A#2D#3,0.34
13.68,A#2D#3,0.34
14.02,A#2D#3,1.37
15.39,C#3C3,0.34
15.73,C#3C3,0.34
16.07,C#3C3,0.34
16.42,C#3C3,0.34
16.76,C#3C3,0.34
17.10,C#3C3,0.34
17.44,B2C#3,0.34
17.78,B2C#3,0.34
18.13,B2C#3,0.34
18.47,B2C#3,0.34
18.81,B2C#3,0.34
19.15,B2C#3,0.34
19.49,A#2D#3,0.34
19.84,A#2D#3,0.34
20.18,A#2D#3,0.34
20.52,A#2D#3,0.34
20.86,B2D3,0.34
21.20,A#2D#3,0.34
21.55,A2E3,0.34
21.89,A2E3,0.34
22.23,A2E3,0.34
22.57,A2E3,0.34
22.91,A#2D#3,0.34
23.26,B2D3,0.34
23.60,C#3C3,0.34
23.94,C#3C3,0.34
24.28,C#3C3,0.34
24.62,C#3C3,0.34
24.97,C#3C3,0.34
25.31,C#3C3,0.34
25.65,B2C#3,0.34
25.99,B2C#3,0.34
26.33,B2C#3,0.34
26.68,B2C#3,0.34
27.02,B2C#3,0.34
27.36,B2C#3,0.34
27.70,A#2D#3,0.34
28.04,A#2D#3,0.34
28.39,A#2D#3,0.34
28.73,A#2D#3,0.34
29.07,A#2D#3,0.34
29.41,A#2D#3,0.34
29.75,E3,0.34
30.10,C#3,0.34
30.44,B2,0.34
30.78,A2,0.68
31.46,E3F#3,0.34
31.81,D#3F3,0.68
32.49,D3E3,0.34
32.83,C#3D#3,0.68
33.52,C3D3,0.34
33.86,B2C#3,0.68
34.54,E3F#3,0.34
34.88,E3F#3,0.68
35.57,B2C#3,0.34
35.91,A#2C3,0.68
36.59,D#3F3,0.34
36.94,D#3F3,0.68
37.62,A#2C3,0.34
37.96,A2B2,0.68
38.65,D3E3,0.34
38.99,D3E3,0.68
39.67,E3F#3,0.34
40.01,D#3F3,0.68
40.70,D3E3,0.34
41.04,C#3D#3,0.68
41.72,C3D3,0.34
42.07,B2C#3,0.68
42.75,E3F#3,0.34
43.09,E3F#3,0.68
43.78,B2C#3,0.34
44.12,A#2C3,0.68
44.80,D#3F3,0.34
45.14,D#3F3,0.68
45.83,D#3,0.34
46.17,A2E3,0.34
46.51,C#3,0.34
46.85,B2,0.34
47.20,A2,1.03
48.22,C3,0.17
48.39,C#3,0.17
48.56,C3,0.17
48.73,C#3,0.17
48.91,C3,0.17
49.08,C#3,0.17
49.25,C3,0.17
49.42,C#3,0.17
49.59,C3,0.17
49.76,C#3,0.17
49.93,C3,0.17
50.10,C#3,0.17
50.27,B2,0.17
50.45,C#3,0.17
50.62,B2,0.17
50.79,C#3,0.17
50.96,B2,0.17
51.13,C#3,0.17
51.30,B2,0.17
51.47,C#3,0.17
51.64,B2,0.17
51.81,C#3,0.17
51.98,B2,0.17
52.16,C#3,0.17
52.33,A#2,0.17
52.50,D#3,0.17
52.67,A#2,0.17
52.84,D#3,0.17
53.01,A#2,0.17
53.18,D#3,0.17
53.35,A#2,0.17
53.52,D#3,0.17
53.69,A#2,0.17
53.87,D#3,0.17
54.04,A#2,0.17
54.21,D#3,0.17
54.38,A2,0.17
54.55,E3,0.17
54.72,A2,0.17
54.89,E3,0.17
55.06,A2,0.17
55.23,E3,0.17
55.40,A2,0.17
55.58,E3,0.17
55.75,A#2,0.17
55.92,E3,0.17
56.09,B2,0.17
56.26,E3,0.17
56.43,C3,0.17
56.60,C#3,0.17
56.77,C3,0.17
56.94,C#3,0.17
57.11,C3,0.17
57.28,C#3,0.17
57.46,C3,0.17
57.63,C#3,0.17
57.80,C3,0.17
57.97,C#3,0.17
58.14,C3,0.17
58.31,C#3,0.17
58.48,B2,0.17
58.65,C#3,0.17
58.82,B2,0.17
58.99,C#3,0.17
59.17,B2,0.17
59.34,C#3,0.17
59.51,B2,0.17
59.68,C#3,0.17
59.85,B2,0.17
60.02,C#3,0.17
60.19,B2,0.17
60.36,C#3,0.17
60.53,A#2,0.17
60.70,D#3,0.17
60.88,A#2,0.17
61.05,D#3,0.17
61.22,A#2,0.17
61.39,D#3,0.17
61.56,A#2,0.17
61.73,D#3,0.17
61.90,A#2,0.17
62.07,D#3,0.17
62.24,A#2,0.17
62.41,D#3,0.17
62.59,E3,0.34
62.93,C#3,0.34
63.27,B2,0.34
63.61,A2,0.68
64.30,E3F#3,0.34
64.64,D#3F3,0.68
65.32,D3E3,0.34
65.66,C#3D#3,0.68
66.35,C3D3,0.34
66.69,B2C#3,0.17
66.86,C#3,0.17
67.03,D3,0.17
67.20,D#3,0.17
67.37,E3,0.17
67.55,F3,0.17
67.72,F#3G#3,0.68
68.40,B2C#3,0.34
68.74,A#2C3,0.17
68.91,C3,0.17
69.08,C#3,0.17
69.25,D3,0.17
69.43,D#3,0.17
69.60,E3,0.17
69.77,F3G3,0.68
70.45,A#2C3,0.34
70.79,A2B2,0.17
70.97,B2,0.17
71.14,C3,0.17
71.31,C#3,0.17
71.48,D3,0.17
71.65,D#3,0.17
71.82,E3F#3,0.68
72.50,E3F#3,0.34
72.85,D#3F3,0.68
73.53,D3E3,0.34
73.87,C#3D#3,0.68
74.56,C3D3,0.34
74.90,B2C#3,0.17
75.07,C#3,0.17
75.24,D3,0.17
75.41,D#3,0.17
75.58,E3,0.17
75.75,F3,0.17
75.92,F#3G#3,0.68
76.61,B2C#3,0.34
76.95,A#2C3,0.17
77.12,C3,0.17
77.29,C#3,0.17
77.46,D3,0.17
77.63,D#3,0.17
77.81,E3,0.17
77.98,F3G3,0.68
78.66,D#3,0.34
79.00,E3,0.34
79.34,C#3,0.34
79.69,B2,0.34
80.03,A2,1.03
81.05,A#2C#3C3,0.34
81.40,A#2C#3C3,0.34
81.74,A#2C#3C3,0.34
82.08,A#2C#3C3,0.34
82.42,A#2C#3C3,0.34
82.76,A#2C#3C3,0.34
83.11,A2B2C#3,0.34
83.45,A2B2C#3,0.34
83.79,A2B2C#3,0.34
84.13,A2B2C#3,0.34
84.47,A2B2C#3,0.34
84.82,A2B2C#3,0.34
85.16,A#2C#3C3D#3,0.34
85.50,A#2C#3C3D#3,0.34
85.84,A#2C#3C3D#3,0.34
86.18,A#2C#3C3D#3,0.34
86.53,A#2C#3C3D3,0.34
86.87,A#2C#3C3D#3,0.34
87.21,A2B2C#3E3,0.34
87.55,A2B2C#3E3,0.34
87.89,A2B2C#3E3,0.34
88.24,A2B2C#3E3,0.34
88.58,A2B2C#3D#3,0.34
88.92,A2B2C#3D3,0.34
89.26,A#2C#3C3,0.34
89.60,A#2C#3C3,0.34
89.95,A#2C#3C3,0.34
90.29,A#2C#3C3,0.34
90.63,A#2C#3C3,0.34
90.97,A#2C#3C3,0.34
91.31,A2B2C#3,0.34
91.66,A2B2C#3,0.34
92.00,A2B2C#3,0.34
92.34,A2B2C#3,0.34
92.68,A2B2C#3,0.34
93.02,A2B2C#3,0.34
93.37,A#2C#3C3D#3,0.34
93.71,A#2C#3C3D#3,0.34
94.05,A#2C#3C3D#3,0.34
94.39,A#2C#3C3D#3,0.34
94.73,A#2C#3C3D#3,0.34
95.08,A#2C#3C3D#3,0.34
95.42,A2B2C#3E3,0.34
95.76,B2,0.34
96.10,A2B2C#3,0.34
96.44,A2B2C#3E3,0.50
