# chopsticks duet low pitch
# Converted from SkyStudio format
# BPM: 350
# Total chords: 230

Time,Keys,Duration
15.39,p,0.34
15.73,jlnp,0.34
16.07,jlnp,0.34
16.42,p,0.34
16.76,jlnp,0.34
17.10,jlnp,0.34
17.44,y,0.34
17.78,;kp,0.34
18.13,;kp,0.34
18.47,y,0.34
18.81,;kp,0.34
19.15,;kp,0.34
19.49,p,0.34
19.84,jlnp,0.34
20.18,jlnp,0.34
20.52,p,0.34
20.86,jlnp,0.34
21.20,jlnp,0.34
21.55,y,0.34
21.89,;kp,0.34
22.23,;kp,0.34
22.57,y,0.34
22.91,;kp,0.34
23.26,;kp,0.34
23.60,p,0.34
23.94,jlnp,0.34
24.28,jlnp,0.34
24.62,p,0.34
24.97,jlnp,0.34
25.31,jlnp,0.34
25.65,y,0.34
25.99,;kp,0.34
26.33,;kp,0.34
26.68,y,0.34
27.02,;kp,0.34
27.36,;kp,0.34
27.70,p,0.34
28.04,jlnp,0.34
28.39,jlnp,0.34
28.73,p,0.34
29.07,jlnp,0.34
29.41,jlnp,0.34
29.75,y,0.34
30.10,;kp,0.34
30.44,;kp,0.34
30.78,y,1.03
31.81,p,0.34
32.15,jlnp,0.34
32.49,jlnp,0.34
32.83,p,0.34
33.17,jlnp,0.34
33.52,jlnp,0.34
33.86,y,0.34
34.20,;kp,0.34
34.54,;kp,0.34
34.88,y,0.34
35.23,;kp,0.34
35.57,;kp,0.34
35.91,p,0.34
36.25,jlnp,0.34
36.59,jlnp,0.34
36.94,p,0.34
37.28,jlnp,0.34
37.62,jlnp,0.34
37.96,y,0.34
38.30,;kp,0.34
38.65,;kp,0.34
38.99,y,0.34
39.33,;kp,0.34
39.67,;kp,0.34
40.01,p,0.34
40.36,jlnp,0.34
40.70,jlnp,0.34
41.04,p,0.34
41.38,jlnp,0.34
41.72,jlnp,0.34
42.07,y,0.34
42.41,;kp,0.34
42.75,;kp,0.34
43.09,y,0.34
43.43,;kp,0.34
43.78,;kp,0.34
44.12,p,0.34
44.46,jlnp,0.34
44.80,jlnp,0.34
45.14,p,0.34
45.49,jlnp,0.34
45.83,jlnp,0.34
46.17,y,0.34
46.51,;kp,0.34
46.85,;kp,0.34
47.20,y,1.03
48.22,p,0.34
48.56,jlnp,0.34
48.91,jlnp,0.34
49.25,p,0.34
49.59,jlnp,0.34
49.93,jlnp,0.34
50.27,y,0.34
50.62,;kp,0.34
50.96,;kp,0.34
51.30,y,0.34
51.64,;kp,0.34
51.98,;kp,0.34
52.33,p,0.34
52.67,jlnp,0.34
53.01,jlnp,0.34
53.35,p,0.34
53.69,jlnp,0.34
54.04,jlnp,0.34
54.38,y,0.34
54.72,;kp,0.34
55.06,;kp,0.34
55.40,y,0.34
55.75,;kp,0.34
56.09,;kp,0.34
56.43,p,0.34
56.77,jlnp,0.34
57.11,jlnp,0.34
57.46,p,0.34
57.80,jlnp,0.34
58.14,jlnp,0.34
58.48,y,0.34
58.82,;kp,0.34
59.17,;kp,0.34
59.51,y,0.34
59.85,;kp,0.34
60.19,;kp,0.34
60.53,p,0.34
60.88,jlnp,0.34
61.22,jlnp,0.34
61.56,p,0.34
61.90,jlnp,0.34
62.24,jlnp,0.34
62.59,y,0.34
62.93,;kp,0.34
63.27,;kp,0.34
63.61,y,1.03
64.64,p,0.34
64.98,jlnp,0.34
65.32,jlnp,0.34
65.66,p,0.34
66.01,jlnp,0.34
66.35,jlnp,0.34
66.69,y,0.34
67.03,;kp,0.34
67.37,;kp,0.34
67.72,y,0.34
68.06,;kp,0.34
68.40,;kp,0.34
68.74,p,0.34
69.08,jlnp,0.34
69.43,jlnp,0.34
69.77,p,0.34
70.11,jlnp,0.34
70.45,jlnp,0.34
70.79,y,0.34
71.14,;kp,0.34
71.48,;kp,0.34
71.82,y,0.34
72.16,;kp,0.34
72.50,;kp,0.34
72.85,p,0.34
73.19,jlnp,0.34
73.53,jlnp,0.34
73.87,p,0.34
74.21,jlnp,0.34
74.56,jlnp,0.34
74.90,y,0.34
75.24,;kp,0.34
75.58,;kp,0.34
75.92,y,0.34
76.27,;kp,0.34
76.61,;kp,0.34
76.95,p,0.34
77.29,jlnp,0.34
77.63,jlnp,0.34
77.98,p,0.34
78.32,jlnp,0.34
78.66,jlnp,0.34
79.00,y,0.34
79.34,;kp,0.34
79.69,;kp,0.34
80.03,y,1.03
81.05,p,0.34
81.40,.lmn,0.34
81.74,.lmn,0.34
82.08,p,0.34
82.42,.lmn,0.34
82.76,.lmn,0.34
83.11,y,0.34
83.45,/;m,0.34
83.79,/;m,0.34
84.13,y,0.34
84.47,/;m,0.34
84.82,/;m,0.34
85.16,p,0.34
85.50,.lmn,0.34
85.84,.lmn,0.34
86.18,p,0.34
86.53,.lmn,0.34
86.87,.lmn,0.34
87.21,y,0.34
87.55,/;m,0.34
87.89,/;m,0.34
88.24,i,0.34
88.58,/;m,0.34
88.92,/;m,0.34
89.26,p,0.34
89.60,.lmn,0.34
89.95,.lmn,0.34
90.29,l,0.34
90.63,.lmn,0.34
90.97,.lmn,0.34
91.31,k,0.34
91.66,/;m,0.34
92.00,/;m,0.34
92.34,p,0.34
92.68,/;m,0.34
93.02,/;m,0.34
93.37,u,0.34
93.71,.lmn,0.34
94.05,.lmn,0.34
94.39,mp,0.34
94.73,.lmn,0.34
95.08,.lmn,0.34
95.42,ky,0.34
95.76,;i,0.34
96.10,mp,0.34
96.44,/k,0.50
