# gosling
# Converted from SkyStudio format
# BPM: 240
# Total chords: 264

Time,Keys,Duration
0.00,u,1.00
1.00,h,0.50
1.50,u,1.00
2.50,h,0.50
3.00,u,0.50
3.50,p,0.50
4.00,u,1.00
5.00,h,0.50
5.50,u,1.00
6.50,h,0.50
7.00,u,0.50
7.50,p,0.50
8.00,u,1.00
9.00,h,0.50
9.50,u,1.00
10.50,h,0.50
11.00,u,0.50
11.50,p,0.50
12.00,u,1.00
13.00,h,0.50
13.50,u,1.00
14.50,h,0.50
15.00,u,0.50
15.50,p,0.50
16.00,h,0.50
16.50,k,0.50
17.00,l,0.25
17.25,;,0.25
17.50,l,1.00
18.50,k,0.50
19.00,l,0.50
19.50,h,0.50
20.00,h,0.50
20.50,k,0.50
21.00,l,0.25
21.25,;,0.25
21.50,l,1.00
22.50,k,0.50
23.00,l,1.00
24.00,h,0.50
24.50,k,0.50
25.00,l,0.25
25.25,;,0.25
25.50,l,1.00
26.50,k,0.50
27.00,l,0.50
27.50,h,0.50
28.00,h,0.50
28.50,k,0.50
29.00,l,0.25
29.25,;,0.25
29.50,l,1.75
31.25,l,0.25
31.50,l,0.25
31.75,k,0.25
32.00,l,0.50
32.50,k,0.50
33.00,h,0.50
33.50,l,0.25
33.75,k,0.25
34.00,l,0.50
34.50,k,0.50
35.00,h,0.50
35.50,h,0.50
36.00,l,0.25
36.25,;,0.25
36.50,l,0.25
36.75,k,0.25
37.00,l,0.25
37.25,;,0.25
37.50,l,0.25
37.75,k,0.25
38.00,l,0.50
38.50,k,0.50
39.00,h,0.50
39.50,h,0.50
40.00,l,0.25
40.25,;,0.25
40.50,l,0.25
40.75,k,0.25
41.00,l,0.25
41.25,;,0.25
41.50,l,0.25
41.75,k,0.25
42.00,l,0.50
42.50,k,0.50
43.00,h,0.50
43.50,h,0.50
44.00,l,0.25
44.25,;,0.25
44.50,l,0.25
44.75,k,0.25
45.00,l,0.25
45.25,;,0.25
45.50,l,0.25
45.75,k,0.25
46.00,l,0.50
46.50,k,0.50
47.00,j,0.50
47.50,h,0.50
48.00,l,0.25
48.25,;,0.25
48.50,l,0.25
48.75,k,0.25
49.00,l,0.25
49.25,;,0.25
49.50,l,0.25
49.75,k,0.25
50.00,l,0.50
50.50,k,0.50
51.00,h,0.50
51.50,h,0.50
52.00,l,0.25
52.25,;,0.25
52.50,l,0.25
52.75,k,0.25
53.00,l,0.25
53.25,;,0.25
53.50,l,0.25
53.75,k,0.25
54.00,l,0.50
54.50,k,0.50
55.00,h,0.50
55.50,h,0.50
56.00,l,0.25
56.25,;,0.25
56.50,l,0.25
56.75,k,0.25
57.00,l,0.25
57.25,;,0.25
57.50,l,0.25
57.75,k,0.25
58.00,l,0.50
58.50,k,0.50
59.00,h,0.50
59.50,h,0.50
60.00,l,0.25
60.25,;,0.25
60.50,l,0.25
60.75,k,0.25
61.00,l,0.25
61.25,;,0.25
61.50,l,0.25
61.75,k,0.25
62.00,l,0.50
62.50,k,0.50
63.00,j,1.00
64.00,h,0.25
64.25,h,0.25
64.50,k,0.25
64.75,h,0.50
65.25,,,0.50
65.75,,,0.50
66.25,,,0.50
66.75,;,0.25
67.00,l,0.25
67.25,l,0.25
67.50,;,0.25
67.75,l,0.25
68.00,k,0.25
68.25,h,0.50
68.75,h,0.50
69.25,l,0.25
69.50,;,0.25
69.75,l,0.25
70.00,k,0.25
70.25,h,0.50
70.75,h,0.50
71.25,l,0.25
71.50,;,0.25
71.75,l,0.25
72.00,k,0.25
72.25,h,0.50
72.75,h,0.50
73.25,,,0.50
73.75,,,0.50
74.25,,,0.50
74.75,;,0.25
75.00,l,0.25
75.25,l,0.25
75.50,;,0.25
75.75,l,0.25
76.00,k,0.25
76.25,h,0.50
76.75,h,0.50
77.25,l,0.25
77.50,;,0.25
77.75,l,0.25
78.00,k,0.25
78.25,h,0.50
78.75,h,0.50
79.25,l,0.25
79.50,;,0.25
79.75,l,0.25
80.00,k,0.25
80.25,h,1.00
81.25,h,0.25
81.50,k,0.25
81.75,l,0.25
82.00,;,0.25
82.25,l,0.50
82.75,,,0.75
83.50,k,0.25
83.75,l,0.25
84.00,k,0.50
84.50,k,0.25
84.75,l,0.25
85.00,k,0.25
85.25,;,0.25
85.50,;,0.75
86.25,h,0.25
86.50,k,0.25
86.75,l,0.25
87.00,;,0.25
87.25,l,0.50
87.75,,,0.75
88.50,k,0.25
88.75,l,0.25
89.00,l,0.50
89.50,k,0.25
89.75,l,0.25
90.00,l,0.25
90.25,k,0.25
90.50,j,1.00
91.50,h,0.25
91.75,h,0.50
92.25,,,0.50
92.75,;,0.50
93.25,l,0.50
93.75,l,0.25
94.00,;,0.25
94.25,l,0.50
94.75,k,0.50
95.25,h,0.50
95.75,p,0.25
96.00,h,2.00
98.00,h,0.50
98.50,k,0.50
99.00,l,0.25
99.25,;,0.25
99.50,l,1.00
100.50,k,0.50
101.00,l,0.50
101.50,h,0.50
102.00,h,0.50
102.50,k,0.50
103.00,l,0.25
103.25,;,0.25
103.50,l,1.00
104.50,k,0.50
105.00,l,1.00
106.00,h,0.50
106.50,k,0.50
107.00,l,0.25
107.25,;,0.25
107.50,l,1.00
108.50,k,0.50
109.00,l,0.50
109.50,h,0.50
110.00,h,0.50
110.50,k,0.50
111.00,l,0.25
111.25,;,0.25
111.50,l,0.50
