# loser
# Converted from SkyStudio format
# BPM: 480
# Total chords: 254

Time,Keys,Duration
0.00,D3,0.25
0.25,F#3,0.25
0.50,D3,0.25
0.75,F#3,0.25
1.00,F3,0.12
1.12,E3,0.12
1.25,D3,0.25
1.50,E3,0.25
1.75,F3,0.25
2.00,D3,0.25
2.25,F#3,0.25
2.50,D3,0.25
2.75,F#3,0.25
3.00,F3,0.12
3.12,E3,0.12
3.25,D3,0.25
3.50,E3,0.25
3.75,F3,0.25
4.00,B2D3F#3,0.25
4.25,E3,0.12
4.38,E3,0.12
4.50,F3,0.25
4.75,E3,0.12
4.88,E3,0.12
5.00,F#3,0.25
5.25,B2D3E3,0.12
5.38,F3,0.25
5.62,B2D3E3,0.25
5.88,E3,0.12
6.00,A2C#3F#3,0.12
6.12,F#3,0.12
6.25,F#3,0.12
6.38,G3,0.12
6.50,F#3,0.12
6.62,F3,0.12
6.75,E3,0.12
6.88,C#3,0.25
7.12,C#3,0.12
7.25,A2C#3F3,0.25
7.50,E3,0.12
7.62,A2C#3,0.12
7.75,E3,0.12
7.88,E3,0.12
8.00,A#2D#3,0.12
8.12,E3,0.12
8.25,E3,0.12
8.38,E3,0.12
8.50,D#3,0.12
8.62,D#3,0.12
8.75,D#3,0.12
8.88,D#3,0.12
9.00,D3,0.25
9.25,A#2D3,0.12
9.38,D#3,0.25
9.62,A#2,0.12
9.75,E3,0.12
9.88,C#3,0.12
10.00,B2D3E3,0.25
10.25,F3,0.25
10.50,F#3,0.25
10.75,G3,0.25
11.00,F#3,0.25
11.25,B2D#3,0.38
11.62,B2D#3,0.38
12.00,B2D3F#3,0.25
12.25,E3,0.12
12.38,E3,0.12
12.50,F3,0.25
12.75,E3,0.12
12.88,E3,0.12
13.00,F#3,0.25
13.25,B2D3E3,0.12
13.38,F3,0.25
13.62,B2D3E3,0.25
13.88,E3,0.12
14.00,A2C#3F#3,0.12
14.12,F#3,0.12
14.25,F#3,0.12
14.38,G3,0.12
14.50,F#3,0.12
14.62,F3,0.12
14.75,E3,0.12
14.88,C#3,0.25
15.12,C#3,0.12
15.25,A2C#3F3,0.25
15.50,E3,0.12
15.62,A2C#3,0.12
15.75,E3,0.12
15.88,E3,0.12
16.00,A#2D#3,0.12
16.12,E3,0.12
16.25,E3,0.12
16.38,E3,0.12
16.50,D#3,0.12
16.62,D#3,0.12
16.75,D#3,0.12
16.88,D#3,0.12
17.00,D3,0.25
17.25,A#2D3,0.12
17.38,D#3,0.25
17.62,A#2,0.12
17.75,E3,0.12
17.88,C#3,0.12
18.00,B2D3E3,0.25
18.25,F3,0.25
18.50,F#3,0.25
18.75,G3,0.25
19.00,F#3,0.25
19.25,B2D#3,0.25
19.50,F3,0.12
19.62,B2D#3,0.12
19.75,E3,0.25
20.00,C3,0.50
20.50,C3D3,0.12
20.62,D3,0.12
20.75,D3,0.12
20.88,F3,0.12
21.00,C#3,0.25
21.25,E3,0.25
21.50,C#3D#3,0.25
21.75,E3,0.12
21.88,D#3,0.12
22.00,B2,0.12
22.12,D3,0.38
22.50,B2F#3,0.12
22.62,F#3,0.12
22.75,F#3,0.12
22.88,F#3,0.12
23.00,D3G3,0.25
23.25,F#3,0.25
23.50,D3F3,0.25
23.75,F#3,0.12
23.88,F3,0.12
24.00,A#2,0.12
24.12,E3,0.38
24.50,A#2E3,0.12
24.62,E3,0.12
24.75,E3,0.12
24.88,D#3,0.12
25.00,B2,0.12
25.12,E3,0.25
25.38,F3,0.12
25.50,B2,0.12
25.62,E3,0.25
25.88,E3,0.12
26.00,D3,0.12
26.12,F3,0.12
26.25,F#3,0.25
26.50,D3,0.50
27.00,D3,0.50
27.50,D3,0.50
28.00,C3,0.50
28.50,C3D3,0.12
28.62,D3,0.12
28.75,D3,0.12
28.88,F3,0.12
29.00,C#3,0.25
29.25,E3,0.25
29.50,C#3D#3,0.25
29.75,E3,0.12
29.88,D#3,0.12
30.00,B2,0.12
30.12,D3,0.38
30.50,B2F#3,0.12
30.62,F#3,0.12
30.75,F#3,0.12
30.88,G3,0.12
31.00,D3,0.25
31.25,F#3,0.25
31.50,D3F3,0.25
31.75,F#3,0.12
31.88,F3,0.12
32.00,A#2,0.12
32.12,E3,0.38
32.50,A#2E3,0.12
32.62,E3,0.12
32.75,E3,0.12
32.88,E3,0.12
33.00,B2F#3,0.25
33.25,F3,0.12
33.38,E3,0.12
33.50,B2F3,0.25
33.75,F#3,0.25
34.00,B2,0.50
34.50,B2,0.50
35.00,B2,0.25
35.25,B2,0.25
35.50,F#3,0.50
36.00,A3B2D3,0.25
36.25,C4,0.25
36.50,A#3B2D3,0.25
36.75,G#3,0.25
37.00,A3C3E3,0.25
37.25,C4,0.12
37.38,A#3,0.12
37.50,C3E3,0.12
37.62,G#3,0.25
37.88,G#3,0.12
38.00,A3C#3F3,0.25
38.25,C4,0.25
38.50,A#3C#3F3,0.25
38.75,G#3,0.25
39.00,A2A3C#3,0.25
39.25,G#3,0.12
39.38,G#3,0.12
39.50,A2C#3,0.50
40.00,A3B2D3,0.25
40.25,G#3,0.25
40.50,B2D3E3,0.25
40.75,A3,0.25
41.00,A2C3G#3,0.25
41.25,E3,0.25
41.50,A2C3D#3,0.25
41.75,E3,0.25
42.00,A#2A3C#3,0.50
42.50,A#2C#3G#3,0.25
42.75,G3,0.25
43.00,A2B2F#3,0.25
43.25,E3,0.12
43.38,E3,0.12
43.50,A2B2,0.50
44.00,A3B2D3,0.25
44.25,C4,0.25
44.50,A#3B2D3,0.25
44.75,G#3,0.25
45.00,A3C3E3,0.25
45.25,C4,0.12
45.38,A#3,0.12
45.50,C3E3,0.12
45.62,G#3,0.25
45.88,G#3,0.12
46.00,A#2A3C#3,0.25
46.25,C4,0.25
46.50,A#2C#3E3,0.25
46.75,F3,0.25
47.00,A2C#3F#3,0.50
47.50,A2C#3E3,0.25
47.75,D#3,0.25
48.00,B2D3E3,0.50
48.50,B2D3,0.25
48.75,G#3,0.25
49.00,A2C3C4,0.25
49.25,A#3,0.12
49.38,A3,0.12
49.50,A2C3,0.25
49.75,G#3,0.25
50.00,A#2A3C#3,0.25
50.25,G#3,0.12
50.38,G3,0.12
50.50,A#2C#3,0.25
50.75,F#3,0.25
51.00,A2B2F3,0.25
51.25,E3,0.12
51.38,E3,0.50
