# love scenario
# Converted from SkyStudio format
# BPM: 248
# Total chords: 98

Time,Keys,Duration
0.00,F#3,0.24
0.24,F3,0.24
0.48,E3,0.24
0.72,A2C3F#3,0.24
0.96,G#3,0.48
1.45,A2C3,0.24
1.69,F#3,0.24
1.93,F3,0.24
2.17,E3,0.24
2.41,A#2C#3F#3,0.24
2.65,F3,0.48
3.13,A#2C#3,0.24
3.37,F#3,0.24
3.62,F3,0.24
3.86,E3,0.24
4.10,B2D#3F3,0.24
4.34,F3,0.48
4.82,E3,0.24
5.06,B2D#3F3,0.24
5.30,E3,0.24
5.54,F#3,0.24
5.78,E3,0.24
6.03,B2D3,0.48
6.51,F#3,0.24
6.75,B2D3F3,0.24
6.99,E3,0.24
7.23,F3,0.24
7.47,E3,0.24
7.71,A2C3F#3,0.24
7.95,G#3,0.48
8.44,A2C3,0.24
8.68,F#3,0.24
8.92,F3,0.24
9.16,E3,0.24
9.40,A#2C#3F#3,0.24
9.64,F3,0.48
10.12,A#2C#3,0.24
10.36,F#3,0.24
10.60,F3,0.24
10.85,E3,0.24
11.09,B2D#3F3,0.24
11.33,F3,0.48
11.81,E3,0.24
12.05,B2D#3F3,0.24
12.29,E3,0.24
12.53,F#3,0.24
12.77,E3,0.24
13.01,B2D3,0.48
13.50,F#3,0.24
13.74,B2D3F3,0.24
13.98,E3,0.24
14.22,E3,0.24
14.46,E3,0.24
14.70,A2A3C3,0.48
15.18,G#3,0.24
15.42,F#3,0.24
15.66,A2C3,0.48
16.15,F3,0.24
16.39,E3,0.24
16.63,A#2C#3F#3,0.24
16.87,F3,0.48
17.35,A#2C#3,0.24
17.59,E3,0.24
17.83,E3,0.24
18.07,E3,0.24
18.32,A3B2D#3,0.24
18.56,G#3,0.24
18.80,F#3,0.24
19.04,B2D#3,0.48
19.52,F3,0.24
19.76,E3,0.24
20.00,B2D3F3,0.24
20.24,E3,0.48
20.73,B2D3,0.24
20.97,E3,0.24
21.21,E3,0.24
21.45,E3,0.24
21.69,A2A3C3,0.24
21.93,C4,0.24
22.17,A3,0.24
22.41,A2C3,0.24
22.65,A3,0.24
22.89,C4,0.24
23.14,A#2A3C#3,0.24
23.38,G#3,0.48
23.86,A#2C#3,0.24
24.10,E3,0.24
24.34,E3,0.24
24.58,E3,0.24
24.82,A3B2D#3,0.24
25.06,G#3,0.24
25.30,F#3,0.24
25.55,B2D#3,0.48
26.03,F3,0.24
26.27,E3,0.24
26.51,B2D3F3,0.24
26.75,E3,0.24
26.99,B2D3,0.50
