# lukaluka night fever 【稿】
# Converted from SkyStudio format
# BPM: 240
# Total chords: 173

Time,Keys,Duration
0.00,h,0.25
0.25,h,0.50
0.75,j,0.25
1.00,j,0.50
1.50,j,0.25
1.75,j,0.25
2.00,k,0.25
2.25,l,0.25
2.50,k,0.75
3.25,k,0.25
3.50,k,0.25
3.75,l,0.25
4.00,l,0.50
4.50,l,0.50
5.00,l,0.25
5.25,k,0.25
5.50,l,0.25
5.75,k,0.75
6.50,h,0.25
6.75,h,0.50
7.25,j,0.25
7.50,j,0.50
8.00,j,0.25
8.25,j,0.25
8.50,k,0.25
8.75,l,0.25
9.00,k,0.50
9.50,p,0.25
9.75,p,0.50
10.25,h,0.25
10.50,;,0.25
10.75,l,0.25
11.00,k,0.25
11.25,j,0.25
11.50,k,0.25
11.75,h,4.25
16.00,h,0.25
16.25,h,0.50
16.75,j,0.25
17.00,j,0.50
17.50,j,0.25
17.75,j,0.25
18.00,k,0.25
18.25,l,0.25
18.50,k,0.50
19.00,k,0.25
19.25,k,0.25
19.50,l,0.25
19.75,l,0.50
20.25,l,0.50
20.75,l,0.25
21.00,k,0.25
21.25,l,0.25
21.50,k,0.75
22.25,h,0.25
22.50,h,0.50
23.00,j,0.25
23.25,j,0.50
23.75,j,0.25
24.00,j,0.25
24.25,k,0.25
24.50,l,0.25
24.75,k,0.50
25.25,h,0.50
25.75,j,0.50
26.25,k,0.50
26.75,l,0.50
27.25,j,0.25
27.50,k,0.25
27.75,j,0.25
28.00,k,0.25
28.25,h,0.50
28.75,h,0.25
29.00,h,0.50
29.50,j,0.25
29.75,j,0.50
30.25,j,0.25
30.50,j,0.25
30.75,k,0.25
31.00,l,0.25
31.25,k,0.50
31.75,k,0.25
32.00,k,0.25
32.25,l,0.25
32.50,l,0.50
33.00,l,0.50
33.50,l,0.25
33.75,k,0.25
34.00,l,0.25
34.25,k,0.75
35.00,h,0.25
35.25,h,0.50
35.75,j,0.25
36.00,j,0.50
36.50,j,0.25
36.75,j,0.25
37.00,k,0.25
37.25,l,0.25
37.50,k,0.50
38.00,h,0.50
38.50,j,0.50
39.00,k,0.50
39.50,l,0.50
40.00,j,0.25
40.25,k,0.25
40.50,j,0.25
40.75,k,0.25
41.00,h,4.25
45.25,h,0.50
45.75,;,0.50
46.25,h,0.50
46.75,;,0.50
47.25,j,0.25
47.50,k,0.25
47.75,l,0.50
48.25,k,0.75
49.00,h,0.50
49.50,;,0.50
50.00,h,0.50
50.50,;,0.50
51.00,m,0.25
51.25,n,0.25
51.50,;,0.25
51.75,n,0.25
52.00,;,0.50
52.50,l,0.25
52.75,k,0.75
53.50,h,0.25
53.75,h,0.25
54.00,j,0.25
54.25,k,0.25
54.50,l,0.50
55.00,j,0.25
55.25,j,0.25
55.50,k,0.25
55.75,l,0.25
56.00,k,0.50
56.50,h,0.50
57.00,j,0.50
57.50,k,0.50
58.00,l,0.50
58.50,j,0.25
58.75,k,0.25
59.00,j,0.25
59.25,k,0.25
59.50,h,8.00
67.50,h,0.25
67.75,;,0.25
68.00,l,0.25
68.25,k,0.50
68.75,h,0.50
69.25,h,0.25
69.50,;,0.25
69.75,l,0.25
70.00,k,0.50
70.50,h,0.50
71.00,p,0.25
71.25,p,0.25
71.50,h,0.25
71.75,h,0.50
72.25,p,0.25
72.50,p,0.25
72.75,h,0.25
73.00,h,0.50
73.50,p,0.25
73.75,p,0.25
74.00,h,0.25
74.25,j,0.25
74.50,j,0.25
74.75,k,0.25
75.00,k,0.25
75.25,j,0.25
75.50,p,0.50
