# never far away：鬼怪ost
# Converted from SkyStudio format
# BPM: 235
# Total chords: 300

Time,Keys,Duration
1.02,E3F#3,0.26
1.27,D3,0.26
1.53,E3F#3,0.26
1.78,A3,0.26
2.04,E3F#3,0.26
2.29,D3,0.26
2.55,E3F#3,0.26
2.81,A3,0.26
3.06,E3F#3,0.26
3.31,D3,0.26
3.57,E3F#3,0.26
3.83,A3,0.26
4.08,E3F#3,0.26
4.33,D3,0.26
4.59,E3F#3,0.26
4.84,A3,0.26
5.10,E3F#3,0.26
5.36,C#3,0.26
5.61,E3F#3,0.26
5.87,G#3,0.26
6.12,E3F#3,0.26
6.38,C#3,0.26
6.63,E3F#3,0.26
6.88,G#3,0.26
7.14,E3F#3,0.26
7.39,C#3,0.26
7.65,E3F#3,0.26
7.91,G#3,0.26
8.16,E3F#3,0.26
8.41,C#3,0.26
8.67,E3F#3,0.26
8.93,G#3,0.26
9.18,D#3F3,0.26
9.44,C#3,0.26
9.69,D#3F3,0.26
9.95,G#3,0.26
10.20,D#3F3,0.26
10.46,C#3,0.26
10.71,D#3F3,0.26
10.96,G#3,0.26
11.22,D#3F3,0.26
11.47,C#3,0.26
11.73,D#3F3,0.26
11.98,G#3,0.26
12.24,D#3F3,0.26
12.49,C#3,0.26
12.75,D#3F3,0.26
13.01,G#3,0.26
13.26,D3F3,0.51
13.77,D3F3,0.51
14.28,D3F3,0.51
14.79,D3F3,0.51
15.30,D3E3,0.51
15.81,D3E3,0.51
16.32,D3E3,0.51
16.83,D3E3,0.51
17.34,A2B2C#3F#3,0.26
17.59,D3,0.26
17.85,F#3,0.26
18.11,A3,0.26
18.36,A2B2F#3,0.26
18.61,D3,0.26
18.87,F#3,0.26
19.12,A3,0.26
19.38,A2B2C3F#3,0.26
19.64,D3,0.26
19.89,A2B2F#3,0.26
20.14,A#2A3,0.26
20.40,F#3,0.26
20.66,A2D3,0.26
20.91,F#3,0.26
21.16,A3,0.26
21.42,A2B2F#3,0.26
21.68,C#3,0.26
21.93,F#3,0.26
22.18,G#3,0.26
22.44,F#3,0.26
22.70,C#3,0.26
22.95,F#3,0.26
23.20,G#3,0.26
23.46,A2B2C3F#3,0.26
23.71,C#3,0.26
23.97,A2B2F#3,0.26
24.23,A#2G#3,0.26
24.48,F#3,0.26
24.73,A2C#3,0.26
