# odds&ends
# Converted from SkyStudio format
# BPM: 380
# Total chords: 397

Time,Keys,Duration
0.00,p,0.31
0.31,k,0.31
0.63,l,0.31
0.94,m,0.31
1.26,p,0.31
1.57,k,0.31
1.88,l,0.31
2.20,m,0.31
2.51,ip,0.31
2.83,k,0.31
3.14,l,0.31
3.45,m,0.31
3.77,ip,0.31
4.08,k,0.31
4.40,l,0.31
4.71,m,0.31
5.02,ip,0.31
5.34,k,0.31
5.65,hl,0.31
5.97,m,0.31
6.28,ip,0.31
6.59,k,0.31
6.91,hl,0.31
7.22,m,0.31
7.54,ip,0.31
7.85,kp,0.31
8.16,hl,0.31
8.48,km,0.31
8.79,,/,0.79
9.58,/k,0.63
10.21,.,0.63
10.83,,,0.63
11.46,hm,0.63
12.09,,,0.63
12.72,.,0.63
13.35,,j,0.63
13.97,m,0.31
14.29,n,0.31
14.60,m,0.79
15.39,lou,1.10
16.48,iky,0.63
17.11,,,0.63
17.74,m,0.63
18.37,,,0.63
19.00,jmo,0.63
19.62,n,0.63
20.25,;,0.63
20.88,n,0.63
21.51,lou,0.63
22.14,lo,0.16
22.29,lp,2.04
24.34,lp,0.31
24.65,k,0.31
24.96,ly,0.31
25.28,k,0.31
25.59,lp,0.31
25.91,k,0.31
26.22,ly,0.31
26.53,k,0.31
26.85,lp,0.31
27.16,k,0.31
27.48,ly,0.31
27.79,k,0.31
28.10,lp,0.31
28.42,;,0.31
28.73,ly,0.31
29.05,k,0.31
29.36,lp,0.31
29.67,k,0.31
29.99,ly,0.31
30.30,k,0.31
30.61,lp,0.31
30.93,k,0.31
31.24,ly,0.31
31.56,k,0.31
31.87,lp,0.31
32.19,k,0.31
32.50,ly,0.31
32.81,k,0.31
33.13,lp,0.31
33.44,;,0.31
33.76,ly,0.31
34.07,ko,0.63
34.70,ho,0.16
34.85,hk,0.31
35.17,ho,0.31
35.48,hk,0.31
35.80,ho,0.31
36.11,hk,0.31
36.42,jl,0.31
36.74,j,0.16
36.90,k,0.31
37.21,j,0.31
37.52,h,0.31
37.84,p,0.47
38.31,i,0.31
38.62,o,0.31
38.94,i,0.31
39.25,o,0.16
39.41,hk,0.31
39.72,hk,0.47
40.19,hk,0.31
40.51,l,0.31
40.82,hk,0.16
40.98,l,0.31
41.29,j,0.31
41.60,hk,0.31
41.92,j,0.31
42.23,hi,0.31
42.55,p,0.31
42.86,pu,0.31
43.17,o,0.31
43.49,i,0.31
43.80,y,0.47
44.27,hi,0.16
44.43,hk,0.31
44.74,hi,0.31
45.06,hk,0.31
45.37,h,0.31
45.69,k,0.31
46.00,lp,0.31
46.31,j,0.16
46.47,k,0.31
46.79,jo,0.31
47.10,h,0.31
47.41,pu,0.31
47.73,i,0.31
48.04,o,0.31
48.36,i,0.31
48.67,p,0.31
48.98,hk,0.16
49.14,hk,0.47
49.61,k,0.31
49.93,jlp,0.31
50.24,k,0.31
50.55,jlp,0.31
50.87,k,0.31
51.18,;,0.31
51.50,n,0.31
51.81,;,0.16
51.97,n,0.31
52.28,;,0.31
52.59,l,0.31
52.91,k,0.31
53.22,j,0.31
53.54,hko,0.47
54.01,lp,0.31
54.32,k,0.31
54.64,ly,0.31
54.95,k,0.31
55.26,lp,0.31
55.58,k,0.31
55.89,ly,0.31
56.21,k,0.31
56.52,lp,0.31
56.83,k,0.31
57.15,ly,0.31
57.46,k,0.31
57.78,lp,0.31
58.09,;,0.31
58.40,ly,0.31
58.72,kp,0.79
59.50,ho,0.16
59.66,hk,0.31
59.97,ho,0.31
60.29,hk,0.31
60.60,ho,0.31
60.92,hk,0.31
61.23,jl,0.31
61.54,j,0.16
61.70,k,0.31
62.02,j,0.31
62.33,h,0.31
62.64,p,0.47
63.11,i,0.31
63.43,o,0.31
63.74,i,0.31
64.06,o,0.16
64.21,hk,0.31
64.53,hk,0.47
65.00,hk,0.31
65.31,l,0.31
65.63,hk,0.16
65.78,l,0.31
66.10,j,0.31
66.41,hk,0.31
66.72,j,0.31
67.04,hi,0.31
67.35,p,0.31
67.67,pu,0.31
67.98,o,0.31
68.30,i,0.31
68.61,y,0.47
69.08,hi,0.16
69.24,hk,0.31
69.55,hi,0.31
69.86,hk,0.31
70.18,h,0.31
70.49,k,0.31
70.81,lp,0.31
71.12,j,0.16
71.28,k,0.31
71.59,jo,0.31
71.91,h,0.31
72.22,pu,0.47
72.69,i,0.31
73.00,o,0.31
73.32,i,0.31
73.63,p,0.31
73.95,hk,0.16
74.10,hk,0.47
74.58,k,0.31
74.89,jlp,0.31
75.20,k,0.31
75.52,jlp,0.31
75.83,k,0.31
76.14,;,0.31
76.46,n,0.31
76.77,;,0.16
76.93,n,0.31
77.24,;,0.31
77.56,l,0.31
77.87,k,0.31
78.19,j,0.31
78.50,hko,0.47
78.97,;ij,0.31
79.28,ijp,0.16
79.44,hko,0.31
79.76,hko,0.31
