# one more time,one more change（修改版）边晴画
# Converted from SkyStudio format
# BPM: 240
# Total chords: 902

Time,Keys,Duration
4.00,A2E3F#3G#3,0.50
4.50,C#3,0.50
5.00,E3,0.50
5.50,C#3,0.50
6.00,E3F#3G#3,1.00
7.00,E3,0.50
7.50,F3,0.50
8.00,A3C3G3,0.50
8.50,E3,0.50
9.00,G3,0.50
9.50,E3,0.50
10.00,A3,1.00
11.00,C4,1.00
12.00,A2E3F#3G#3,0.50
12.50,C#3,0.50
13.00,F#3,0.50
13.50,E3,0.50
14.00,F#3G#3,1.00
15.00,E3,0.50
15.50,F3,0.50
16.00,A3C3G3,0.50
16.50,E3,0.50
17.00,E3,0.50
17.50,E3,0.50
18.00,A3C3F3G3,1.00
19.00,G#3,1.00
20.00,A2B2,0.50
20.50,C#3,0.25
20.75,C#3,0.25
21.00,E3,0.25
21.25,F3,0.25
21.50,C#3,0.25
21.75,F#3,0.25
22.00,A2B2,0.50
22.50,F#3,0.50
23.00,E3,0.25
23.25,C#3,0.25
23.50,C#3,0.50
24.00,A2B2,0.50
24.50,A2,0.25
24.75,D3,0.25
25.00,G#3,0.25
25.25,G3,0.25
25.50,F#3,0.25
25.75,E3G3,0.25
26.00,A2B2,0.50
26.50,G3,0.50
27.00,F#3,0.50
27.50,E3,0.50
28.00,A2B2,0.50
28.50,C#3,0.25
28.75,C#3,0.25
29.00,E3,0.25
29.25,F3,0.25
29.50,C#3,0.25
29.75,F#3,0.25
30.00,A2B2,0.25
30.25,F#3,0.25
30.50,F#3,0.50
31.00,E3,0.25
31.25,C#3,0.50
31.75,C#3,0.25
32.00,A2B2,0.50
32.50,A2,0.25
32.75,C#3,0.25
33.00,G#3,0.25
33.25,G3,0.25
33.50,F#3,0.25
33.75,D3G3,0.25
34.00,A2B2,0.50
34.50,G3,0.50
35.00,F#3,0.50
35.50,E3,0.50
36.00,A2B2F3,1.00
37.00,G#3,0.50
37.50,D3E3F#3,0.50
38.00,A#2C#3,1.50
39.50,F3,0.25
39.75,F#3,0.25
