# orbit：the king 永远的君主
# Converted from SkyStudio format
# BPM: 290
# Total chords: 295

Time,Keys,Duration
0.82,D3,0.21
1.03,B2D3E3,0.41
1.44,D3,0.21
1.65,B2D3E3,0.41
2.06,C3,0.21
2.27,A2D3,0.41
2.68,C3,0.21
2.88,A2D3,0.41
3.30,C3,0.82
4.12,C#3,0.21
4.33,C#3D#3,0.41
4.74,C#3,0.21
4.94,C#3D#3,0.41
5.36,A#2,0.21
5.56,A#2C3,0.41
5.97,A#2,0.21
6.18,A#2C3,0.41
6.59,A#2,0.82
7.42,D3,0.21
7.62,B2D3E3,0.41
8.03,D3,0.21
8.24,B2D3E3,0.41
8.65,C3,0.21
8.86,A2D3,0.41
9.27,C3,0.21
9.48,A2D3,0.41
9.89,C3,0.82
10.71,C#3,0.21
10.92,C#3D#3,0.41
11.33,C#3,0.21
11.54,C#3D#3,0.41
11.95,A#2,0.21
12.15,A#2C3,0.41
12.57,A#2,0.21
12.77,A#2C3,0.41
13.18,F#3,0.41
13.60,F3,0.21
13.80,E3,0.21
14.01,A2E3,0.41
14.42,D3,0.21
14.63,B2,0.21
14.83,A3B2D3,0.41
15.24,A2G#3,0.62
15.86,A2,0.21
16.07,C3,0.21
16.27,C#3,0.21
16.48,D3,0.21
16.69,F#3,0.21
16.89,F3,0.21
17.10,E3,0.21
17.30,A#2F3,0.41
17.72,F#3,0.21
17.92,C#3,0.21
18.13,A#2C#3D3,0.41
18.54,A2E3,0.21
18.75,D3,0.41
19.16,A2,0.21
19.36,A#2,0.21
19.57,B2,0.21
19.78,C3F3,0.21
19.98,F#3,0.21
20.19,F3,0.21
20.39,E3,0.21
20.60,A2E3,0.41
21.01,D3,0.21
21.22,B2,0.21
21.42,A3B2D3,0.41
21.84,A2G#3,0.62
22.45,A2,0.21
22.66,C3,0.21
22.87,C#3,0.21
23.07,D3F3,0.21
23.28,F#3,0.21
23.48,F3,0.21
23.69,E3,0.21
23.90,A#2F3,0.62
24.51,C#3F#3,0.21
24.72,A#2C#3,0.41
25.13,A2,0.21
25.34,D3,0.41
25.75,A2,0.21
25.96,A#2,0.21
26.16,B2,0.21
26.37,C3,0.82
27.19,A2B2D#3,0.21
27.40,E3,0.21
27.60,D#3,0.21
27.81,E3,0.21
28.02,A2B2D#3,0.41
28.43,D3,0.41
28.84,A2C3,0.62
29.46,E3,0.21
29.66,A2C3D#3,0.41
30.08,D3,0.41
30.49,A#2C#3,0.62
31.11,E3,0.21
31.31,A#2C#3D#3,0.21
31.52,E3,0.21
31.72,D#3,0.21
31.93,E3,0.21
32.14,A#2D#3,0.41
32.55,D3,0.21
32.75,C#3,0.21
32.96,A#2D3,0.82
33.78,B2D3,0.62
34.40,E3,0.21
34.61,B2D#3D3,0.41
35.02,D3,0.41
35.43,A2C#3,0.41
35.84,F3,0.21
36.05,E3,0.21
36.26,A2C#3D#3,0.21
36.46,C#3,0.21
36.67,C#3,0.41
37.08,A#2C#3,0.41
37.49,D#3,0.21
37.70,E3,0.21
37.90,A#2C#3D#3,0.21
38.11,C#3,0.21
38.32,C#3,0.41
38.73,A#2C3,0.82
39.55,A2B2,0.82
40.38,B2E3,0.41
40.79,C#3F#3,0.41
41.20,E3G#3,0.41
41.61,G#3,0.41
42.02,A2E3,0.41
42.44,C3,0.41
42.85,E3F#3,0.21
43.05,F3,0.21
43.26,E3,0.21
43.47,E3,0.21
43.67,A#2F3,0.41
44.08,C#3,0.41
44.50,D#3,0.41
44.91,E3,0.21
45.11,F3,0.21
45.32,A#2F#3,0.21
45.53,D3,0.21
45.73,C3D3,0.21
45.94,C#3,0.21
46.14,D3,0.41
46.56,E3,0.41
46.97,B2D3,0.41
47.38,C#3F#3,0.41
47.79,E3G#3,0.41
48.20,G#3,0.41
48.62,A2,0.41
49.03,C3,0.41
49.44,E3F#3,0.21
49.65,F3,0.21
49.85,E3,0.41
50.26,A#2F3,0.41
50.68,C#3,0.41
51.09,D#3,0.62
51.71,D3,0.21
51.91,B2D3F#3,0.41
52.32,D3,0.41
52.74,B2D3E3,0.41
53.15,F3,0.21
53.35,D3,0.21
53.56,A2F#3,0.21
53.77,A2,0.21
53.97,C3,0.21
54.18,C#3,0.21
54.38,D3F3,0.82
55.21,A#2F3G3,0.21
55.41,A#2,0.21
55.62,C#3,0.21
55.83,D3,0.21
56.03,D#3F#3,0.82
56.86,B2D3E3,0.21
57.06,B2,0.21
57.27,D3,0.21
57.47,D#3,0.21
57.68,E3,0.21
57.89,B2,0.21
58.09,D3,0.21
58.30,E3,0.21
58.50,A#2F#3,0.21
58.71,A#2,0.21
58.92,C#3F3,0.21
59.12,D3,0.21
59.33,D#3E3,0.41
59.74,D#3,0.41
60.15,A2A3E3,0.21
60.36,A2,0.21
60.56,C3,0.21
60.77,C#3,0.21
60.98,D3E3G#3,0.82
61.80,A#2D#3F3,0.21
62.01,A#2,0.21
62.21,C#3,0.21
62.42,D3,0.21
62.62,D#3E3,0.82
63.45,B2D3,0.21
63.65,B2,0.21
63.86,D3,0.21
64.07,D#3,0.21
64.27,E3,0.21
64.48,B2,0.21
64.68,D3,0.21
64.89,E3,0.21
65.10,F#3,0.82
65.92,E3F#3,0.41
66.33,D#3F3,0.21
66.54,D3E3,0.21
66.74,A2D3E3,0.41
67.16,D3,0.21
67.36,B2,0.21
67.57,A3B2D3F#3,0.41
67.98,A2E3G#3,0.62
68.60,A2,0.21
68.80,C3,0.21
69.01,C#3,0.21
69.22,D3,0.21
69.42,F#3,0.21
69.63,F3,0.21
69.83,E3,0.21
70.04,A#2D#3F3,0.41
70.45,E3F#3,0.21
70.66,C#3,0.21
70.86,A#2C#3D3,0.41
71.28,A2E3,0.21
71.48,D3,0.41
71.89,A2,0.21
72.10,A#2,0.21
72.31,B2,0.21
72.51,C3F3,0.21
72.72,F#3,0.21
72.92,F3,0.21
73.13,E3,0.21
73.34,A2D3E3,0.41
73.75,B2D3,0.21
73.95,B2,0.21
74.16,A3B2D3F#3,0.41
74.57,A2E3G#3,0.62
75.19,A2,0.21
