# star sky
# Converted from SkyStudio format
# BPM: 240
# Total chords: 1029

Time,Keys,Duration
0.00,,hi,0.50
0.50,;,0.50
1.00,;,0.50
1.50,;,0.25
1.75,l,0.25
2.00,;,0.75
2.75,k,0.25
3.00,l,0.25
3.25,;,0.25
3.50,m,0.25
3.75,hoy,0.50
4.25,;,0.50
4.75,;,0.50
5.25,;,0.25
5.50,l,0.25
5.75,k,0.75
6.50,k,0.25
6.75,l,0.25
7.00,;,0.25
7.25,m,0.25
7.50,lpu,0.50
8.00,l,0.50
8.50,l,0.50
9.00,l,0.25
9.25,k,0.25
9.50,l,0.75
10.25,j,0.25
10.50,k,0.25
10.75,l,0.25
11.00,m,0.25
11.25,;iy,0.25
11.50,l,0.25
11.75,;,0.50
12.25,/,0.50
12.75,;,0.50
13.25,jlu,0.25
13.50,k,0.25
13.75,l,0.50
14.25,.,0.50
14.75,m,0.50
15.25,,iy,0.25
15.50,iy,0.25
15.75,iy,0.25
16.00,;hiy,0.25
16.25,y,0.25
16.50,;iy,0.25
16.75,iy,0.25
17.00,iy,0.25
17.25,;iy,0.25
17.50,uy,0.25
17.75,;iy,0.25
18.00,iy,0.25
18.25,iy,0.25
18.50,iy,0.25
18.75,y,0.25
19.00,iky,0.25
19.25,ily,0.25
19.50,iy,0.25
19.75,;iy,0.25
20.00,my,0.25
20.25,hoy,0.25
20.50,oy,0.25
20.75,oy,0.25
21.00,;oy,0.25
21.25,y,0.25
21.50,;oy,0.25
21.75,oy,0.25
22.00,oy,0.25
22.25,;oy,0.25
22.50,ly,0.25
22.75,koy,0.25
23.00,oy,0.25
23.25,oy,0.25
23.50,oy,0.25
23.75,y,0.25
24.00,koy,0.25
24.25,loy,0.25
24.50,oy,0.25
24.75,;oy,0.25
25.00,my,0.25
25.25,lpu,0.25
25.50,pu,0.25
25.75,pu,0.25
26.00,lpu,0.25
26.25,y,0.25
26.50,lpu,0.25
26.75,pu,0.25
27.00,pu,0.25
27.25,lpu,0.25
27.50,ky,0.25
27.75,lpu,0.25
28.00,pu,0.25
28.25,pu,0.25
28.50,pu,0.25
28.75,y,0.25
29.00,jpu,0.25
29.25,kpu,0.25
29.50,pu,0.25
29.75,lpu,0.25
30.00,mpu,0.25
30.25,;ipy,0.25
30.50,ilpy,0.25
30.75,ipy,0.25
31.00,;ipy,0.25
31.25,y,0.25
31.50,/ipy,0.25
31.75,ipy,0.25
32.00,ipy,0.25
32.25,;ipy,0.25
32.50,y,0.25
32.75,ilpy,0.25
33.00,ikpy,0.25
33.25,ipy,0.25
33.50,ilpy,0.25
33.75,y,0.25
34.00,.ipy,0.25
34.25,ipy,0.25
34.50,ipy,0.25
34.75,impy,0.25
35.00,y,0.25
35.25,;h,0.25
35.50,i,0.25
35.75,h,0.25
36.00,y,0.25
36.25,hi,0.25
36.50,y,0.25
36.75,i,0.25
37.00,y,0.25
37.25,hk,0.25
37.50,i,0.25
37.75,h,0.25
38.00,y,0.25
38.25,i,0.25
38.50,h,0.25
38.75,y,0.25
39.00,i,0.25
39.25,;i,0.25
39.50,j,0.25
39.75,i,0.25
40.00,p,0.25
40.25,;j,0.25
40.50,i,0.25
40.75,p,0.25
41.00,j,0.25
41.25,n,0.25
41.50,;i,0.25
41.75,j,0.25
42.00,i,0.25
42.25,p,0.25
42.50,j,0.25
42.75,i,0.25
43.00,p,0.25
43.25,j,0.25
43.50,lu,0.25
43.75,h,0.25
44.00,u,0.25
44.25,o,0.25
44.50,hl,0.25
44.75,u,0.25
45.00,o,0.25
