# stay with me
# Converted from SkyStudio format
# BPM: 981
# Total chords: 347

Time,Keys,Duration
0.00,hik,0.73
0.73,k,0.73
1.46,;,0.49
1.95,,oy,0.73
2.68,,,0.73
3.42,.,0.49
3.90,mpy,0.73
4.64,m,0.73
5.37,;,0.49
5.86,mpu,0.73
6.59,m,0.73
7.32,l,0.49
7.81,ik,0.24
8.05,h,0.24
8.30,j,0.24
8.54,k,0.73
9.27,;,0.49
9.76,,y,0.24
10.00,o,0.24
10.25,p,0.24
10.49,,h,0.73
11.22,.k,0.49
11.71,my,0.24
11.96,p,0.24
12.20,k,0.24
12.44,lm,0.73
13.18,;,0.30
13.48,u,0.06
13.54,p,0.06
13.60,j,0.06
13.66,l,1.46
15.13,k,0.24
15.37,l,0.24
15.62,il,0.24
15.86,;h,0.24
16.10,;j,0.24
16.35,;k,0.49
16.84,;,0.49
17.32,n,0.24
17.57,y,0.24
17.81,o,0.24
18.06,p,0.24
18.30,h,0.73
19.03,;k,0.24
19.28,n,0.24
19.52,my,0.24
19.76,p,0.24
20.01,km,0.24
20.25,lm,0.49
20.74,n,0.24
20.98,;,0.24
21.23,l,0.24
21.47,p,0.24
21.72,u,0.24
21.96,p,0.24
22.20,h,0.24
22.45,j,0.49
22.94,k,0.24
23.18,l,0.24
23.42,il,0.24
23.67,;h,0.24
23.91,;j,0.24
24.16,;k,0.49
24.64,m,0.49
25.13,n,0.24
25.38,y,0.24
25.62,o,0.24
25.86,p,0.24
26.11,h,0.24
26.35,/,0.49
26.84,.k,0.49
27.33,my,0.24
27.57,p,0.24
27.82,km,0.24
28.06,lm,0.49
28.55,,,0.24
28.79,;,0.24
29.04,m,0.24
29.28,p,0.24
29.52,u,0.24
29.77,p,0.24
30.01,h,0.24
30.26,j,0.49
30.74,;,0.49
31.23,/i,0.24
31.48,h,0.24
31.72,j,0.24
31.96,;k,0.73
32.70,;,0.24
32.94,m,0.24
33.18,,y,0.24
33.43,o,0.24
33.67,.p,0.24
33.92,h,0.24
34.16,,,0.49
34.65,km,0.24
34.89,m,0.24
35.14,y,0.24
35.38,p,0.24
35.62,m,0.24
35.87,m,0.24
36.11,p,0.24
36.36,k,0.24
36.60,,,0.24
36.84,m,0.24
37.09,p,0.24
37.33,u,0.24
37.58,p,0.24
37.82,h,0.24
38.06,j,0.49
38.55,;,0.49
39.04,/i,0.24
39.28,h,0.24
39.53,j,0.24
39.77,;k,0.73
40.50,;,0.24
40.75,m,0.24
40.99,,y,0.24
41.24,o,0.24
41.48,.p,0.24
41.72,h,0.24
41.97,,,0.49
42.46,km,0.24
42.70,m,0.24
42.94,y,0.24
43.19,p,0.24
43.43,k,0.24
43.68,l,0.73
44.41,;,0.30
44.71,u,0.06
44.77,p,0.06
44.84,j,0.06
44.90,l,0.98
45.87,k,0.49
46.36,j,0.24
46.60,h,1.71
48.31,i,0.49
48.80,hiky,0.37
49.17,k,0.12
49.29,k,0.24
49.53,k,0.24
49.78,k,0.24
50.02,h,0.24
50.26,iy,0.49
50.75,hkoy,0.37
51.12,k,0.12
51.24,k,0.24
51.48,l,0.24
51.73,k,0.24
51.97,h,0.24
52.22,oy,0.49
52.70,ky,0.24
52.95,kp,0.24
53.19,k,0.24
53.44,l,0.24
53.68,;i,0.24
53.92,lp,0.24
54.17,k,0.24
54.41,l,0.24
54.66,kp,0.24
54.90,u,0.24
55.14,p,0.24
55.39,j,0.73
56.12,i,0.49
56.61,hiky,0.37
56.97,k,0.12
57.10,k,0.24
57.34,k,0.24
57.58,k,0.24
57.83,h,0.24
58.07,iy,0.49
58.56,hkoy,0.37
58.93,k,0.12
59.05,k,0.24
59.29,l,0.24
59.54,k,0.24
59.78,h,0.24
60.02,oy,0.49
60.51,ky,0.24
60.76,kp,0.24
61.00,k,0.24
61.24,l,0.24
61.49,;i,0.24
61.73,lp,0.24
61.98,k,0.24
62.22,l,0.24
62.46,kp,0.24
62.71,u,0.24
62.95,p,0.24
63.20,j,0.06
63.26,l,0.06
63.32,m,0.06
63.38,.,1.04
64.42,;i,0.24
64.66,h,0.24
64.90,j,0.24
65.15,km,1.22
66.37,y,0.24
66.61,o,0.24
66.86,p,0.24
67.10,h,0.24
67.34,;,0.24
67.59,n,0.24
67.83,km,0.24
68.08,n,0.24
68.32,y,0.24
68.56,;,0.24
68.81,i,0.24
69.05,l,0.24
69.30,p,0.24
69.54,k,0.49
70.03,m,0.24
70.27,u,0.24
70.52,n,0.24
70.76,p,0.24
71.00,;,0.49
71.49,l,0.24
71.74,k,0.24
71.98,;,0.24
72.22,i,0.24
72.47,h,0.24
72.71,j,0.24
72.96,km,1.22
74.18,y,0.24
74.42,o,0.24
74.66,p,0.24
74.91,h,0.24
75.15,;,0.24
75.40,n,0.24
75.64,km,0.24
75.88,n,0.24
76.13,y,0.24
76.37,;,0.24
76.62,i,0.24
76.86,l,0.24
77.10,p,0.24
77.35,k,0.49
77.84,;,0.24
78.08,u,0.24
78.32,l,0.24
78.57,p,0.37
78.93,j,0.06
79.00,l,0.06
79.06,m,0.49
79.54,k,0.24
79.79,l,0.24
80.03,il,0.24
80.28,;h,0.24
80.52,;j,0.24
80.76,;k,0.49
81.25,;,0.49
81.74,n,0.24
81.98,y,0.24
82.23,o,0.24
82.47,p,0.24
82.72,h,0.73
83.45,;k,0.24
83.69,n,0.24
83.94,my,0.24
84.18,p,0.24
84.42,km,0.24
84.67,lm,0.49
85.16,n,0.24
85.40,;,0.24
85.64,l,0.24
85.89,p,0.24
86.13,u,0.24
86.38,p,0.24
86.62,h,0.24
86.86,j,0.49
87.35,k,0.24
87.60,l,0.24
87.84,il,0.24
88.08,;h,0.24
88.33,;j,0.24
88.57,;k,0.49
89.06,m,0.49
89.55,n,0.24
89.79,y,0.24
90.04,o,0.24
90.28,p,0.24
90.52,h,0.24
90.77,/,0.49
91.26,.k,0.49
91.74,my,0.24
91.99,p,0.24
92.23,km,0.24
92.48,lm,0.49
92.96,,,0.24
93.21,;,0.24
93.45,m,0.24
93.70,p,0.24
93.94,u,0.24
94.18,p,0.24
94.43,h,0.24
94.67,j,0.49
95.16,;,0.49
95.65,/i,0.24
95.89,h,0.24
96.14,j,0.24
96.38,;k,0.73
97.11,;,0.24
97.36,m,0.24
97.60,,y,0.24
97.84,o,0.24
98.09,.p,0.24
98.33,h,0.24
98.58,,,0.49
99.06,km,0.24
99.31,m,0.24
99.55,y,0.24
99.80,p,0.24
100.04,k,0.24
100.28,l,0.73
101.02,,;,0.24
101.26,m,0.24
101.50,p,0.24
101.75,u,0.24
101.99,p,0.24
102.24,h,0.24
102.48,j,0.49
102.97,;,0.49
103.46,/i,0.24
103.70,h,0.24
103.94,j,0.24
104.19,;k,0.73
104.92,;,0.24
105.16,m,0.24
105.41,,y,0.24
105.65,o,0.24
105.90,.p,0.24
106.14,h,0.24
106.38,,,0.49
106.87,km,0.24
107.12,m,0.24
107.36,y,0.24
107.60,p,0.24
107.85,k,0.24
108.09,l,0.73
108.82,;,0.30
109.13,u,0.06
109.19,p,0.06
109.25,j,0.06
109.31,l,0.98
110.29,k,0.49
110.78,j,0.24
111.02,h,0.50
