# the show
# Converted from SkyStudio format
# BPM: 370
# Total chords: 256

Time,Keys,Duration
0.00,;y,0.49
0.49,;ip,0.32
0.81,l,0.16
0.97,;y,0.32
1.30,l,0.16
1.46,;ip,0.49
1.94,;y,0.49
2.43,;ip,0.32
2.75,l,0.16
2.92,;y,0.32
3.24,m,0.16
3.40,ip,0.32
3.73,l,0.16
3.89,u,0.49
4.37,jlp,0.32
4.70,k,0.16
4.86,lu,0.49
5.35,jp,0.32
5.67,l,0.16
5.83,lu,0.49
6.32,jlp,0.32
6.64,l,0.16
6.80,;u,0.32
7.13,n,0.16
7.29,jp,0.32
7.61,;,0.16
7.78,i,0.49
8.26,;hk,0.49
8.75,;i,0.32
9.07,l,0.16
9.23,hk,0.32
9.56,;,0.16
9.72,i,0.49
10.21,;hk,0.49
10.69,;p,0.32
11.02,l,0.16
11.18,;o,0.32
11.50,n,0.16
11.66,y,0.32
11.99,;,0.16
12.15,ho,0.32
12.47,h,0.16
12.64,y,0.49
13.12,o,0.32
13.45,n,0.16
13.61,ny,0.32
13.93,;,0.16
14.09,ho,0.32
14.42,l,0.16
14.58,y,0.32
14.90,l,0.16
15.07,ho,0.32
15.39,k,0.16
15.55,ipy,0.49
16.04,ipy,0.49
16.52,ipy,0.49
17.01,ipy,0.49
17.50,ikpy,0.65
18.14,;,0.49
18.63,n,0.32
18.95,l,0.16
19.12,jpu,0.65
19.76,l,0.49
20.25,;,0.32
20.57,k,0.16
20.74,hi,0.65
21.38,k,0.16
21.55,k,0.49
22.03,k,0.49
22.52,,joy,0.49
23.00,m,0.49
23.49,hkn,0.32
23.81,n,0.16
23.98,m,0.32
24.30,;,0.16
24.46,iy,0.49
24.95,iy,0.32
25.27,l,0.16
25.43,;iy,0.49
25.92,iny,0.32
26.24,l,0.16
26.41,pu,0.65
27.05,pu,0.32
27.38,k,0.16
27.54,lpu,0.49
28.03,k,0.16
28.19,hi,0.49
28.67,hi,0.49
29.16,hi,0.49
29.65,hi,0.32
29.97,p,0.16
30.13,koy,0.49
30.62,loy,0.49
31.10,;oy,0.32
31.43,n,0.16
31.59,oy,0.32
31.91,m,0.16
32.08,iy,0.49
32.56,iy,0.49
33.05,imy,0.65
33.70,;iy,0.32
34.02,m,0.16
34.18,pu,0.49
34.67,pu,0.49
35.15,mpu,0.65
35.80,,pu,0.32
36.13,;,0.16
36.29,hi,0.49
36.77,hi,0.49
37.26,hi,0.32
37.58,l,0.16
37.75,;hi,0.49
38.23,noy,0.49
38.72,;oy,0.49
39.20,loy,0.32
39.53,k,0.16
39.69,oy,0.32
40.01,l,0.16
40.18,pu,0.49
40.66,pu,0.49
41.15,pu,0.49
41.63,jpu,0.49
42.12,jpu,0.49
42.61,jpu,0.49
43.09,jpu,0.49
43.58,;y,0.49
44.06,;ip,0.32
44.39,;y,0.49
44.87,;ip,0.32
45.20,l,0.16
45.36,;y,0.32
45.68,m,0.16
45.85,ip,0.32
46.17,l,0.16
46.33,u,0.49
46.82,jlp,0.32
47.14,k,0.16
47.30,lu,0.49
47.79,jp,0.32
48.11,l,0.16
48.28,lu,0.49
48.76,;jp,0.32
49.09,l,0.16
49.25,;u,0.32
49.57,n,0.16
49.73,jp,0.32
50.06,;,0.16
50.22,i,0.49
50.71,;hk,0.49
51.19,;i,0.32
51.52,l,0.16
51.68,hk,0.32
52.00,;,0.16
52.16,i,0.49
52.65,;hk,0.49
53.14,;p,0.32
53.46,l,0.16
53.62,;o,0.32
53.95,n,0.16
54.11,y,0.32
54.43,;,0.16
54.59,ho,0.32
54.92,h,0.16
55.08,y,0.49
55.57,o,0.32
55.89,n,0.16
56.05,ny,0.32
56.38,;,0.16
56.54,ho,0.32
56.86,l,0.16
57.02,y,0.32
57.35,l,0.16
57.51,ho,0.32
57.83,;,0.16
58.00,;y,0.49
58.48,;ip,0.32
58.81,l,0.16
58.97,;y,0.32
59.29,l,0.16
59.45,;ip,0.49
59.94,;y,0.49
60.43,;ip,0.32
60.75,l,0.16
60.91,;y,0.32
61.24,m,0.16
61.40,ip,0.32
61.72,l,0.16
61.88,u,0.49
62.37,jlp,0.32
62.69,l,0.16
62.86,lu,0.49
63.34,jp,0.32
63.67,l,0.16
63.83,lu,0.49
64.31,jlp,0.49
64.80,;u,0.32
65.12,n,0.16
65.29,jp,0.32
65.61,;,0.16
65.77,i,0.49
66.26,;hk,0.49
66.74,;i,0.32
67.07,l,0.16
67.23,hk,0.16
67.39,;,0.16
67.55,i,0.49
68.04,;hk,0.49
68.53,;p,0.32
68.85,l,0.16
69.01,;o,0.32
69.34,n,0.16
69.50,y,0.32
69.82,;,0.16
69.98,ho,0.16
70.15,h,0.16
70.31,y,0.49
70.79,o,0.32
71.12,n,0.16
71.28,ny,0.49
71.77,;ho,0.49
72.25,ly,0.32
72.58,k,0.16
72.74,ho,0.32
73.06,l,0.16
73.22,pu,0.49
73.71,pu,0.49
74.20,pu,0.49
74.68,jpu,0.32
75.01,k,0.16
75.17,l,0.32
75.49,k,0.16
75.65,;,0.49
76.14,k,0.32
76.46,k,0.16
76.63,iy,0.16
76.79,ik,0.16
76.95,k,0.16
77.11,o,0.16
77.27,k,0.16
77.44,p,0.16
77.60,k,0.16
77.76,o,0.16
77.92,k,0.16
78.08,i,0.16
78.25,ik,0.16
78.41,him,0.16
78.57,k,0.16
78.73,j,0.16
78.89,hmo,0.16
79.06,k,0.16
79.22,;hmp,0.16
79.38,l,0.16
79.54,/;jmp,0.16
79.70,l,0.16
79.87,ik,0.16
80.03,ik,0.50
