# xxxtentacion - sad 烛子ikina
# Converted from SkyStudio format
# BPM: 300
# Total chords: 164

Time,Keys,Duration
0.00,C3D3E3F#3,1.60
1.60,B2D3E3,1.60
3.20,A#2C3D3E3,2.00
5.20,B2C#3D#3,0.60
5.80,B2C#3D#3,0.60
6.40,C3D3E3F#3,0.80
7.20,E3,0.80
8.00,B2D3E3G3,0.20
8.20,F#3,0.20
8.40,F3,0.40
8.80,F3,0.80
9.60,A#2C3D3E3,0.20
9.80,F#3,0.40
10.20,E3,0.20
10.40,F3,0.40
10.80,E3,0.20
11.00,F3,0.20
11.20,E3,0.20
11.40,F#3,0.20
11.60,B2C#3D#3,0.20
11.80,E3,0.20
12.00,F3,0.20
12.20,B2C#3D#3,0.20
12.40,E3,0.20
12.60,F3,0.20
12.80,C3C4D3E3F#3,0.40
13.20,A3,0.40
13.60,F#3,0.20
13.80,F3,0.20
14.00,F#3,0.20
14.20,F3,0.20
14.40,B2D3E3F#3,0.20
14.60,F3,0.20
14.80,F#3,0.40
15.20,F#3,0.80
16.00,A#2C3C4E3,0.20
16.20,A#3,0.20
16.40,A3,0.40
16.80,F#3,0.20
17.00,F3,0.20
17.20,F#3,0.20
17.40,F3,0.20
17.60,F#3,0.20
17.80,F3,0.20
18.00,B2C#3D#3F#3,0.20
18.20,F3,0.20
18.40,F#3,0.80
19.20,C3C4D3F#3,0.20
19.40,A#3,0.20
19.60,A3,0.40
20.00,F#3,0.20
20.20,F3,0.20
20.40,F#3,0.20
20.60,F3,0.20
20.80,B2D3E3F#3,0.20
21.00,F3,0.20
21.20,F#3,0.40
21.60,F#3,0.80
22.40,A#2C3E3,0.20
22.60,G#3,0.40
23.00,E3,0.20
23.20,F3,0.40
23.60,E3,0.40
24.00,E3,0.20
24.20,G#3,0.20
24.40,B2C#3D#3,0.20
24.60,E3,0.20
24.80,F3,0.20
25.00,B2C#3D#3,0.20
25.20,E3,0.40
25.60,C3D3E3,0.40
26.00,F#3,0.40
26.40,F#3,0.40
26.80,E3,0.40
27.20,B2D3E3G3,0.40
27.60,F#3,0.40
28.00,F3,0.40
28.40,E3,0.40
28.80,A#2C3D3,0.40
29.20,F#3,0.40
29.60,D3,0.40
30.00,G#3,0.40
30.40,G3,0.40
30.80,B2C#3D#3F#3,0.40
31.20,F3,0.40
31.60,E3,0.40
32.00,C3D3,0.40
32.40,F#3,0.40
32.80,F#3,0.40
33.20,F#3,0.40
33.60,B2D3E3G3,0.40
34.00,F#3,0.40
34.40,F3,0.40
34.80,E3,0.40
35.20,A#2C3D3,0.40
35.60,F#3,0.40
36.00,F#3,0.40
36.40,G#3,0.40
36.80,G3,0.40
37.20,B2C#3D#3F#3,0.40
37.60,F3,0.20
37.80,B2C#3D#3,0.20
38.00,E3,0.40
38.40,C3D3,0.40
38.80,F#3,0.40
39.20,F#3,0.60
39.80,F3,0.20
40.00,B2D3E3,0.40
40.40,F#3,0.40
40.80,F#3,0.60
41.40,F3,0.20
41.60,A#2C3,0.40
42.00,F#3,0.40
42.40,F#3,0.40
42.80,D3,0.40
43.20,G3,0.40
43.60,B2C#3D#3F#3,0.40
44.00,F3,0.40
44.40,E3,0.40
44.80,C3C4D3E3F#3,0.40
45.20,A3,0.40
45.60,F#3,0.20
45.80,F3,0.20
46.00,F#3,0.20
46.20,F3,0.20
46.40,B2D3E3F#3,0.20
46.60,F3,0.20
46.80,F#3,0.40
47.20,F#3,0.80
48.00,A#2C3C4E3,0.20
48.20,A#3,0.20
48.40,A3,0.40
48.80,F#3,0.20
49.00,F3,0.20
49.20,F#3,0.20
49.40,F3,0.20
49.60,F#3,0.20
49.80,F3,0.20
50.00,B2C#3D#3F#3,0.20
50.20,F3,0.20
50.40,F#3,0.80
51.20,C3C4D3F#3,0.20
51.40,A#3,0.20
51.60,A3,0.40
52.00,F#3,0.20
52.20,F3,0.20
52.40,F#3,0.20
52.60,F3,0.20
52.80,B2D3E3F#3,0.20
53.00,F3,0.20
53.20,F#3,0.40
53.60,F#3,0.80
54.40,A#2C3E3,0.20
54.60,G#3,0.40
55.00,E3,0.20
55.20,F3,0.40
55.60,E3,0.40
56.00,E3,0.20
56.20,G#3,0.20
56.40,B2C#3D#3,0.20
56.60,E3,0.20
56.80,F3,0.20
57.00,B2C#3D#3,0.20
57.20,E3,0.50
