# yuri on ice 烛子ikina
# Converted from SkyStudio format
# BPM: 501
# Total chords: 646

Time,Keys,Duration
0.00,C3D3F#3,0.12
0.12,B2,0.12
0.24,C3,0.12
0.36,C#3,0.12
0.48,D#3,0.12
0.59,E3,0.12
0.71,C3,0.12
0.83,B2,0.12
0.95,C3,0.12
1.07,C#3,0.12
1.19,D#3,0.12
1.31,E3,0.12
1.43,C3,0.12
1.55,B2,0.12
1.67,C3,0.12
1.78,C#3,0.12
1.90,D#3,0.12
2.02,E3,0.12
2.14,C3,0.12
2.26,B2,0.12
2.38,C3,0.12
2.50,C#3,0.12
2.62,D#3,0.12
2.74,E3,0.12
2.86,C#3F3,0.12
2.98,B2,0.12
3.09,C3,0.12
3.21,C#3,0.12
3.33,D#3,0.12
3.45,E3,0.12
3.57,C#3,0.12
3.69,B2,0.12
3.81,C3,0.12
3.93,C#3,0.12
4.05,D#3,0.12
4.17,E3,0.12
4.28,C#3,0.12
4.40,B2,0.12
4.52,C3,0.12
4.64,C#3,0.12
4.76,D#3,0.12
4.88,E3,0.12
5.00,C#3,0.12
5.12,B2,0.12
5.24,C3,0.12
5.36,C#3,0.12
5.47,D#3,0.12
5.59,E3,0.12
5.71,A#2D3,0.12
5.83,B2,0.12
5.95,C3,0.12
6.07,C#3,0.12
6.19,D#3,0.12
6.31,E3,0.12
6.43,D3,0.12
6.54,B2,0.12
6.66,C3,0.12
6.78,C#3,0.12
6.90,D#3,0.12
7.02,E3,0.12
7.14,D3,0.12
7.26,B2,0.12
7.38,C3,0.12
7.50,C#3,0.12
7.62,D#3,0.12
7.74,E3,0.12
7.85,D3,0.12
7.97,B2,0.12
8.09,C3,0.12
8.21,C#3,0.12
8.33,D#3,0.12
8.45,E3,0.12
8.57,B2,0.12
8.69,B2,0.12
8.81,C3,0.12
8.93,C#3,0.12
9.04,D#3,0.12
9.16,E3,0.12
9.28,B2,0.12
9.40,B2,0.12
9.52,C3,0.12
9.64,C#3,0.12
9.76,D#3,0.12
9.88,E3,0.12
10.00,B2,0.12
10.12,B2,0.12
10.23,C3,0.12
10.35,C#3,0.12
10.47,D#3,0.12
10.59,E3,0.12
10.71,B2,0.12
10.83,B2,0.12
10.95,C3,0.12
11.07,C#3,0.12
11.19,D#3,0.12
11.30,E3,0.12
11.42,C3D3F#3,0.12
11.54,B2,0.12
11.66,C3,0.12
11.78,C#3,0.12
11.90,D#3,0.12
12.02,E3,0.12
12.14,C3,0.12
12.26,B2,0.12
12.38,C3,0.12
12.49,C#3,0.12
12.61,D#3,0.12
12.73,E3,0.12
12.85,C3,0.12
12.97,B2,0.12
13.09,C3,0.12
13.21,C#3,0.12
13.33,D#3,0.12
13.45,E3,0.12
13.57,C3,0.12
13.69,B2,0.12
13.80,C3,0.12
13.92,C#3,0.12
14.04,D#3,0.12
14.16,E3,0.12
14.28,C#3F3,0.12
14.40,B2,0.12
14.52,C3,0.12
14.64,C#3,0.12
14.76,D#3,0.12
14.88,E3,0.12
14.99,C#3,0.12
15.11,B2,0.12
15.23,C3,0.12
15.35,C#3,0.12
15.47,D#3,0.12
15.59,E3,0.12
15.71,C#3,0.12
15.83,B2,0.12
15.95,C3,0.12
16.07,C#3,0.12
16.18,D#3,0.12
16.30,E3,0.12
16.42,C#3,0.12
16.54,B2,0.12
16.66,C3,0.12
16.78,C#3,0.12
16.90,D#3,0.12
17.02,E3,0.12
17.14,A#2D3,0.12
17.25,B2,0.12
17.37,C3,0.12
17.49,C#3,0.12
17.61,D#3,0.12
17.73,E3,0.12
17.85,D3,0.12
17.97,B2,0.12
18.09,C3,0.12
18.21,C#3,0.12
18.33,D#3,0.12
18.45,E3,0.12
18.56,D3,0.12
18.68,B2,0.12
18.80,C3,0.12
18.92,C#3,0.12
19.04,D#3,0.12
19.16,E3,0.12
19.28,D3,0.12
19.40,B2,0.12
19.52,C3,0.12
19.64,C#3,0.12
19.75,D#3,0.12
19.87,E3,0.12
19.99,B2,0.12
20.11,B2,0.12
20.23,C3,0.12
20.35,C#3,0.12
20.47,D#3,0.12
20.59,E3,0.12
20.71,B2,0.12
20.82,B2,0.12
20.94,C3,0.12
21.06,C#3,0.12
21.18,D#3,0.12
21.30,E3,0.12
21.42,C#3G#3,1.43
22.85,A2,0.12
22.97,B2,0.12
23.09,C3,0.12
23.20,C#3,0.12
23.32,D#3,0.12
23.44,E3,0.12
23.56,E3,0.12
23.68,B2,0.12
23.80,C3,0.12
23.92,C#3,0.12
24.04,D#3,0.12
24.16,E3,0.12
24.28,E3,0.12
24.39,B2,0.12
24.51,C3,0.12
24.63,C#3,0.12
24.75,D#3,0.12
24.87,E3,0.12
24.99,E3,0.12
25.11,B2,0.12
25.23,C3,0.12
25.35,C#3,0.12
25.47,D#3,0.12
25.59,E3,0.12
25.70,E3,0.12
25.82,B2,0.12
25.94,C3,0.12
26.06,C#3,0.12
26.18,D#3,0.12
26.30,E3,0.12
26.42,E3,0.12
26.54,B2,0.12
26.66,C3,0.12
26.77,C#3,0.12
26.89,D#3,0.12
27.01,E3,0.12
27.13,E3,0.12
27.25,B2,0.12
27.37,C3,0.12
27.49,C#3,0.12
27.61,D#3,0.12
27.73,E3,0.12
27.85,E3,0.12
27.96,B2,0.12
28.08,C3,0.12
28.20,C#3,0.12
28.32,D#3,0.12
28.44,E3,0.12
28.56,A2,0.12
28.68,B2,0.12
28.80,C3,0.12
28.92,C#3,0.12
29.04,D#3,0.12
29.16,E3,0.12
29.27,C#3G3,0.12
29.39,A#2,0.12
29.51,C3,0.12
29.63,C#3,0.12
29.75,D#3,0.12
29.87,E3,0.12
29.99,C#3,0.12
30.11,A#2,0.12
30.23,C3,0.12
30.34,C#3,0.12
30.46,D#3,0.12
30.58,E3,0.12
30.70,C#3F#3,0.12
30.82,B2,0.12
30.94,C3,0.12
31.06,C#3,0.12
31.18,D#3,0.12
31.30,E3,0.12
31.42,D3,0.12
31.54,A#2,0.12
31.65,B2,0.12
31.77,C#3,0.12
31.89,D#3,0.12
32.01,E3,0.12
32.13,D3F3,0.12
32.25,A#2,0.12
32.37,B2,0.12
32.49,C#3,0.12
32.61,D#3,0.12
32.73,E3,0.12
32.84,C3,0.12
32.96,A2,0.12
33.08,A#2,0.12
33.20,B2,0.12
33.32,C#3,0.12
33.44,D#3,0.12
33.56,B2E3,0.12
33.68,D#3,0.12
33.80,C#3,0.12
33.91,B2,0.12
34.03,A#2,0.12
34.15,A2,0.12
34.27,A2,0.12
34.39,B2,0.12
34.51,C3,0.12
34.63,C#3,0.12
34.75,D#3,0.12
34.87,E3,0.12
34.99,C#3G3,0.12
35.10,A#2,0.12
35.22,C3,0.12
35.34,C#3,0.12
35.46,D#3,0.12
35.58,E3,0.12
35.70,C#3,0.12
35.82,A#2,0.12
35.94,C3,0.12
36.06,C#3,0.12
36.18,D#3,0.12
36.30,E3,0.12
36.41,C#3F#3,0.12
36.53,B2,0.12
36.65,C3,0.12
36.77,C#3,0.12
36.89,D#3,0.12
37.01,E3,0.12
37.13,D3,0.12
