# 《Faded》何以解忧
# Converted from SkyStudio format
# BPM: 690
# Total chords: 624

Time,Keys,Duration
0.00,hk,0.40
0.40,i,0.40
0.79,ky,0.40
1.19,i,0.40
1.58,hk,0.40
1.98,i,0.40
2.38,;y,0.40
2.77,i,0.40
3.17,,o,0.40
3.56,y,0.40
3.96,,h,0.40
4.36,y,0.40
4.75,,o,0.40
5.15,y,0.40
5.54,hm,0.40
5.94,y,0.40
6.34,;y,0.40
6.73,p,0.40
7.13,;i,0.40
7.52,p,0.40
7.92,;y,0.40
8.32,p,0.40
8.71,;i,0.40
9.11,p,0.40
9.50,jp,0.40
9.90,u,0.40
10.30,j,0.40
10.69,u,0.40
11.09,jp,0.40
11.48,u,0.40
11.88,hj,0.40
12.28,u,0.40
12.67,iy,0.40
13.07,k,0.40
13.46,ky,0.40
13.86,h,0.40
14.26,ky,0.40
14.65,h,0.40
15.05,ky,0.40
15.44,l,0.40
15.84,;hoy,0.79
16.63,hky,0.40
17.03,k,0.40
17.42,hpy,0.40
17.82,;,0.40
18.22,hy,0.79
19.01,ipy,0.79
19.80,ipy,0.79
20.59,ipy,0.40
20.99,k,0.40
21.38,ikpy,0.40
21.78,k,0.40
22.18,jpu,0.79
22.97,pu,0.40
23.36,j,0.40
23.76,jpu,0.40
24.16,h,0.40
24.55,kpu,0.79
25.34,iy,0.40
25.74,k,0.40
26.14,ky,0.40
26.53,h,0.40
26.93,ky,0.40
27.32,h,0.40
27.72,ky,0.40
28.12,l,0.40
28.51,;hoy,0.79
29.30,hky,0.40
29.70,k,0.40
30.10,hmy,0.40
30.49,;,0.40
30.89,hy,0.79
31.68,ipy,0.79
32.47,ipy,0.79
33.26,ipy,0.40
33.66,k,0.40
34.06,ikpy,0.40
34.45,l,0.40
34.85,pu,0.79
35.64,pu,0.79
36.43,pu,0.40
36.83,;i,0.40
37.22,;ipu,0.40
37.62,;i,0.40
38.02,;hik,0.40
38.41,hy,0.40
38.81,k,0.40
39.20,hy,0.40
39.60,k,0.40
40.00,hy,0.40
40.39,;,0.40
40.79,hy,0.40
41.18,,o,0.40
41.58,hy,0.40
41.98,,,0.40
42.37,hy,0.40
42.77,,,0.40
43.16,;hy,0.40
43.56,;m,0.40
43.96,;hy,0.40
44.35,;y,0.40
44.75,iy,0.40
45.14,;,0.40
45.54,iy,0.40
45.94,;,0.40
46.33,iy,0.40
46.73,;,0.40
47.12,iy,0.40
47.52,jp,0.40
47.92,ju,0.40
48.31,j,0.40
48.71,ju,0.40
49.10,j,0.40
49.50,;iju,0.40
49.90,;ij,0.40
50.29,;iju,0.40
50.69,;hik,0.40
51.08,hy,0.79
51.88,hy,0.79
52.67,hk,0.20
52.87,l,0.20
53.06,l,0.40
53.46,hly,0.20
53.66,;,0.20
53.86,lo,0.40
54.25,hk,0.40
54.65,k,0.40
55.04,hy,0.79
55.84,;hiy,0.40
56.23,;i,0.40
56.63,;hiy,0.40
57.02,;iy,0.40
57.42,iy,0.79
58.21,iy,0.79
59.00,ik,0.20
59.20,k,0.20
59.40,k,0.40
59.80,ik,0.20
59.99,l,0.20
60.19,jp,0.40
60.59,ju,0.40
60.98,j,0.40
61.38,jku,0.79
62.17,ju,0.79
62.96,ju,0.79
63.76,;i,0.40
64.15,;i,0.40
64.55,;i,0.40
64.94,;hik,0.79
65.74,hy,0.79
66.53,hy,0.79
67.32,hy,0.40
67.72,k,0.40
68.11,ho,0.40
68.51,p,0.40
68.90,hoy,0.79
69.70,hoy,0.40
70.09,k,0.40
70.49,hmoy,0.40
70.88,m,0.20
71.08,;k,0.20
71.28,y,0.79
72.07,ipy,0.79
72.86,ipy,0.40
73.26,k,0.40
73.66,impy,0.40
74.05,m,0.20
74.25,;j,0.20
74.45,p,0.79
75.24,jpu,0.40
75.64,u,0.40
76.03,jpu,0.40
76.43,;i,0.40
76.82,;ijpu,0.40
77.22,;i,0.40
77.62,;hik,0.79
78.41,hiy,0.79
79.20,hiy,0.40
79.60,k,0.40
79.99,iky,0.40
80.39,h,0.20
80.59,n,0.20
80.78,o,0.79
81.58,hoy,0.79
82.37,hoy,0.79
83.16,hoy,0.40
83.56,m,0.40
83.95,;y,0.40
84.35,m,0.40
84.74,;ipy,0.40
85.14,m,0.40
85.54,;ipy,0.40
85.93,m,0.40
86.33,;ipy,0.40
86.72,l,0.20
86.92,n,0.20
87.12,p,0.79
87.91,jpu,0.40
88.31,h,0.40
88.70,jnpu,0.79
89.50,;jpu,0.79
90.29,hk,0.20
90.49,k,0.20
90.68,k,0.40
91.08,hiky,0.20
91.28,k,0.20
91.48,k,0.40
91.87,;hiy,0.40
92.27,;,0.20
92.47,/,0.20
92.66,/hiy,0.20
92.86,/,0.20
93.06,.,0.20
93.26,.,0.20
93.46,,o,0.40
93.85,,,0.40
94.25,,hoy,0.20
94.45,,,0.20
94.64,,,0.40
95.04,hnoy,0.79
95.83,;hioy,0.79
96.62,;y,0.40
97.02,;,0.40
97.42,;ipy,0.40
97.81,;,0.40
98.21,impy,0.40
98.60,n,0.40
99.00,;ipy,0.20
99.20,l,0.20
99.40,k,0.40
99.79,jp,0.40
100.19,j,0.40
100.58,jpu,0.20
100.78,j,0.20
100.98,,h,0.40
101.38,jnopu,0.79
102.17,;ijpu,0.79
102.96,hk,0.20
103.16,k,0.20
103.36,k,0.40
103.75,hiky,0.20
103.95,k,0.20
104.15,k,0.40
104.54,;hiy,0.40
104.94,;,0.20
105.14,/,0.20
105.34,/hiy,0.20
105.53,/,0.20
105.73,.,0.20
105.93,.,0.20
106.13,,o,0.40
106.52,,,0.40
106.92,,hoy,0.20
107.12,,,0.20
107.32,,,0.40
107.71,hnoy,0.79
108.50,hmopy,0.79
109.30,;y,0.40
109.69,;,0.40
110.09,;ipy,0.40
110.48,;,0.40
110.88,impy,0.40
111.28,n,0.40
111.67,;ipy,0.20
111.87,l,0.20
112.07,k,0.40
112.46,jp,0.40
112.86,j,0.40
113.26,jpu,0.20
113.45,j,0.20
113.65,,h,0.40
114.05,jnopu,0.79
114.84,;ijpu,0.79
115.63,hiy,0.40
116.03,hiky,0.40
116.42,hiky,0.40
116.82,hiky,0.40
117.22,hiky,0.40
117.61,hiy,0.40
118.01,hiky,0.20
118.21,hiy,0.20
118.40,hily,0.20
118.60,hiy,0.20
118.80,;hoy,0.40
119.20,hoy,0.40
119.59,hkoy,0.40
119.99,hkoy,0.40
120.38,hopy,0.40
120.78,;hoy,0.40
121.18,hoy,0.40
121.57,hoy,0.40
121.97,ipy,0.40
122.36,ipy,0.40
122.76,ipy,0.40
123.16,ipy,0.40
123.55,ipy,0.40
123.95,ikpy,0.40
124.34,ikpy,0.20
124.54,ipy,0.20
124.74,ikpy,0.20
124.94,ipy,0.20
125.14,jpu,0.40
125.53,pu,0.40
125.93,pu,0.40
126.32,jpu,0.40
126.72,jpu,0.40
127.12,hpu,0.40
127.51,kpu,0.40
127.91,pu,0.40
128.30,hiy,0.40
128.70,hiky,0.40
129.10,hiky,0.40
129.49,hiky,0.40
129.89,hiky,0.40
130.28,hiy,0.40
130.68,hiky,0.20
130.88,hiy,0.20
131.08,hily,0.20
131.27,hiy,0.20
131.47,;hoy,0.40
131.87,hoy,0.40
132.26,hoy,0.40
132.66,hkoy,0.40
133.06,hmoy,0.40
133.45,;hoy,0.40
133.85,hoy,0.40
134.24,hoy,0.40
134.64,ipy,0.40
135.04,ipy,0.40
135.43,ipy,0.40
135.83,ipy,0.40
136.22,ipy,0.40
136.62,ikpy,0.40
137.02,ikpy,0.20
137.21,ipy,0.20
137.41,ilpy,0.20
137.61,ipy,0.20
137.81,jpu,0.40
138.20,jpu,0.40
138.60,jpu,0.40
139.00,jpu,0.40
139.39,jpu,0.40
139.79,;ijpu,0.40
140.18,;ijpu,0.40
140.58,;ijpu,0.40
140.98,;hiy,0.40
141.37,hiy,0.40
141.77,hiy,0.40
142.16,hiy,0.40
142.56,hiy,0.40
142.96,hiy,0.40
143.35,hiy,0.20
143.55,hiy,0.20
143.75,hiy,0.20
143.95,hiy,0.20
144.14,hoy,0.40
144.54,hoy,0.40
144.94,hoy,0.40
145.33,hoy,0.40
145.73,hoy,0.40
146.12,;hioy,0.40
146.52,;hioy,0.40
146.92,;hioy,0.40
147.31,;ipy,0.40
147.71,ipy,0.40
148.10,ipy,0.40
148.50,ipy,0.40
148.90,ipy,0.40
149.29,ipy,0.40
149.69,ipy,0.20
149.89,ipy,0.20
150.08,ipy,0.20
150.28,ipy,0.20
150.48,jpu,0.40
150.88,jpu,0.40
151.27,jpu,0.40
151.67,jpu,0.40
152.06,jkpu,0.40
152.46,jmpu,0.40
152.86,jmpu,0.20
153.05,;,0.20
153.25,jpu,0.40
153.65,hiy,0.40
154.04,hiky,0.40
154.44,himy,0.40
154.84,;hiy,0.40
155.23,hiy,0.40
155.63,hiky,0.40
156.02,himy,0.20
156.22,hiy,0.20
156.42,himy,0.20
156.62,hily,0.20
156.82,hoy,0.40
157.21,hkoy,0.40
157.61,hkoy,0.40
158.00,;hoy,0.40
158.40,hoy,0.40
158.80,hkoy,0.40
159.19,hmoy,0.40
159.59,hmoy,0.20
159.79,l,0.20
159.98,ipy,0.40
160.38,ipy,0.40
160.78,ipy,0.40
161.17,ipy,0.40
161.57,ipy,0.40
161.96,ikpy,0.40
162.36,impy,0.20
162.56,ipy,0.20
162.76,impy,0.20
162.95,ilpy,0.20
163.15,jpu,0.40
163.55,jpu,0.40
163.94,jpu,0.40
164.34,jpu,0.40
164.74,jpu,0.40
165.13,jpu,0.40
165.53,jpu,0.40
165.92,jpu,0.40
166.32,hiky,0.20
166.52,k,0.20
166.72,hiy,0.20
166.91,l,0.20
167.11,hiky,0.40
167.51,hiky,0.20
167.71,m,0.20
167.90,hiy,0.40
168.30,hiky,0.20
168.50,l,0.20
168.70,hiky,0.20
168.89,hiy,0.20
169.09,hiky,0.20
169.29,hiy,0.20
169.49,hkoy,0.20
169.69,k,0.20
169.88,hoy,0.20
170.08,l,0.20
170.28,hkoy,0.40
170.68,hkoy,0.20
170.87,m,0.20
171.07,hoy,0.40
171.47,hkoy,0.20
171.67,l,0.20
171.86,hkoy,0.40
172.26,hkoy,0.40
172.66,ikpy,0.20
172.85,k,0.20
173.05,ipy,0.20
173.25,l,0.20
173.45,ikpy,0.40
173.84,ikpy,0.20
174.04,m,0.20
174.24,ipy,0.40
174.64,ikpy,0.20
174.83,l,0.20
175.03,ikpy,0.20
175.23,ipy,0.20
175.43,ikpy,0.20
175.63,ipy,0.20
175.82,jkpu,0.20
176.02,k,0.20
176.22,jpu,0.20
176.42,l,0.20
176.62,jkpu,0.40
177.01,jkpu,0.20
177.21,m,0.20
177.41,jpu,0.40
177.80,jkpu,0.20
178.00,l,0.20
178.20,jkpu,0.40
178.60,jkpu,0.79
179.39,;i,0.40
179.78,;i,0.40
180.18,;i,0.40
180.58,;hik,0.79
181.37,hy,0.79
182.16,hy,0.79
182.95,hy,0.40
183.35,k,0.40
183.74,ho,0.40
184.14,p,0.40
184.54,hoy,0.79
185.33,hoy,0.40
185.72,k,0.40
186.12,hmoy,0.40
186.52,m,0.20
186.71,;k,0.20
186.91,y,0.79
187.70,ipy,0.79
188.50,ipy,0.40
188.89,k,0.40
189.29,impy,0.40
189.68,m,0.20
189.88,;j,0.20
190.08,p,0.79
190.87,jpu,0.40
191.27,u,0.40
191.66,jpu,0.40
192.06,;i,0.40
192.46,;ijpu,0.40
192.85,;i,0.40
193.25,;hik,0.79
194.04,hiy,0.79
194.83,hiy,0.40
195.23,k,0.40
195.62,iky,0.40
196.02,h,0.20
196.22,n,0.20
196.42,o,0.79
197.21,hoy,0.79
198.00,hoy,0.79
198.79,hoy,0.40
199.19,m,0.40
199.58,;y,0.40
199.98,m,0.40
200.38,;ipy,0.40
200.77,m,0.40
201.17,;ipy,0.40
201.56,m,0.40
201.96,;ipy,0.40
202.36,l,0.20
202.55,n,0.20
202.75,p,0.79
203.54,jpu,0.40
203.94,h,0.40
204.34,jnpu,0.79
205.13,;jpu,0.79
205.92,hk,0.20
206.12,k,0.20
206.32,k,0.40
206.71,hiky,0.20
206.91,k,0.20
207.11,k,0.40
207.50,;hiy,0.40
207.90,;,0.20
208.10,/,0.20
208.30,/hiy,0.20
208.49,/,0.20
208.69,.,0.20
208.89,.,0.20
209.09,,o,0.40
209.48,,,0.40
209.88,,hoy,0.20
210.08,,,0.20
210.28,,,0.40
210.67,hnoy,0.79
211.46,;hioy,0.79
212.26,;y,0.40
212.65,;,0.40
213.05,;ipy,0.40
213.44,;,0.40
213.84,impy,0.40
214.24,n,0.40
214.63,;ipy,0.20
214.83,l,0.20
215.03,k,0.40
215.42,jp,0.40
215.82,j,0.40
216.22,jpu,0.20
216.41,j,0.20
216.61,,h,0.40
217.01,jnopu,0.79
217.80,;ijpu,0.79
218.59,hk,0.20
218.79,k,0.20
218.99,k,0.40
219.38,hiky,0.20
219.58,k,0.20
219.78,k,0.40
220.18,;hiy,0.40
220.57,;,0.20
220.77,/,0.20
220.97,/hiy,0.20
221.17,/,0.20
221.36,.,0.20
221.56,.,0.20
221.76,,o,0.40
222.16,,,0.40
222.55,,hoy,0.20
222.75,,,0.20
222.95,,,0.40
223.34,hnoy,0.79
224.14,hmopy,0.79
224.93,;y,0.40
225.32,;,0.40
225.72,;ipy,0.40
226.12,;,0.40
226.51,impy,0.40
226.91,n,0.40
227.30,;ipy,0.20
227.50,l,0.20
227.70,k,0.40
228.10,jp,0.40
228.49,j,0.40
228.89,jpu,0.20
229.09,j,0.20
229.28,,h,0.40
229.68,jnopu,0.79
230.47,;ijpu,0.79
231.26,hk,0.40
231.66,i,0.40
232.06,k,0.40
232.45,i,0.40
232.85,k,0.40
233.24,i,0.40
233.64,;,0.40
234.04,i,0.40
234.43,,o,0.40
234.83,k,0.40
235.22,,,0.40
235.62,k,0.40
236.02,,,0.40
236.41,k,0.40
236.81,m,0.40
237.20,k,0.40
237.60,;y,0.40
238.00,p,0.40
238.39,;,0.40
238.79,p,0.40
239.18,;,0.40
239.58,p,0.40
239.98,;,0.40
240.37,p,0.40
240.77,jpu,0.50
