# 《Love Is Gone》何以解忧
# Converted from SkyStudio format
# BPM: 720
# Total chords: 439

Time,Keys,Duration
0.00,A2D3,0.33
0.33,G#3,0.33
0.66,A#3,0.33
1.00,C4,0.66
1.66,G#3,0.33
1.99,A#3,0.33
2.32,C4,0.33
2.66,A2C3,0.33
2.99,C#3G#3,0.33
3.32,A#3D#3,0.33
3.65,C4E3,0.33
3.98,A#2F3,0.33
4.32,B2F#3,0.33
4.65,A#3D#3,0.33
4.98,C4E3,0.33
5.31,A2C#3,0.33
5.64,G#3,0.33
5.98,A#3,0.33
6.31,C4,0.33
6.64,A#3,0.50
7.14,G#3,0.83
7.97,C#3D#3F#3,1.33
9.30,D#3,1.33
10.62,B2D3E3,1.00
11.62,G#3,1.33
12.95,F#3,0.17
13.11,F#3,0.17
13.28,A2C#3,0.66
13.94,A2,0.50
14.44,G#3,0.17
14.61,A2,0.17
14.77,G3,0.33
15.11,F#3,0.17
15.27,A2,0.17
15.44,F3,0.33
15.77,F#3,0.17
15.94,B2D3,0.66
16.60,D3,0.33
16.93,E3,0.17
17.10,G#3,0.17
17.26,D3,0.17
17.43,G3,0.33
17.76,F#3,0.17
17.93,D3,0.17
18.09,F3,0.33
18.43,D#3,0.17
18.59,A2C#3,0.66
19.26,C#3,0.66
19.92,C#3,0.66
20.58,C#3E3,0.33
20.92,E3,0.33
21.25,B2D3G#3,0.50
21.75,G3,0.17
21.91,D3,0.33
22.24,F#3,0.33
22.58,D3,0.66
23.24,D3,0.66
23.90,A2C#3G#3,0.50
24.40,G3,0.17
24.57,A2,0.33
24.90,F#3,0.33
25.23,A2,0.66
25.90,A2,0.33
26.23,E3,0.33
26.56,B2D3G#3,0.50
27.06,G3,0.17
27.22,D3,0.33
27.56,F#3,0.33
27.89,D3,0.66
28.55,D3,0.66
29.22,A#2C#3F3,0.50
29.71,F#3,0.17
29.88,C#3,0.33
30.21,F3,0.33
30.54,C#3,0.66
31.21,C#3,0.33
31.54,E3,0.33
31.87,D3G#3,0.50
32.37,G3,0.17
32.54,D3,0.33
32.87,F#3,0.33
33.20,D3,0.66
33.86,D3E3,0.33
34.20,E3,0.33
34.53,A2C#3G#3,0.50
35.03,G3,0.17
35.19,A2,0.33
35.52,F#3,0.08
35.61,F3,0.08
35.69,E3,0.17
35.86,F3,0.33
36.19,A2,0.33
36.52,E3,0.33
36.85,D3G#3,0.50
37.35,A3,0.17
37.52,D3,0.33
37.85,F#3,0.33
38.18,D3,0.66
38.84,D3,0.33
39.18,E3,0.33
39.51,A#2C#3F3,0.50
40.01,F#3,0.17
40.17,C#3,0.33
40.50,F3,0.33
40.84,C#3,0.66
41.50,B2E3,0.66
42.16,B2D3,0.33
42.50,C#3,0.33
42.83,D#3,0.33
43.16,E3,0.66
43.82,C#3,0.33
44.16,D#3,0.33
44.49,E3,0.33
44.82,A2C3,0.33
45.15,C#3,0.33
45.48,D#3,0.33
45.82,E3,0.33
46.15,F3,0.33
46.48,F#3,0.33
46.81,D#3,0.33
47.14,E3,0.33
47.48,A2C#3,0.33
47.81,C#3,0.33
48.14,D#3,0.33
48.47,E3,0.66
49.14,C#3,0.33
49.47,D3,0.33
49.80,C#3,0.17
49.97,C#3,0.17
50.13,A#2C#3,1.33
51.46,A#2D3,1.33
52.79,D3,0.17
52.95,B2,0.17
53.12,C#3D3,0.33
53.45,D#3,0.33
53.78,E3,0.66
54.45,C#3,0.33
