# 《Mystery of Love》安迪Zoey
# Converted from SkyStudio format
# BPM: 300
# Total chords: 705

Time,Keys,Duration
0.00,;o,0.40
0.40,h,0.40
0.80,k,0.40
1.20,h,0.40
1.60,;k,0.40
2.00,hl,0.20
2.20,k,0.20
2.40,k,0.40
2.80,h,0.40
3.20,ip,0.40
3.60,p,0.40
4.00,j,0.40
4.40,p,0.40
4.80,j,0.40
5.20,p,0.40
5.60,j,0.40
6.00,ip,0.40
6.40,ho,0.40
6.80,h,0.40
7.20,jo,0.40
7.60,h,0.40
8.00,ko,0.40
8.40,h,0.40
8.80,km,0.40
9.20,h,0.40
9.60,;i,0.40
10.00,p,0.40
10.40,j,0.40
10.80,lp,0.40
11.20,jl,0.40
11.60,p,0.40
12.00,j,0.40
12.40,p,0.40
12.80,;o,0.40
13.20,h,0.40
13.60,k,0.40
14.00,h,0.40
14.40,;k,0.40
14.80,hl,0.20
15.00,k,0.20
15.20,k,0.40
15.60,h,0.40
16.00,ip,0.40
16.40,p,0.40
16.80,j,0.40
17.20,p,0.40
17.60,j,0.40
18.00,p,0.40
18.40,j,0.40
18.80,ip,0.40
19.20,ho,0.40
19.60,h,0.40
20.00,jo,0.40
20.40,h,0.40
20.80,ko,0.40
21.20,h,0.40
21.60,km,0.40
22.00,h,0.40
22.40,;i,0.40
22.80,p,0.40
23.20,j,0.40
23.60,p,0.40
24.00,jl,0.40
24.40,p,0.40
24.80,j,0.40
25.20,p,0.40
25.60,;o,0.40
26.00,h,0.40
26.40,k,0.40
26.80,h,0.40
27.20,;k,0.40
27.60,hl,0.20
27.80,k,0.20
28.00,k,0.40
28.40,h,0.40
28.80,ip,0.40
29.20,p,0.40
29.60,j,0.40
30.00,p,0.40
30.40,j,0.40
30.80,p,0.40
31.20,j,0.40
31.60,p,0.40
32.00,ho,0.40
32.40,h,0.40
32.80,jo,0.40
33.20,h,0.40
33.60,ko,0.40
34.00,h,0.40
34.40,km,0.40
34.80,h,0.40
35.20,;i,0.40
35.60,p,0.40
36.00,j,0.40
36.40,p,0.40
36.80,jl,0.40
37.20,p,0.40
37.60,j,0.40
38.00,p,0.40
38.40,;o,0.40
38.80,h,0.40
39.20,k,0.40
39.60,h,0.40
40.00,;k,0.40
40.40,hl,0.20
40.60,k,0.20
40.80,k,0.40
41.20,h,0.40
41.60,ip,0.40
42.00,p,0.40
42.40,j,0.40
42.80,p,0.40
43.20,j,0.40
43.60,p,0.40
44.00,j,0.40
44.40,p,0.40
44.80,ho,0.40
45.20,h,0.40
45.60,jo,0.40
46.00,h,0.40
46.40,ko,0.40
46.80,h,0.40
47.20,km,0.40
47.60,h,0.40
48.00,;i,0.40
48.40,p,0.40
48.80,j,0.40
49.20,lp,0.40
49.60,jl,0.40
50.00,p,0.40
50.40,j,0.40
50.80,p,0.40
51.20,,o,0.40
51.60,h,0.40
52.00,k,0.40
52.40,hm,0.40
52.80,,k,0.40
53.20,hm,0.20
53.40,n,0.20
53.60,k,0.40
54.00,;h,0.40
