# 《Say Something》安迪Zoey
# Converted from SkyStudio format
# BPM: 350
# Total chords: 321

Time,Keys,Duration
0.00,k,1.03
1.03,k,1.03
2.05,k,1.03
3.08,k,0.68
3.76,k,0.34
4.10,hik,1.03
5.13,k,1.03
6.16,hkoy,1.03
7.18,k,1.03
8.21,ikpy,1.03
9.23,k,1.03
10.26,jkpu,1.03
11.29,k,1.03
12.31,hik,1.03
13.34,;k,0.34
13.68,l,0.34
14.02,l,0.34
14.36,hkloy,0.34
14.71,l,0.34
15.05,;,0.34
15.39,kl,0.34
15.73,k,0.34
16.07,k,0.34
16.42,ikpy,1.03
17.44,k,1.03
18.47,jkpu,1.03
19.49,k,0.68
20.18,k,0.34
20.52,hik,1.03
21.55,;k,0.34
21.89,l,0.17
22.06,l,0.17
22.23,l,0.34
22.57,hkloy,0.34
22.91,l,0.34
23.26,;,0.34
23.60,kl,0.34
23.94,k,0.34
24.28,k,0.34
24.62,ikpy,1.03
25.65,k,0.68
26.33,k,0.34
26.68,jkpu,1.03
27.70,k,1.03
28.73,hik,1.03
29.75,,k,0.34
30.10,.,0.34
30.44,/,0.34
30.78,hkno,0.68
31.46,n,0.17
31.64,n,0.17
31.81,kn,0.34
32.15,m,0.34
32.49,n,0.34
32.83,;ikpy,1.03
33.86,k,1.03
34.88,jkpu,1.03
35.91,k,0.68
36.59,k,0.34
36.94,hik,1.03
37.96,;k,0.34
38.30,l,0.34
38.65,l,0.34
38.99,hkloy,0.34
39.33,l,0.34
39.67,;,0.34
40.01,kl,0.34
40.36,k,0.34
40.70,k,0.34
41.04,ikpy,1.03
42.07,k,0.68
42.75,k,0.34
43.09,jkpu,1.03
44.12,k,0.68
44.80,p,0.34
45.14,ikpy,1.03
46.17,ikp,1.03
47.20,ikp,1.03
48.22,;ikp,0.34
48.56,n,0.34
48.91,m,0.34
49.25,;ijp,0.17
49.42,l,0.85
50.27,ijp,1.03
51.30,ijp,1.03
52.33,ipu,0.34
52.67,k,0.34
53.01,k,0.34
53.35,hkop,0.34
53.69,h,0.34
54.04,h,0.34
54.38,hop,1.03
55.40,op,0.68
56.09,y,0.34
56.43,hop,0.34
56.77,p,0.34
57.11,h,0.34
57.46,iy,1.03
58.48,ikpy,1.03
59.51,kpu,1.03
60.53,kpu,0.68
61.22,p,0.34
61.56,ikpy,1.03
62.59,ikp,1.03
63.61,ikp,1.03
64.64,;ikp,0.34
64.98,n,0.34
65.32,m,0.34
65.66,;ijp,0.17
65.83,l,0.85
66.69,ijp,1.03
67.72,ijp,1.03
68.74,ipu,0.34
69.08,k,0.34
69.43,k,0.34
69.77,hkop,0.34
70.11,h,0.34
70.45,h,0.34
70.79,hop,1.03
71.82,op,0.68
72.50,y,0.34
72.85,hop,0.34
73.19,p,0.34
73.53,h,0.34
73.87,iy,1.03
74.90,ikpy,1.03
75.92,kpu,1.03
76.95,kpu,1.03
77.98,hikp,1.03
79.00,;kp,0.34
79.34,l,0.34
79.69,l,0.34
80.03,hkloy,0.34
80.37,l,0.34
80.71,;,0.34
81.05,hkl,0.34
81.40,k,0.34
81.74,k,0.34
82.08,ikpy,1.03
83.11,ikp,1.03
84.13,jkpu,1.03
85.16,kp,1.03
86.18,hikp,0.68
86.87,h,0.34
87.21,;kp,0.34
87.55,l,0.17
87.72,l,0.17
87.89,l,0.34
88.24,hkloy,0.34
88.58,l,0.34
88.92,;,0.34
89.26,hkl,0.34
89.60,k,0.34
89.95,k,0.34
90.29,ikpy,1.03
91.31,ikp,1.03
92.34,jkpu,1.03
93.37,kp,1.03
94.39,hikp,1.03
95.42,,kp,0.34
95.76,.,0.34
96.10,/,0.34
96.44,hkny,0.68
97.13,n,0.17
97.30,n,0.17
97.47,hkno,0.34
97.81,m,0.34
98.15,n,0.34
98.50,;ikpy,1.03
99.52,ikp,0.68
100.21,ik,0.34
100.55,jkpu,1.03
101.57,kp,1.03
102.60,hikp,1.03
103.63,;kp,0.34
103.97,l,0.34
104.31,l,0.34
104.65,hkloy,0.34
104.99,l,0.34
105.34,;,0.34
105.68,hkl,0.34
106.02,k,0.34
106.36,k,0.34
106.70,ikpy,1.03
