# 《侧脸》-何以解忧
# Converted from SkyStudio format
# BPM: 260
# Total chords: 728

Time,Keys,Duration
0.00,h,0.23
0.23,i,0.23
0.46,k,0.23
0.69,h,0.23
0.92,k,0.23
1.15,h,0.23
1.38,k,0.23
1.61,h,0.23
1.84,k,0.23
2.07,h,0.23
2.30,k,0.23
2.53,h,0.23
2.76,l,0.23
2.99,h,0.23
3.22,k,0.23
3.45,h,0.23
3.68,o,0.23
3.91,y,0.23
4.14,k,0.23
4.37,o,0.23
4.60,k,0.23
4.83,o,0.23
5.06,k,0.23
5.29,o,0.23
5.52,k,0.23
5.75,o,0.23
5.98,k,0.23
6.21,o,0.23
6.44,l,0.23
6.67,o,0.23
6.90,k,0.23
7.13,o,0.23
7.36,y,0.23
7.59,p,0.23
7.82,;,0.23
8.05,p,0.23
8.28,;,0.23
8.51,p,0.23
8.74,;,0.23
8.97,p,0.23
9.20,k,0.23
9.43,p,0.23
9.66,k,0.23
9.89,p,0.23
10.12,;,0.23
10.35,p,0.23
10.58,k,0.23
10.81,p,0.23
11.04,j,0.23
11.27,p,0.23
11.50,l,0.23
11.73,p,0.23
11.96,l,0.23
12.19,p,0.23
12.42,l,0.23
12.65,p,0.23
12.88,j,0.23
13.11,p,0.23
13.34,j,0.23
13.57,h,0.23
13.80,l,0.23
14.03,k,0.23
14.26,j,0.46
14.72,hm,0.23
14.95,i,0.23
15.18,;h,0.23
15.41,i,0.23
15.64,;h,0.23
15.87,i,0.23
16.10,hk,0.23
16.33,il,0.23
16.56,h,0.23
16.79,;ik,0.23
17.02,j,0.23
17.25,i,0.23
17.48,k,0.23
17.71,i,0.23
17.94,l,0.23
18.17,i,0.23
18.40,mo,0.23
18.63,y,0.23
18.86,;o,0.23
19.09,y,0.23
19.32,;o,0.23
19.55,y,0.23
19.78,ko,0.23
20.01,ly,0.23
20.24,o,0.23
20.47,;ky,0.23
20.70,p,0.23
20.93,y,0.23
21.16,h,0.23
21.39,y,0.23
21.62,o,0.23
21.85,y,0.23
22.08,my,0.23
22.31,p,0.23
22.54,;i,0.23
22.77,y,0.23
23.00,;i,0.23
23.23,y,0.23
23.46,ik,0.23
23.69,ly,0.23
23.92,i,0.23
24.15,;ky,0.23
24.38,o,0.23
24.61,y,0.23
24.84,p,0.23
25.07,y,0.23
25.30,k,0.23
25.53,y,0.23
25.76,;j,0.23
25.99,p,0.23
26.22,lu,0.23
26.45,p,0.23
26.68,lu,0.23
26.91,p,0.23
27.14,ku,0.23
27.37,;p,0.23
27.60,u,0.23
27.83,jlp,0.23
28.06,i,0.23
28.29,p,0.23
28.52,o,0.23
28.75,p,0.23
28.98,p,0.23
