# 《光年之外》-何以解忧
# Converted from SkyStudio format
# BPM: 356
# Total chords: 586

Time,Keys,Duration
0.00,hk,0.34
0.34,hk,0.34
0.67,jl,0.34
1.01,hjl,0.34
1.34,;k,0.34
1.68,;k,0.34
2.02,;k,0.34
2.35,;k,0.34
2.69,;k,0.34
3.02,;ik,0.34
3.36,jl,0.34
3.70,jlo,0.34
4.03,;k,0.34
4.37,;k,0.34
4.70,;k,0.34
5.04,;k,0.34
5.38,hk,0.34
5.71,hk,0.34
6.05,kn,0.34
6.38,kn,0.34
6.72,;k,0.34
7.06,;k,0.67
7.73,;k,0.34
8.06,kp,0.34
8.40,kp,0.34
8.74,;k,0.34
9.07,;ik,0.34
9.41,jl,0.34
9.74,jl,0.34
10.08,jl,0.34
10.42,jl,0.34
10.75,hk,0.34
11.09,hk,0.34
11.42,ijl,0.34
11.76,h,0.34
12.10,;,0.34
12.43,;,0.34
12.77,l,0.34
13.10,l,0.34
13.44,k,0.34
13.78,ik,0.34
14.11,j,0.34
14.45,jo,0.34
14.78,k,0.34
15.12,k,1.01
16.13,p,0.34
16.46,hp,0.34
16.80,p,0.34
17.14,y,0.34
17.47,;,1.34
18.82,p,0.34
19.15,p,0.34
19.49,p,0.34
19.82,i,0.34
20.16,l,1.68
21.84,h,0.34
22.18,i,0.34
22.51,h,0.34
22.85,;,0.34
23.18,;,0.34
23.52,l,0.34
23.86,l,0.34
24.19,k,0.34
24.53,ik,0.34
24.86,j,0.34
25.20,jo,0.34
25.54,k,0.34
25.87,k,0.17
26.04,j,0.17
26.21,h,0.67
26.88,p,0.34
27.22,hp,0.34
27.55,p,0.34
27.89,y,0.34
28.22,;,1.34
29.57,p,0.34
29.90,p,0.34
30.24,p,0.34
30.58,i,0.34
30.91,l,1.68
32.59,h,0.34
32.93,i,0.34
33.26,h,0.17
33.43,j,0.17
33.60,h,0.17
33.77,j,0.17
33.94,k,0.17
34.10,j,0.17
34.27,k,0.17
34.44,l,0.17
34.61,;,0.17
34.78,n,0.17
34.94,;,0.34
35.28,i,0.50
35.78,h,0.17
35.95,ho,0.17
36.12,j,0.17
36.29,h,0.17
36.46,j,0.17
36.62,k,0.17
36.79,j,0.17
36.96,k,0.17
37.13,l,0.17
37.30,;,0.17
37.46,n,0.17
37.63,;,0.34
37.97,i,0.34
38.30,k,0.17
38.47,l,0.17
38.64,;y,0.17
38.81,n,0.17
38.98,;,0.67
39.65,k,0.17
39.82,l,0.17
39.98,;,0.17
40.15,n,0.17
40.32,;,0.34
40.66,lp,0.34
40.99,k,0.34
41.33,il,2.02
43.34,h,0.34
43.68,i,0.34
44.02,hk,0.34
44.35,k,0.34
44.69,k,0.34
45.02,l,0.34
45.36,l,0.34
45.70,;,0.34
46.03,;i,0.50
