# 《可惜没如果-未完成》何以解忧
# Converted from SkyStudio format
# BPM: 350
# Total chords: 66

Time,Keys,Duration
0.00,hk,0.34
0.34,i,0.17
0.51,h,0.17
0.68,k,0.34
1.03,i,0.34
1.37,k,0.34
1.71,i,0.17
1.88,h,0.17
2.05,k,0.34
2.39,i,0.34
2.74,jp,0.34
3.08,u,0.17
3.25,p,0.17
3.42,j,0.34
3.76,u,0.34
4.10,l,0.34
4.45,p,0.34
4.79,m,0.68
5.47,hk,0.34
5.81,i,0.17
5.99,h,0.17
6.16,k,0.34
6.50,i,0.34
6.84,k,0.34
7.18,i,0.17
7.35,k,0.17
7.52,;,0.34
7.87,,,0.34
8.21,.p,0.34
8.55,m,0.34
8.89,.,0.34
9.23,m,0.34
9.58,lpu,1.37
10.94,/h,0.34
11.29,;,0.17
11.46,,,0.17
11.63,/,0.34
11.97,;,0.34
12.31,/,0.34
12.65,;,0.17
12.82,,,0.17
13.00,/,0.34
13.34,;,0.34
13.68,.p,0.34
14.02,u,0.17
14.19,p,0.17
14.36,.j,0.34
14.71,p,0.34
15.05,lu,0.68
15.73,mp,0.68
16.42,/h,0.34
16.76,i,0.17
16.93,h,0.17
17.10,/k,0.34
17.44,i,0.34
17.78,/h,0.34
18.13,i,0.17
18.30,h,0.17
18.47,/k,0.34
18.81,;,0.34
19.15,.p,0.34
19.49,u,0.17
19.66,p,0.17
19.84,.j,0.34
20.18,p,0.34
20.52,l,0.50
