# 失眠飞行-何以解忧
# Converted from SkyStudio format
# BPM: 356
# Total chords: 707

Time,Keys,Duration
0.00,k,0.34
0.34,l,0.34
0.67,;h,0.17
0.84,;,0.17
1.01,;i,0.17
1.18,n,0.17
1.34,;h,0.34
1.68,ik,0.34
2.02,o,0.34
2.35,y,0.34
2.69,ko,0.34
3.02,kp,0.34
3.36,lp,0.17
3.53,l,0.17
3.70,lu,0.17
3.86,k,0.17
4.03,jn,0.34
4.37,;u,0.34
4.70,p,0.67
5.38,k,0.34
5.71,l,0.34
6.05,;h,0.17
6.22,;,0.17
6.38,;i,0.17
6.55,n,0.17
6.72,;h,0.34
7.06,ik,0.34
7.39,o,0.34
7.73,y,0.34
8.06,ko,0.34
8.40,kp,0.34
8.74,lp,0.17
8.90,l,0.17
9.07,lu,0.17
9.24,k,0.17
9.41,kp,0.34
9.74,ku,0.34
10.08,p,1.34
11.42,p,0.34
11.76,hk,0.17
11.93,p,0.17
12.10,ip,0.34
12.43,hk,0.17
12.60,p,0.17
12.77,ip,0.34
13.10,ko,0.34
13.44,py,0.34
13.78,o,0.34
14.11,p,0.34
14.45,ky,0.17
14.62,p,0.17
14.78,p,0.34
15.12,ky,0.17
15.29,p,0.17
15.46,p,0.34
15.79,ky,0.34
16.13,p,0.34
16.46,ik,0.34
16.80,lp,0.34
17.14,;h,0.17
17.30,;,0.17
17.47,;i,0.17
17.64,n,0.17
17.81,;h,0.34
18.14,ik,0.34
18.48,o,0.34
18.82,y,0.34
19.15,ko,0.34
19.49,kp,0.34
19.82,lp,0.17
19.99,l,0.17
20.16,lu,0.17
20.33,k,0.17
20.50,;p,0.34
20.83,ku,0.34
21.17,p,1.34
22.51,h,0.17
22.68,k,0.17
22.85,im,0.17
23.02,l,0.17
23.18,hl,0.17
23.35,l,0.17
23.52,il,0.17
23.69,k,0.17
23.86,ko,0.34
24.19,ky,0.17
24.36,k,0.17
24.53,ko,0.17
24.70,k,0.17
24.86,kp,0.34
25.20,y,0.17
25.37,k,0.17
25.54,lp,0.17
25.70,k,0.17
25.87,ly,0.17
26.04,k,0.17
26.21,lp,0.17
26.38,k,0.17
26.54,ik,0.34
26.88,kp,0.17
27.05,k,0.17
27.22,y,0.17
27.38,k,0.17
27.55,hp,0.17
27.72,p,0.34
28.06,h,0.17
28.22,,,0.17
28.39,im,0.17
28.56,l,0.17
28.73,hl,0.17
28.90,k,0.17
29.06,il,0.17
29.23,k,0.17
29.40,ko,0.34
29.74,ky,0.17
29.90,k,0.17
30.07,ko,0.17
30.24,k,0.17
30.41,kp,0.34
30.74,u,0.17
30.91,k,0.17
31.08,lu,0.17
31.25,k,0.17
31.42,lp,0.17
31.58,k,0.17
31.75,lu,0.17
31.92,k,0.17
32.09,kp,0.34
32.42,k,0.17
32.59,k,0.34
32.93,k,0.17
33.10,h,0.17
33.26,p,0.34
33.60,h,0.34
33.94,ik,0.34
34.27,/h,0.34
34.61,.i,0.34
34.94,mo,0.34
35.28,ky,0.34
35.62,ko,0.17
35.78,l,0.17
35.95,kp,0.34
36.29,lp,0.34
36.62,;u,0.34
36.96,np,0.34
37.30,mu,0.34
37.63,j,0.17
37.80,n,0.17
37.97,;u,0.34
38.30,p,0.17
38.47,l,0.17
38.64,ku,0.34
38.98,h,0.34
39.31,im,0.17
39.48,l,0.17
39.65,hl,0.17
39.82,l,0.17
39.98,il,0.17
40.15,k,0.17
40.32,lo,0.34
40.66,ky,0.17
40.82,k,0.17
40.99,k,0.17
41.16,h,0.17
41.33,p,0.34
41.66,p,0.34
42.00,ku,0.34
42.34,jp,0.34
42.67,ku,0.34
43.01,p,0.34
43.34,k,0.34
43.68,k,0.34
44.02,m,0.34
44.35,hk,0.34
44.69,i,0.34
45.02,hk,0.34
45.36,ik,0.34
45.70,jo,0.34
46.03,ky,0.34
46.37,lo,0.34
46.70,kp,0.34
47.04,jp,0.34
47.38,ku,0.34
47.71,kp,0.34
48.05,pu,0.34
48.38,p,0.34
48.72,ku,0.34
49.06,kp,0.34
49.39,mu,0.34
49.73,hk,0.34
50.06,i,0.34
50.40,hk,0.34
50.74,ik,0.34
51.07,jo,0.34
51.41,ky,0.34
51.74,lo,0.34
52.08,kp,0.34
52.42,ny,0.34
52.75,;p,0.34
53.09,ly,0.34
53.42,;p,0.34
53.76,y,0.34
54.10,k,0.34
54.43,k,0.34
54.77,/,0.34
55.10,/h,0.34
55.44,im,0.34
55.78,my,0.34
56.11,,i,0.34
56.45,,o,0.34
56.78,my,0.34
57.12,mo,0.34
57.46,;p,0.34
57.79,;p,0.34
58.13,mu,0.34
58.46,;p,0.34
58.80,jl,0.34
59.14,u,0.34
59.47,k,0.34
59.81,k,0.34
60.14,m,0.34
60.48,hk,0.34
60.82,i,0.34
61.15,hk,0.34
61.49,ik,0.34
61.82,jo,0.34
62.16,ky,0.34
62.50,lo,0.34
62.83,kp,0.34
63.17,jp,0.34
63.50,ku,0.34
63.84,lp,0.34
64.18,ku,0.34
64.51,p,0.34
64.85,k,0.34
65.18,k,0.34
65.52,m,0.34
65.86,hk,0.34
66.19,i,0.34
66.53,h,0.34
66.86,i,0.34
67.20,o,0.34
67.54,y,0.34
67.87,o,0.34
68.21,y,0.34
68.54,p,0.34
68.88,u,0.34
69.22,p,0.34
69.55,u,0.34
69.89,p,0.34
70.22,u,0.34
70.56,p,0.34
70.90,u,0.34
71.23,h,0.34
71.57,i,0.34
71.90,h,0.34
72.24,i,0.34
72.58,o,0.34
72.91,y,0.34
73.25,o,0.34
73.58,y,0.34
73.92,y,0.34
74.26,p,0.34
74.59,y,0.34
74.93,p,0.34
75.26,y,0.34
75.60,kp,0.34
75.94,ky,0.34
76.27,mp,0.34
76.61,hk,0.34
76.94,i,0.34
77.28,h,0.34
77.62,i,0.34
77.95,o,0.34
78.29,y,0.34
78.62,o,0.34
78.96,y,0.34
79.30,p,0.34
79.63,u,0.34
79.97,p,0.34
80.30,u,0.34
80.64,p,0.34
80.98,u,0.34
81.31,p,0.34
81.65,u,0.34
81.98,h,0.34
82.32,i,0.34
82.66,h,0.34
82.99,i,0.34
83.33,o,0.34
83.66,y,0.34
84.00,o,0.34
84.34,y,0.34
84.67,p,0.34
85.01,u,0.34
85.34,p,0.34
85.68,u,0.34
86.02,p,0.34
86.35,u,0.34
86.69,kp,0.34
87.02,lu,0.34
87.36,;h,0.17
87.53,;,0.17
87.70,;i,0.17
87.86,n,0.17
88.03,;h,0.34
88.37,ik,0.34
88.70,o,0.34
89.04,y,0.34
89.38,ko,0.34
89.71,kp,0.34
90.05,lp,0.17
90.22,l,0.17
90.38,lu,0.17
90.55,k,0.17
90.72,jn,0.34
91.06,;u,0.34
91.39,p,0.67
92.06,k,0.34
92.40,l,0.34
92.74,;h,0.17
92.90,;,0.17
93.07,;i,0.17
93.24,n,0.17
93.41,;h,0.34
93.74,ik,0.34
94.08,o,0.34
94.42,y,0.34
94.75,ko,0.34
95.09,kp,0.34
95.42,lp,0.17
95.59,l,0.17
95.76,lu,0.17
95.93,k,0.17
96.10,kp,0.34
96.43,ku,0.34
96.77,p,1.34
98.11,p,0.34
98.45,hk,0.17
98.62,p,0.17
98.78,ip,0.17
98.95,hk,0.17
99.12,p,0.17
99.29,ip,0.17
99.46,ko,0.34
99.79,py,0.34
100.13,o,0.34
100.46,p,0.34
100.80,ky,0.17
100.97,p,0.34
101.30,ky,0.17
101.47,p,0.34
101.81,ky,0.34
102.14,p,0.34
102.48,ik,0.34
102.82,lp,0.34
103.15,;h,0.17
103.32,;,0.17
103.49,;i,0.17
103.66,n,0.17
103.82,;h,0.34
104.16,ik,0.34
104.50,o,0.34
104.83,y,0.34
105.17,ko,0.34
105.50,kp,0.34
105.84,lp,0.17
106.01,l,0.17
106.18,lu,0.17
106.34,k,0.17
106.51,;p,0.34
106.85,ku,0.34
107.18,p,1.34
108.53,h,0.17
108.70,k,0.17
108.86,im,0.17
109.03,l,0.17
109.20,hl,0.17
109.37,l,0.17
109.54,il,0.17
109.70,k,0.17
109.87,ko,0.34
110.21,ky,0.17
110.38,k,0.17
110.54,ko,0.17
110.71,k,0.17
110.88,kp,0.34
111.22,y,0.17
111.38,k,0.17
111.55,lp,0.17
111.72,k,0.17
111.89,ly,0.17
112.06,k,0.17
112.22,lp,0.17
112.39,k,0.17
112.56,ik,0.34
112.90,kp,0.17
113.06,k,0.17
113.23,y,0.17
113.40,k,0.17
113.57,hp,0.17
113.74,p,0.34
114.07,h,0.17
114.24,,,0.17
114.41,im,0.17
114.58,l,0.17
114.74,hl,0.17
114.91,k,0.17
115.08,il,0.17
115.25,k,0.17
115.42,ko,0.34
115.75,ky,0.17
115.92,k,0.17
116.09,ko,0.17
116.26,k,0.17
116.42,kp,0.34
116.76,u,0.17
116.93,k,0.17
117.10,lu,0.17
117.26,k,0.17
117.43,lp,0.17
117.60,k,0.17
117.77,lu,0.17
117.94,k,0.17
118.10,kp,0.34
118.44,k,0.17
118.61,k,0.34
118.94,k,0.17
119.11,h,0.17
119.28,p,0.34
119.62,h,0.34
119.95,ik,0.34
120.29,/h,0.34
120.62,.i,0.34
120.96,mo,0.34
121.30,ky,0.34
121.63,ko,0.17
121.80,l,0.17
121.97,kp,0.34
122.30,lp,0.34
122.64,;u,0.34
122.98,np,0.34
123.31,mu,0.34
123.65,j,0.17
123.82,n,0.17
123.98,;u,0.34
124.32,p,0.17
124.49,l,0.17
124.66,ku,0.34
124.99,h,0.34
125.33,im,0.17
125.50,l,0.17
125.66,hl,0.17
125.83,l,0.17
126.00,il,0.17
126.17,k,0.17
126.34,lo,0.34
126.67,ky,0.17
126.84,k,0.17
127.01,k,0.17
127.18,h,0.17
127.34,p,0.34
127.68,p,0.34
128.02,ku,0.34
128.35,jp,0.34
128.69,ku,0.34
129.02,p,0.34
129.36,k,0.34
129.70,k,0.34
130.03,m,0.34
130.37,hk,0.34
130.70,i,0.34
131.04,hk,0.34
131.38,ik,0.34
131.71,jo,0.34
132.05,ky,0.34
132.38,lo,0.34
132.72,kp,0.34
133.06,jp,0.34
133.39,ku,0.34
133.73,kp,0.34
134.06,pu,0.34
134.40,p,0.34
134.74,ku,0.34
135.07,kp,0.34
135.41,mu,0.34
135.74,hk,0.34
136.08,i,0.34
136.42,hk,0.34
136.75,ik,0.34
137.09,jo,0.34
137.42,ky,0.34
137.76,lo,0.34
138.10,kp,0.34
138.43,ny,0.34
138.77,;p,0.34
139.10,ly,0.34
139.44,;p,0.34
139.78,y,0.34
140.11,k,0.34
140.45,k,0.34
140.78,/,0.34
141.12,/h,0.34
141.46,im,0.34
141.79,my,0.34
142.13,,i,0.34
142.46,,o,0.34
142.80,my,0.34
143.14,mo,0.34
143.47,;p,0.34
143.81,;p,0.34
144.14,mu,0.34
144.48,;p,0.34
144.82,jl,0.34
145.15,u,0.34
145.49,k,0.34
145.82,k,0.34
146.16,m,0.34
146.50,hk,0.34
146.83,i,0.34
147.17,hk,0.34
147.50,ik,0.34
147.84,jo,0.34
148.18,ky,0.34
148.51,lo,0.34
148.85,kp,0.34
149.18,jp,0.34
149.52,ku,0.34
149.86,lp,0.34
150.19,ku,0.34
150.53,p,0.34
150.86,k,0.34
151.20,k,0.34
151.54,m,0.34
151.87,hk,0.34
152.21,i,0.34
152.54,h,0.34
152.88,i,0.34
153.22,o,0.34
153.55,y,0.34
153.89,o,0.34
154.22,y,0.34
154.56,p,0.34
154.90,u,0.34
155.23,p,0.34
155.57,u,0.34
155.90,p,0.34
156.24,u,0.34
156.58,p,0.34
156.91,u,0.34
157.25,h,0.34
157.58,i,0.34
157.92,h,0.34
158.26,i,0.34
158.59,o,0.34
158.93,y,0.34
159.26,o,0.34
159.60,y,0.34
159.94,y,0.34
160.27,p,0.34
160.61,y,0.34
160.94,p,0.34
161.28,y,0.34
161.62,kp,0.34
161.95,ky,0.34
162.29,mp,0.34
162.62,hk,0.34
162.96,i,0.34
163.30,h,0.34
163.63,i,0.34
163.97,o,0.34
164.30,y,0.34
164.64,o,0.34
164.98,y,0.34
165.31,p,0.34
165.65,u,0.34
165.98,p,0.34
166.32,u,0.34
166.66,p,0.34
